uuid,inat_id,timestamp,date,lon,lat,elevation,tavg,tmin,tmax,precipitation,windspeed,winddirection,presure,species,location,num_identification_agreements
92bae923-58a6-4b7e-a441-e73742f530c7,380558372,2026-07-11 22:11:38-06:00,2026-07-11,-105.0310833333,39.64538,1640.0,,16.1,33.9,0.0,8.8,,,Agaricus arvensis,"S Knox Ct, Sheridan, CO, US",1
ee231057-5af2-429b-847e-0d72753ac83a,370717292,1964-06-19,2026-06-11,-104.97046,39.71917,1615.0,,15.2,25.2,,18.6,,1010.0,Agaricus arvensis," Colorado, Denver , 100 block of Lafayette Street,",1
0f14e83d-b602-4de8-9b66-65fc7713450e,366737610,2026-05-30 11:58:22-06:00,2026-05-30,-105.1446657964,40.6262562621,1550.0,,10.0,24.0,0.5,6.5,,,Agaricus arvensis,"W County Road Rm, Laporte, CO, US",1
f9a70d19-929a-4e4a-ab49-bc0298e240cb,324923775,2017-06-24,2017-06-24,-105.0440795347,39.6795635736,1662.0,,8.9,22.8,0.0,11.3,,1023.2,Agaricus arvensis,"W Evans Ave & S Tennyson St, Denver, CO 80219, USA",2
4c142f0f-2404-4c44-8a86-594a634689dc,324685375,2019-07-07,2019-07-07,-105.0440795347,39.6795635736,1662.0,,16.9,26.9,,13.0,,1014.4,Agaricus arvensis,"W Evans Ave & S Tennyson St, Denver, CO 80219, USA",2
e58ef6af-c2d2-42f5-8596-a08611f95f98,317907417,2025-09-30 12:44:00-06:00,2025-09-30,-105.2758784,40.0341895,1655.0,,9.0,25.0,0.3,3.8,,1018.2,Agaricus arvensis,"Growing Gardens, 1630 Hawthorn Ave, Boulder, CO 80304, USA",1
e396aa9b-e0cb-4083-96fa-32aabeee1c76,317110316,2025-09-27 16:34:25-06:00,2025-09-27,-106.82447,40.4650083333,2072.0,,4.0,24.0,0.0,3.0,,1022.1,Agaricus arvensis,"Pine Grove Rd, Steamboat Springs, CO, US",1
98c22ac0-b7df-43a4-ae09-50fac0c741eb,315381627,2025-09-19 16:19:26-06:00,2025-09-19,-104.9246522105,38.7575327365,2861.0,,11.0,22.0,0.0,5.5,,1022.8,Agaricus arvensis,"Colorado, US",1
4b284051-cffa-4da7-a6be-bdc88841e301,309348106,2025-08-26 12:56:19-06:00,2025-08-26,-104.9542078,39.8088493997,1565.0,,13.8,22.9,3.5,11.0,,1019.9,Agaricus arvensis,"Denver, CO 80216, USA",1
8c7683c5-bd44-4517-9dac-b1d9df903afd,301746057,2025-07-27 16:03:06-06:00,2025-07-27,-105.1028055,39.6322533333,1712.0,,16.1,34.4,0.0,11.6,,1013.0,Agaricus arvensis,"W Tufts Ave, Denver, CO, US",1
89f3b3cf-6d62-43e6-9a98-658865687792,301745820,2025-07-27 16:03:20-06:00,2025-07-27,-105.1029195,39.632145,1712.0,,16.1,34.4,0.0,11.6,,1013.0,Agaricus arvensis,"W Tufts Ave, Denver, CO, US",1
5e4f950e-37b0-453b-8693-80cf6946ee64,301719632,2025-07-25 11:40:00-06:00,2025-07-25,-105.2789136475,40.0244397632,1649.0,,15.0,33.0,0.1,7.0,,1019.9,Agaricus arvensis,"Central Boulder, Boulder, CO, USA",1
86afd59c-9946-4ab0-aab0-ed1a791ccb4f,288878483,2025-06-11 17:08:35-06:00,2025-06-11,-104.8021861111,38.8169,1838.0,,12.2,28.3,0.0,11.9,,1011.7,Agaricus arvensis,"Colorado Springs, CO 80903, USA",1
3ea7d7b7-4f45-48f5-9663-3ed581baa873,288794930,2025-06-11 12:07:43-06:00,2025-06-11,-105.2688293457,39.9752044678,1744.0,,16.0,28.0,0.3,9.3,,1017.5,Agaricus arvensis,Boulder,2
276676a7-3bb6-4b3b-9cc9-6b90fdbae340,288394842,2025-06-09 14:47:40-06:00,2025-06-09,-104.854391405,38.7029374919,2136.0,,9.0,21.0,0.0,12.2,,1021.7,Agaricus arvensis,"Colorado, US",1
