uuid,inat_id,timestamp,date,lon,lat,elevation,tavg,tmin,tmax,precipitation,windspeed,winddirection,presure,species,location,num_identification_agreements
80aae12d-f03f-42f3-b9af-e531750ad3f2,393648093,2026-08-22 18:11:40-06:00,2026-08-22,-105.0232027778,39.5459611111,1702.0,,19.9,30.3,,9.7,,1016.7,Agaricus bernardii,"Littleton, CO 80129, USA",1
2993af50-2bb2-40c5-8aa4-01060c332e81,391262906,2026-08-14 17:50:06-06:00,2026-08-14,-105.0376586914,39.7473640442,1621.0,,17.7,27.2,,13.5,,1013.3,Agaricus bernardii,Denver,1
0b564656-2ddd-4916-9171-64283412d059,381724840,2026-06-02 13:00:04-06:00,2026-06-02,-105.0951166667,39.547675,1670.0,,12.2,22.8,0.8,10.4,,1016.4,Agaricus bernardii,"Chatfield State Park, Littleton, CO, US",1
2917a004-01c2-41e4-b411-7d319fc71454,370830172,2026-06-09 20:45:03-06:00,2026-06-09,-105.0112222167,39.6501083333,1607.0,,13.9,31.7,0.0,8.4,,,Agaricus bernardii,"River Run Trailhead, Sheridan, CO, US",1
cd197b5a-eea7-4d9f-9ed2-a6b32d0fe155,370004082,2026-06-02 20:35:31-06:00,2026-06-02,-105.009125,39.6514083333,1608.0,,12.2,22.8,0.8,10.4,,1016.4,Agaricus bernardii,"River Point at Sheridan, Sheridan, CO, US",2
70a4ffdc-a103-4c23-a384-29cff0fd3c11,369439125,2026-06-07 08:52:42-06:00,2026-06-07,-105.0222333333,39.751075,1614.0,,16.3,30.7,,14.6,,1000.7,Agaricus bernardii,"W 23rd Ave, Denver, CO, US",1
9b0fb37b-d853-4477-9def-d8fa28496f3c,368647534,2026-06-05 07:14:48-06:00,2026-06-05,-105.1023555,40.1743383333,1525.0,,10.1,29.6,0.0,3.0,,,Agaricus bernardii,"Main St, Longmont, CO, US",2
a8c61081-6b44-4638-bc2c-cab4e81475c8,367153106,2026-05-27 18:50:28-06:00,2026-05-27,-104.823425,38.846755,1853.0,,10.6,13.9,,6.1,,,Agaricus bernardii,"E Cache la Poudre St, Colorado Springs, CO, US",2
6a30dfc2-a603-40c6-80ff-8f569ba04761,366175674,2026-05-27 14:10:21-06:00,2026-05-27,-105.0253138333,39.5482833333,1702.0,,12.2,18.3,2.0,9.1,,,Agaricus bernardii,"Redstone Park, Highlands Ranch, CO, US",1
a0f70527-c891-49a4-b674-8d5b3304481a,365730312,2026-05-27 08:02:45-06:00,2026-05-27,-104.9654716998,39.6599501843,1645.0,,12.2,18.3,2.0,9.1,,,Agaricus bernardii,"Englewood, CO, USA",2
1a7a2f54-15aa-40d4-b8e0-06f49aa798f4,363880675,2026-05-17 17:42:41-06:00,2026-05-17,-104.8208083333,38.8500283333,1852.0,,10.0,21.1,,14.3,,,Agaricus bernardii,"N Nevada Ave, Colorado Springs, CO, US",1
ce412e93-3780-4b91-98de-94b5c0e4a7d1,353153335,2026-04-24 10:13:06-06:00,2026-04-24,-105.0889760329,40.5709579067,1530.0,,2.0,23.3,0.0,12.2,,,Agaricus bernardii,"W Pitkin St, Fort Collins, CO, US",2
d9e7c1b4-e789-43aa-97b2-6c3493e2ca6b,349721811,2025-06-02 14:55:35-06:00,2025-06-02,-104.82242,38.84738,1850.0,,10.6,27.8,8.4,13.3,,1007.3,Agaricus bernardii,"E Cache la Poudre St, Colorado Springs, CO, US",1
80c44f05-6d37-4a2f-bf57-b0b483844016,344987984,2025-05-20 20:33:16-06:00,2025-05-20,-105.2126436308,39.9694397409,1668.0,,3.0,20.0,0.0,19.9,,1014.1,Agaricus bernardii,"Boulder, CO 80303, USA",1
d70c3c31-c84c-4cdb-b3de-d133312f5b5e,344471348,2025-10-05 15:21:00-06:00,2025-10-05,-105.2376416667,40.0432472222,1621.0,,6.0,16.0,8.3,7.7,,1015.7,Agaricus bernardii,"Boulder County, CO, USA",1
5c663016-00e6-4f07-ad72-b78698a40b17,324880635,2025-10-08 18:42:11-06:00,2025-10-08,-105.0800445425,40.5438619395,1536.0,,3.0,24.4,0.0,4.2,,1019.0,Agaricus bernardii,"McClelland Dr, Fort Collins, CO, US",2
4c43fb7d-0e9a-4057-82eb-557dd88deb0b,321138177,2025-10-15 17:56:26-06:00,2025-10-15,-105.0275956338,39.7812866899,1634.0,,9.7,22.9,0.0,13.5,,1010.0,Agaricus bernardii,"Rocky Mountain Lake Loop, Denver, CO, US",2
7de276a3-370c-4c73-91ac-b9153b529b90,320291144,2025-10-11 17:14:26-06:00,2025-10-11,-104.964178733,39.7306966024,1643.0,,11.3,18.1,,11.9,,1008.3,Agaricus bernardii,"Cheesman Park Inner Loop, Denver, CO, US",1
150040f9-042c-4354-8c14-a87e116925b9,316802641,2025-09-26 13:12:31-06:00,2025-09-26,-105.0184631348,39.7448539734,1589.0,,10.6,27.0,0.0,8.7,,1011.8,Agaricus bernardii,Denver,1
ca6724a5-784c-4807-871c-bd0f8624ac8e,312344982,2025-09-07 18:29:50-06:00,2025-09-07,-105.5932008103,41.3024753833,2187.0,,7.0,23.0,1.2,16.3,,1025.7,Agaricus bernardii,"Laramie, WY, USA",1
02f737d8-09c6-4fba-84f3-4fdf438ffaa0,312290122,2025-09-05 16:50:34-06:00,2025-09-05,-104.9172363056,39.694252,1646.0,,13.6,19.1,0.0,17.9,,1015.3,Agaricus bernardii,"Washington Virginia Vale, Denver, CO, USA",1
8676e7df-44c3-41ac-9b20-78e2824c468c,305404252,2025-08-10 18:38:10-06:00,2025-08-10,-104.9967475981,39.7381349747,1595.0,,15.7,22.3,4.3,16.0,,1016.8,Agaricus bernardii,"Cherry Creek Trail, Denver, CO, US",2
a91d70d3-0d77-4762-8e7f-906eb5bbea5c,305390436,2025-08-10 17:29:57-06:00,2025-08-10,-104.9362335205,39.6601867676,1673.0,,14.4,22.8,0.5,12.6,,1016.4,Agaricus bernardii,Denver,3
cbfceb6b-3578-4703-aa27-b542bc808d1d,304557033,2025-08-07 14:06:55-06:00,2025-08-07,-104.91774916,39.78320565,1610.0,,19.4,36.0,0.0,18.7,,1012.1,Agaricus bernardii,"Northeast Park Hill, Denver, CO, EE. UU.",1
358c5922-fb32-4bdc-bf8e-d4df0765efea,296816866,2024-08-21 13:51:00-06:00,2024-08-21,-104.9302663654,37.9236193774,2075.0,,17.1,32.8,0.0,18.7,,1014.6,Agaricus bernardii,"Rye, CO 81069, USA",2
79edc4ae-6f48-4265-960b-67df004887b3,293271667,2025-06-27 19:25:58-06:00,2025-06-27,-105.0017166667,39.72675,1600.0,,16.1,31.4,0.0,12.7,,1011.2,Agaricus bernardii,"Mariposa St, Denver, CO, US",1
f0040af9-db0c-4179-a9b3-1956643c4dbd,291545822,2025-06-19 08:35:34-06:00,2025-06-19,-104.9659116667,39.7299083333,1635.0,,16.3,32.8,0.0,16.1,,1010.0,Agaricus bernardii,"Cheesman Park Inner Loop, Denver, CO, US",1
6702f3c8-b9d7-4ff7-b90e-214ce8424249,289387767,2025-06-13 12:03:22-06:00,2025-06-13,-104.922745,39.48145,1996.0,,12.2,27.8,0.0,13.2,,1010.1,Agaricus bernardii,"Castle Pines, CO, US",1
466a2c49-f828-467b-ac2f-74da60405d8c,288754410,2025-05-31 19:05:00-06:00,2025-05-31,-105.1178583333,39.6799,1728.0,,13.7,24.9,0.0,9.3,,1016.3,Agaricus bernardii,"Carmody, Lakewood, CO, USA",1
62089b6a-f998-4930-9c92-8a78f638d44c,287989207,2025-06-08 08:21:53-06:00,2025-06-08,-104.672975,39.6431966667,1755.0,,10.2,21.1,5.3,10.7,,1014.8,Agaricus bernardii,"Pronghorn Natural Area, Aurora, CO, US",1
54a2d65d-ce09-409e-90e0-5778f7668a0b,286422826,2025-06-02 18:31:19-06:00,2025-06-02,-104.9683383333,39.693395,1630.0,,15.3,25.5,4.0,14.4,,1006.1,Agaricus bernardii,"Washington Park, Denver, CO, US",1
b08028b8-ca8d-4b1b-a027-5a2794e37aa5,286415502,2025-06-02 15:00:02-06:00,2025-06-02,-104.8224361111,38.8473972222,1850.0,,10.6,27.8,8.4,13.3,,1007.3,Agaricus bernardii,"Downtown, Colorado Springs, CO, USA",1
75685537-c2ce-4b4f-9fd7-f3b80fec9330,286338742,2025-06-02 12:27:57-06:00,2025-06-02,-104.9165996,39.78301877,1609.0,,15.3,25.5,4.0,14.4,,1006.1,Agaricus bernardii,"Northeast Park Hill, Denver, CO, EE. UU.",1
3f3ca833-1311-4e81-8e77-39aa03211f27,286127815,2025-05-30 16:34:00-06:00,2025-05-30,-104.9143201,39.7140738,1650.0,,10.4,24.3,0.5,10.3,,1017.7,Agaricus bernardii,"Crestmoor Park, 99 S Monaco St Pkwy, Denver, CO 80224, USA",2
