uuid,inat_id,timestamp,date,lon,lat,elevation,tavg,tmin,tmax,precipitation,windspeed,winddirection,presure,species,location,num_identification_agreements
506459cb-75c1-4fc0-8216-e89352e6603c,349717298,2026-04-13 15:57:04-06:00,2026-04-13,-104.8127883333,38.8458866667,1846.0,,7.8,21.7,,9.7,,1005.2,Agaricus bisporus,"E Cache la Poudre St, Colorado Springs, CO, US",1
97a749b8-2c83-48aa-b69b-bfc41e3dc8de,312216482,2025-09-06 19:22:32-06:00,2025-09-06,-105.1783150434,38.7466545011,2890.0,,8.0,20.0,0.0,10.6,,1024.2,Agaricus bisporus,"Century Casino, Cripple Creek, CO 80813, USA",1
937d218b-9749-4f6d-b7bf-774fc65b2ba6,304591973,2025-08-07 16:06:01-06:00,2025-08-07,-105.0933916667,39.1001333333,2370.0,,14.5,34.0,0.0,18.4,,1013.4,Agaricus bisporus,"Woodland Park, CO 80863, USA",1
4ca1f28b-5ecb-4579-b8d9-b3fb640146cc,299395409,2025-07-19 17:17:22-06:00,2025-07-19,-104.6393056035,39.0364833231,2312.0,,14.2,30.3,3.0,11.7,,1023.9,Agaricus bisporus,"Colorado, US",1
48a6e4d1-caf3-482c-bf04-a2bcd5feb7e2,286860852,2025-06-04 12:35:11-06:00,2025-06-04,-104.8025295138,38.8389857975,1851.0,,7.8,16.7,1.5,14.0,,1016.9,Agaricus bisporus,"Boulder/HancocK, Colorado Springs, CO 80903, USA",3
a9843015-5033-4b1e-81e2-1020de987cd8,284955392,2025-05-28 14:31:09-06:00,2025-05-28,-105.0219638333,39.5336,1721.0,,9.4,19.4,2.8,14.0,,1016.9,Agaricus bisporus,"Spring Gulch Trail, Highlands Ranch, CO, US",1
e5bf5bd1-e0e9-4e1d-a87e-af7a9413ea5b,282253850,2025-05-18 18:24:36-06:00,2025-05-18,-105.0830235431,39.8940544282,1647.0,,8.0,19.0,3.6,18.0,,1005.8,Agaricus bisporus,"Colorado, US",2
6afb1041-74d9-4868-b9d8-ae527c1c6ee2,246258397,2024-10-05 13:46:04-06:00,2024-10-05,-104.91382,39.5595383333,1774.0,,15.0,28.9,0.0,14.5,,1014.4,Agaricus bisporus,"Palamino Pkwy, Highlands Ranch, CO, US",1
859267f3-d3a4-428b-9f0b-0a615eef0a3a,245120838,2024-09-23 10:01:31-06:00,2024-09-23,-106.3700033333,36.22167,1835.0,,7.1,19.5,,8.1,,1023.2,Agaricus bisporus,"US-84, Abiquiu, NM, US",1
43133027-960e-4853-b487-964c24cee26d,241142683,2024-09-11 06:55:32-06:00,2024-09-11,-104.95948,39.5203866667,1846.0,,13.9,27.8,,14.8,,1008.2,Agaricus bisporus,"Chadsworth Ln, Highlands Ranch, CO, US",1
