uuid,inat_id,timestamp,date,lon,lat,elevation,tavg,tmin,tmax,precipitation,windspeed,winddirection,presure,species,location,num_identification_agreements,olc
16503a1a-5190-473a-a382-c858f04f3e03,384710774,2026-07-24 14:58:34-06:00,2026-07-24,-105.4090695946,36.1851335778,3021.0,,7.9,28.3,5.6,2.8,,,Agaricus campestris,"Taos County, US-NM, US",1,
f679c125-9491-4e19-8f3f-6adf418e9397,367619726,2026-05-21 13:50:48-06:00,2026-05-21,-104.8954466667,39.6329116667,1716.0,,4.4,20.0,1.3,6.5,,,Agaricus campestris,"E Tufts Ave, Denver, CO, US",2,
96e454d9-8e0e-40a7-8e7f-f04fe329825b,333752738,2025-09-01 13:04:36-06:00,2025-09-01,-105.4571616667,39.4811583333,2650.0,,-2.2,10.0,0.0,11.4,,1027.5,Agaricus campestris,"Wagon Tongue Rd, Bailey, CO, US",1,
4719bac9-85a0-437d-b69e-672e7822ff03,326218730,2025-09-03 08:42:49-06:00,2025-09-03,-105.3620916667,41.1528388333,2503.0,,9.4,21.3,0.0,16.3,,1019.1,Agaricus campestris,"Vedauwoo Glen Rd, Buford, WY, US",1,
6d3b5450-25a7-4b69-a9c8-8df0c1df34ce,321111170,2025-10-15 12:05:03-06:00,2025-10-15,-105.35852,41.1690033333,2431.0,,6.3,15.6,0.1,14.8,,1010.1,Agaricus campestris,"Buford, WY, US",1,
b011e704-01d8-460f-990e-3e1b4df5b528,316313652,2025-09-24 09:13:58-06:00,2025-09-24,-105.0035333333,39.741925,1594.0,,8.5,20.2,0.0,6.5,,1024.5,Agaricus campestris,"Metropolitan State University of Denver, Denver, CO, US",1,
f3c35eef-89fa-4b03-b997-789a95f7588b,314038417,2025-09-14 12:38:21-06:00,2025-09-14,-106.2739988,39.1848981997,3051.0,,1.0,12.0,0.3,11.0,,1027.5,Agaricus campestris,"Leadville, CO 80461, USA",1,
43aab255-7105-4193-91c6-092a3ee8e4df,313669520,2025-09-13 11:55:37-06:00,2025-09-13,-107.8730468611,37.2886543056,2005.0,,8.0,18.0,6.9,6.6,,1021.7,Agaricus campestris,"Durango, CO, USA",1,
f8a4b6db-3b6c-450a-91f5-34216f545947,296671069,2025-07-09 19:03:01-06:00,2025-07-09,-106.3712541,35.8411819,2379.0,,19.5,30.0,0.0,11.9,,1028.6,Agaricus campestris,"Los Alamos County, NM, USA",1,
848ad8a2-2e52-46dd-b687-3a7b4c04a34d,294667662,2025-07-02 13:15:59-06:00,2025-07-02,-105.07735229,40.57165542,1525.0,,13.9,35.6,0.0,11.4,,1010.8,Agaricus campestris,"Fort Collins, CO 80521, USA",1,
54540087-7717-4ff1-89a5-74e9c1ce53df,287444706,2025-06-06 18:30:36-06:00,2025-06-06,-105.2325258984,39.8127206663,1869.0,,11.0,19.0,4.5,7.6,,1019.5,Agaricus campestris,"Colorado, US",1,
5dc42519-94cc-4e24-8599-ad62d2f26fda,287150407,2025-06-05 15:18:36-06:00,2025-06-05,-105.1735383957,40.4704004484,1832.0,,11.7,21.7,9.2,12.8,,1013.4,Agaricus campestris,"Colorado, US",1,
f78f89c2-ef64-457c-9220-1ad7244b4fe3,284262711,2025-05-14 18:27:26-06:00,2025-05-14,-105.1215833333,40.1375666667,1527.0,,8.3,22.6,3.0,11.1,,1005.4,Agaricus campestris,"Pike Rd, Longmont, CO, US",1,
853987ec-a986-4cc9-9ed6-3748b222e1c5,277462046,2025-05-01 09:59:00-06:00,2025-05-01,-105.3438813,40.0466525,2172.0,,5.0,15.0,4.8,6.7,,1019.0,Agaricus campestris,"Bald Mountain, Colorado 80302, USA",1,
1d5b0df6-85ac-41ac-9da7-321f7e86ce14,266048462,2005-08-26 11:53:00-06:00,2005-08-26,-107.2384694867,39.9900788479,2957.0,,11.0,27.0,,8.7,,,Agaricus campestris,"Trappers Lake ,Garfield County, CO, USA",2,
3ab65afe-89be-466d-8ad3-7dc1e77161e0,266048461,2005-08-26 11:52:00-06:00,2005-08-26,-107.2384694867,39.9900788479,2957.0,,11.0,27.0,,8.7,,,Agaricus campestris,"Trappers Lake ,Garfield County, CO, USA",2,
7dac9ce3-28ed-4618-a814-7f7b46df6f0e,242686214,2024-09-18 12:12:53-06:00,2024-09-18,-105.08272609,39.04430727,2468.0,,9.0,27.2,0.0,11.8,,1005.9,Agaricus campestris,"Woodland Park, CO 80863, USA",2,
05a74147-98ba-4c55-88fc-9911551e88e3,241555978,2024-08-31 11:41:00-06:00,2024-08-31,-107.0190043291,39.5551446007,2384.0,,,,,4.8,,1018.3,Agaricus campestris,"Colorado, US",3,
