uuid,inat_id,timestamp,date,lon,lat,elevation,tavg,tmin,tmax,precipitation,windspeed,winddirection,presure,species,location,num_identification_agreements,olc
9559f9c1-ebef-49ba-b1fb-f50efe9dd39f,317951582,2025-09-30 11:29:21-07:00,2025-09-30,-122.2211916667,45.5382333333,81.0,,10.0,22.0,1.1,9.2,,1008.6,Agaricus deardorffensis,"Columbia River Gorge National Scenic Area, Corbett, OR, US",1,
3486e29b-3aa0-4844-9cd2-781f427cd822,249941537,2024-10-31 15:57:57-07:00,2024-10-31,-122.3162116359,45.3313392597,145.0,,6.7,10.6,,6.8,,1012.6,Agaricus deardorffensis,"Estacada, OR, US",1,
01fe69eb-0f4f-48cb-af1a-4cceb8008ae3,249697966,2024-10-29 12:15:02-07:00,2024-10-29,-122.0424700358,45.0802355574,456.0,,,,,,,,Agaricus deardorffensis,"Mt. Hood National Forest, Estacada, OR, US",1,
7f2225f9-52ba-415e-ba7f-492325621c75,248881241,2024-10-23 09:51:02-07:00,2024-10-23,-121.7082661,45.6864835,42.0,,4.9,13.0,0.0,11.6,,1025.0,Agaricus deardorffensis,"Cascade Locks, OR 97014, USA",1,
75cbf73c-4aae-4411-8455-905ca187ee47,34220716,2019-10-04 12:55:00-07:00,2019-10-04,-122.0343638889,45.3857722222,370.0,,9.4,17.2,,4.8,,1022.4,Agaricus deardorffensis,"Clackamas County, OR, USA",1,
b9286ce8-2fc4-40af-b078-addb4cc281a9,323561248,2025-10-25 10:32:01-07:00,2025-10-25,-122.5223915746,45.2465417376,157.0,,7.0,13.0,7.1,18.8,,1004.8,Agaricus deardorffensis,"S Brockway Rd, Oregon City, OR, US",1,84QV6FWH+
0f42b9fc-3a42-41d8-b1f0-2f500ffd9759,187405408,2023-10-08 12:59:16-07:00,2023-10-08,-122.4845883333,45.0329861667,235.0,,10.6,26.1,0.0,2.3,,1010.0,Agaricus deardorffensis,"S Molalla Forest Rd, Molalla, OR, US",2,84QV2GM8+
edf1946c-d9eb-4ec5-8806-7b0a5c1f2e1f,330690394,2025-12-06 15:27:55-08:00,2025-12-06,-122.6959990618,45.3778160457,45.0,,9.0,12.0,2.1,14.0,,1020.3,Agaricus deardorffensis,"SW Greenway Cir, West Linn, OR, US",1,84QV98H3+
71ac5f55-627c-4acc-898c-a93f6b160ae3,329722544,2025-12-06 10:15:47-08:00,2025-12-06,-122.8394921094,45.52153776,57.0,,9.0,13.0,1.0,11.3,,1019.5,Agaricus deardorffensis,"NW 158th Ave, Beaverton, OR, US",1,84QVG5C6+
31441729-693e-4c9d-98e0-dffe370c5d12,328654938,2025-11-28 11:40:46-08:00,2025-11-28,-122.7513904,45.5094852,263.0,,8.0,12.0,0.0,17.5,,1021.2,Agaricus deardorffensis,"West Haven-Sylvan, OR, USA",1,84QVG65X+
