uuid,inat_id,timestamp,date,lon,lat,elevation,tavg,tmin,tmax,precipitation,windspeed,winddirection,presure,species,location,num_identification_agreements,olc
b26c5611-bfed-447f-95e4-fd321bf4a8a9,331033744,2025-12-16 14:40:00-08:00,2025-12-16,-122.2251956284,45.3112069284,411.0,,11.0,16.0,2.0,11.2,,1012.5,Agaricus hondensis,"Clackamas County, OR, USA",1,
7eaae0e7-9a86-4be4-b875-e7334cc62e32,325956977,2025-11-10 16:09:00-08:00,2025-11-10,-122.2259312325,45.3099642572,383.0,,8.0,13.0,0.2,6.7,,1024.3,Agaricus hondensis,"Clackamas County, OR, USA",1,
dc09f1ed-8b62-4a11-879d-26bcb9e7a49a,34739597,2019-10-17 15:26:20-07:00,2019-10-17,-121.96882,44.7723966667,741.0,,,,,,,,Agaricus hondensis,"Marion County, US-OR, US",2,84PWQ2CJ+
6c3155a5-e668-4816-9689-7f93ae26ebb1,327321963,2025-11-19 11:13:46-08:00,2025-11-19,-121.6275277778,45.8672722222,538.0,,-1.0,9.0,0.4,2.5,,1017.9,Agaricus hondensis,"Cook, WA 98605, USA",1,84QWV98C+
890846c0-b416-474f-ba89-9775d76bf97f,253311099,2023-12-26 13:07:00-08:00,2023-12-26,-121.2193307479,45.7459480165,146.0,,1.7,5.0,,5.8,,1024.5,Agaricus hondensis,"Oregon, US",1,84QWPQWJ+
64eb7702-a60a-4229-8a75-8f05ccd0825d,99118503,2021-10-20 12:30:54-07:00,2021-10-20,-122.7883533333,44.9943966667,123.0,,10.0,17.2,1.5,16.9,,1010.5,Agaricus hondensis,"The Oregon Garden, Silverton, OR, US",1,84PVX6V6+
8766ece9-c714-4e29-a1a9-78a39a13f92f,68126008,2021-01-15 14:05:00+00:00,2021-01-15,-122.844345,45.499164,74.0,,6.7,10.0,,3.9,,1029.8,Agaricus hondensis,"15655 SW Millikan Way, Beaverton, OR 97006, USA",2,84QVF5X4+
a605eadb-40ca-4adc-b628-730734a6d0f7,66557749,2020-12-13 12:53:10-08:00,2020-12-13,-122.7733861111,45.5862222222,82.0,,3.9,6.1,,10.5,,1016.6,Agaricus hondensis,"NW Bridge Ave & Germantown, Portland, OR 97231, USA",1,84QVH6PG+
8318cad1-5bc8-40b0-a655-404f3215ef15,65722833,2020-11-27 14:31:13+00:00,2020-11-27,-122.8160083333,45.5990633333,324.0,,1.7,8.9,0.0,5.2,,1026.2,Agaricus hondensis,"Forest Park, Portland, OR, US",1,84QVH5XM+
562ad466-6858-475f-88bc-2dc67d594443,37808358,2020-01-20 15:44:06-08:00,2020-01-20,-122.749725,45.55568667,240.0,,5.0,8.3,0.0,11.3,,1013.0,Agaricus hondensis,"Forest Park, Portland, OR, US",1,84QVH742+
7d0b5b32-8779-4acc-8f46-65f26a31aed2,19346422,2018-12-31 16:17:06-08:00,2018-12-31,-122.81028,45.594375,297.0,,,,,3.6,,1030.2,Agaricus hondensis,"Forest Park, Portland, OR, US",1,84QVH5VQ+
432d8e31-896e-46df-b1e5-a45769012f1e,7001066,2015-11-19,2015-11-19,-122.6525,45.46125,31.0,,4.4,8.9,13.7,9.0,,1020.4,Agaricus hondensis,"Sellwood, Portland, Multnomah Co., Oregon, USA",2,84QVF86X+
