uuid,inat_id,timestamp,date,lon,lat,elevation,tavg,tmin,tmax,precipitation,windspeed,winddirection,presure,species,location,num_identification_agreements
71ed384b-ba54-4c19-8af3-fa27a756e0af,390873268,2026-08-12 14:03:33-06:00,2026-08-12,-107.8930860758,37.8130941469,3094.0,,13.0,22.0,5.5,2.2,,,Agaricus julius,"Ophir, CO 81426, USA",1
6e5b6e7b-3556-4b59-bca9-8c55c47dcefd,310889971,2025-09-01 12:39:36-06:00,2025-09-01,-105.1193666667,38.8530222222,3134.0,,10.2,24.1,0.0,9.4,,1021.3,Agaricus julius,"Divide, CO 80814, USA",1
e1f385ec-e74c-4b19-a2c7-958263b6ca6c,308319174,2025-08-22 14:35:10-06:00,2025-08-22,-105.3765033333,39.5641633333,2578.0,,2.7,12.0,6.7,9.9,,1024.2,Agaricus julius,"Carol Ln, Conifer, CO, US",3
59ca3443-0ed2-46a1-9b42-a907cfec1e58,305342002,2025-08-06 12:31:47-06:00,2025-08-06,-105.8052945773,39.6913297124,2999.0,,4.1,16.5,0.0,14.8,,1024.2,Agaricus julius,"Bakerville W, Silver Plume, CO, US",2
6229b161-f8e6-46be-a1fc-f9ef42b44669,305341972,2025-08-06 12:31:38-06:00,2025-08-06,-105.8052945773,39.6913297124,2999.0,,4.1,16.5,0.0,14.8,,1024.2,Agaricus julius,"Bakerville W, Silver Plume, CO, US",2
bfd8019c-3113-4a53-825b-29beff3dc913,290704390,2024-08-07 17:36:00-06:00,2024-08-07,-106.9878231,38.8697146,2722.0,,9.4,27.8,,7.8,,1021.0,Agaricus julius,"Crested Butte, CO 81224, USA",2
e6117d83-1c66-47a3-847a-282454b72232,241502641,2024-09-13 12:08:32-06:00,2024-09-13,-105.9763706865,39.6041235231,2814.0,,-0.9,11.4,0.3,11.7,,1014.5,Agaricus julius,"Keystone Resort, Dillon, CO, US",2
7c867d9a-38d8-4365-83f4-2642c8268468,236611646,2024-08-18 10:49:51-06:00,2024-08-18,-107.8122851998,37.9374924863,2675.0,,11.0,20.0,5.6,5.4,,1035.5,Agaricus julius,"Telluride, CO 81435, USA",2
53031e88-bba8-4404-905e-f41e87c51040,233235639,2024-08-01 17:14:57-06:00,2024-08-01,-105.1147015159,37.866625307,2396.0,,19.4,32.5,0.0,13.6,,1018.3,Agaricus julius,"Colorado, US",2
76a47254-d3d1-4c2d-b688-2b427199f719,232983574,2024-07-31 11:55:11-06:00,2024-07-31,-107.3759216667,38.2712383333,3032.0,,5.0,30.0,0.0,7.1,,1018.4,Agaricus julius,"Alpine Plateau Snowmobile Trail, Cimarron, CO, US",3
b87c8bcf-ae56-4174-a6e6-2355db5b0b50,232931343,2024-07-26 17:38:15-06:00,2024-07-26,-104.9611561828,38.7110832777,2967.0,,19.0,30.0,0.5,12.4,,1022.3,Agaricus julius,"Colorado, US",1
