uuid,inat_id,timestamp,date,lon,lat,elevation,tavg,tmin,tmax,precipitation,windspeed,winddirection,presure,species,location,num_identification_agreements
fd8bd9a6-3b95-4d15-b0ce-613cde72d22b,317426804,2025-09-28 13:25:02-06:00,2025-09-28,-107.0728891131,38.7549283801,2771.0,,8.0,18.0,0.9,11.7,,1026.2,Agaricus kerriganii,"Gunnison County, US-CO, US",2
6a021d9c-43c2-4e8c-b781-7945fc8032d3,316863545,2025-09-25 12:08:16-06:00,2025-09-25,-105.597707561,40.1206490941,3173.0,,-1.0,21.0,0.0,5.1,,1031.8,Agaricus kerriganii,"Colorado, US",2
531acac6-e701-4785-a656-2810390eb5d5,314694486,2025-09-16 15:00:12-06:00,2025-09-16,-105.5270503636,40.1904488104,2588.0,,10.0,24.0,1.1,6.6,,1023.4,Agaricus kerriganii,"Colorado, US",2
ebb9c807-e6ad-42e9-9be6-3499eaeb2568,313947658,2025-09-13 16:56:27-06:00,2025-09-13,-105.0417480278,39.1127815,2846.0,,8.5,22.0,2.7,10.3,,1018.5,Agaricus kerriganii,"Woodland Park, CO 80863, USA",3
6b6e7166-470a-421b-9604-470f340de59b,313676222,2025-09-13 15:09:26-06:00,2025-09-13,-106.3959585,35.8964422997,2858.0,,12.0,16.0,2.0,7.4,,1022.8,Agaricus kerriganii,"Los Alamos County, NM, USA",2
5550a94c-4f25-40f4-8c15-458cf670595a,313436781,2025-09-12 16:59:27-06:00,2025-09-12,-106.3859616997,35.8909882997,2884.0,,13.0,25.0,0.0,9.5,,1025.8,Agaricus kerriganii,"Los Alamos County, NM, USA",1
43159f6e-d15f-4f57-8d20-83814b7d25b6,304589586,2025-08-07 14:02:03-06:00,2025-08-07,-104.8818785834,39.0016723693,2155.0,,14.5,34.0,0.0,18.4,,1013.4,Agaricus kerriganii,"Colorado, US",2
eb20abb3-b922-4a24-909d-24961e6ae71e,237932409,2024-08-25 12:11:35-06:00,2024-08-25,-105.1009529037,39.0511486074,2451.0,,18.7,30.7,,14.4,,1014.9,Agaricus kerriganii,"Colorado, US",1
528c563e-fd1d-43f2-9cd2-a4e1084b2d29,237419937,2024-08-22 13:17:06-06:00,2024-08-22,-105.6716545957,39.949641348,3362.0,,3.6,11.4,9.5,9.6,,1022.9,Agaricus kerriganii,"Colorado, US",2
e2a2bfdf-275b-4bcf-bdc0-ff91519a327c,180173051,2023-08-14 16:50:51-06:00,2023-08-14,-104.937676079,38.7826173967,2695.0,,13.0,22.0,0.6,13.5,,1031.9,Agaricus kerriganii,"Colorado, US",3
4db7c403-10a6-4887-b54a-a28257fdbe68,178768805,2023-08-14 16:55:17-06:00,2023-08-14,-104.9147718901,38.7370904404,2794.0,,13.0,22.0,0.6,13.5,,1031.9,Agaricus kerriganii,"El Paso County, US-CO, US",1
