uuid,inat_id,timestamp,date,lon,lat,elevation,tavg,tmin,tmax,precipitation,windspeed,winddirection,presure,species,location,num_identification_agreements
03894122-f574-429b-b16f-bab2cc082fa1,391243744,2026-08-12 18:27:41-06:00,2026-08-12,-104.9121966586,40.3368977515,1483.0,,17.8,34.4,0.2,6.1,,,Agaricus malangelus,Johnstown,1
8f3b8149-b634-4b20-8e15-1ddc05ec1506,349163943,2025-08-24 09:10:53-06:00,2025-08-24,-105.1032333333,40.5858416667,1540.0,,14.4,23.3,,15.7,,1018.5,Agaricus malangelus,"W Oak St, Fort Collins, CO, US",1
84ae53e4-ad14-48b1-ae54-9e5202d1e6cd,320246244,2025-10-10,2025-10-10,-105.0416,39.6181,1671.0,,12.0,19.4,0.0,4.5,,,Agaricus malangelus,"Colorado. Arapahoe Co., Littleton, Bow Mar Residential neighborhood, E. of Bowles Lake",1
f7e66e55-bbc9-4d08-9408-eca2b05fa2b9,319461294,2025-10-07 12:28:58-06:00,2025-10-07,-105.2864616667,40.04805,1692.0,,8.0,13.0,0.0,1.3,,1024.7,Agaricus malangelus,"Quince Ave, Boulder, CO, US",1
ca03a437-a1d2-430c-b801-93665069ba48,317309482,2025-09-28 10:15:23-06:00,2025-09-28,-105.1141093299,40.1777923006,1528.0,,11.0,27.0,0.5,3.8,,1019.7,Agaricus malangelus,"Longmont, CO 80501, USA",1
19b06436-a1a3-491d-9beb-fd18238c579e,313875694,2025-09-14 10:21:18-06:00,2025-09-14,-105.0447044894,39.8126977491,1621.0,,12.0,23.0,3.0,5.5,,1018.3,Agaricus malangelus,"Westminster, CO 80003, USA",1
87fce817-da51-4c45-8767-26490350d761,312282466,2025-09-07 13:30:47-06:00,2025-09-07,-104.8430194706,38.9394972974,2002.0,,12.0,24.0,1.2,10.4,,1024.7,Agaricus malangelus,"Briargate, Colorado Springs, CO, USA",1
18053665-30e0-429c-b424-fa507140f288,312189190,2025-09-07 08:01:20-06:00,2025-09-07,-104.8271799333,38.8622614015,1859.0,,13.0,24.0,0.0,7.9,,1025.1,Agaricus malangelus,"Monument Valley Park Loop, Colorado Springs, CO, US",2
fd7169fe-56ed-4fd8-9b80-28f99b68dc6e,311710545,2025-09-04 09:14:00-06:00,2025-09-04,-105.91935833,35.67970278,2171.0,,11.0,28.0,0.2,15.3,,1022.3,Agaricus malangelus,"Santa Fe, New Mexico, United States",1
32c000f7-66f5-4b53-bccd-b6f3f0a31554,311558839,2025-09-04 15:01:21-06:00,2025-09-04,-104.9232406389,39.6473503056,1708.0,,17.0,29.0,0.0,16.6,,1018.4,Agaricus malangelus,"Southmoor Park, Denver, CO, USA",2
