uuid,inat_id,timestamp,date,lon,lat,olc,elevation,tavg,tmin,tmax,precipitation,windspeed,winddirection,presure,species,location,num_identification_agreements
c2554795-7b09-4891-97fc-d3be85bf2b4c,244626688,2024-09-28 14:52:42-07:00,2024-09-28,-121.5243333333,45.4193277778,84QWCF9G+,1326.0,,11.8,26.0,0.3,11.0,,1011.9,Albatrellus ovinus,"MT HOOD PRKDL, OR 97041, USA",1
6871ce41-3725-4754-95d6-547879fe22aa,243426213,2024-09-18 14:19:30-07:00,2024-09-18,-121.6809916667,45.2819133333,84QW78J9+,1228.0,,13.5,21.8,0.0,13.5,,1013.5,Albatrellus ovinus,"Mt. Hood Park Division Recreation Area, Mount Hood Parkdale, OR, US",1
b12b9c0d-9dd1-423f-82be-5c5e22716b4c,236402782,2024-08-17 13:16:52-07:00,2024-08-17,-121.7603876618,45.2298230071,84QW66HQ+,1105.0,,,,,,,,Albatrellus ovinus,"Oregon, US",1
c4980e69-6839-456b-8de5-b3173613ba84,137152475,2022-09-28 15:44:50-07:00,2022-09-28,-121.6219326077,45.3197506749,84QW899H+,1324.0,,14.1,22.9,3.2,10.4,,1014.9,Albatrellus ovinus,"Hood River County, US-OR, US",1
8d4828cc-c8e0-460a-8f9e-5de168f97eb0,136208160,2022-09-23 10:25:44-07:00,2022-09-23,-121.622005608,45.3182935529,84QW899H+,1321.0,,11.6,24.4,0.0,9.6,,1019.5,Albatrellus ovinus,"Mt. Hood Park Division Recreation Area, Mount Hood Parkdale, OR, US",1
a6125a61-72b1-4007-9068-49978c467c4d,383203600,2026-07-19 19:57:51-06:00,2026-07-19,-105.7029734044,39.8674597811,85FPV78W+,3351.0,,8.0,16.0,0.1,11.1,,,Albatrellus ovinus,"Colorado, US",1
a9aba007-1101-4987-b09b-8e85b0d32421,313332737,2025-09-11 11:41:00-06:00,2025-09-11,-105.79993333,35.79896111,857PQ6X2+,3249.0,,13.0,28.0,0.0,21.1,,1025.2,Albatrellus ovinus,"Santa Fe, New Mexico, United States",1
6806475e-6e88-4706-903f-6960a66208f5,308560840,2025-08-22 11:31:00-06:00,2025-08-22,-105.79719444,35.80190556,857PR623+,3319.0,,15.0,31.7,0.0,11.2,,1014.3,Albatrellus ovinus,"Santa Fe, New Mexico, United States",1
1162ec61-c543-4b63-ac96-94c5d9862d9d,307876953,2025-08-20 13:19:48-06:00,2025-08-20,-105.8067481937,35.794116287,857PQ5VV+,3112.0,,14.4,31.1,0.0,16.2,,1017.5,Albatrellus ovinus,"Rio en Medio Trail, Tererro, NM, US",1
c44a136a-e8f1-4594-b3b8-84bce4ad8514,304327980,2025-07-30,2025-07-30,-105.800114,35.800797,857PR52X+,3266.0,,13.3,27.8,1.6,14.2,,1018.5,Albatrellus ovinus,"Santa Fe, New Mexico, United States",1
5ecf78bd-cc47-495a-a4b0-38bdf0a4f10c,255660259,2019-08-03 18:38:44-06:00,2019-08-03,-106.4428716667,39.4723033333,85FMFHC4+,3459.0,,6.7,23.3,0.0,7.6,,1017.9,Albatrellus ovinus,"White River National Forest, Red Cliff, CO, US",1
85f3a24e-e3e8-4589-a6e8-ae6c36ca0837,243503501,2024-07-14 18:33:23-06:00,2024-07-14,-106.347114699,35.8830299339,857MVMM3+,2323.0,,19.7,31.3,0.0,11.6,,1030.0,Albatrellus ovinus,"New Mexico, US",2
5eeaaa35-8910-4970-859e-3481c6cb007c,239732402,2024-09-02 12:00:25-06:00,2024-09-02,-106.260718015,38.9960806235,85CMXPWQ+,2910.0,,4.2,26.6,,,,,Albatrellus ovinus,"Pike and San Isabel National Forests, Granite, CO, US",1
3d00d3b1-d890-4790-bc4b-3085589bcb93,239703187,2024-09-03 11:05:00-06:00,2024-09-03,-105.719086,39.609279,85FPJ75J+,3343.0,,8.0,18.0,,10.2,,,Albatrellus ovinus,"Clear Creek County, US-CO, US",1
cd3846f1-3227-47b0-9f9e-1cd1cf351b97,238238058,2024-08-25 07:27:00-06:00,2024-08-25,-105.9672082504,35.658850939,857PM25M+,2086.0,,14.4,27.8,,17.8,,1019.0,Albatrellus ovinus,"Warner Ave, Santa Fe, NM, US",1
c988e95b-7fcb-4446-b0d2-9a0cc81b110f,237993792,2024-08-25 20:03:00-06:00,2024-08-25,-105.5403408408,39.6709809654,85FPMFC5+,3314.0,,1.5,12.8,5.8,10.8,,1025.0,Albatrellus ovinus,"Evergreen, CO 80439, USA",1
3ecbe664-9b31-4ab4-8bdc-29f68831f84d,236549597,2024-08-17 09:24:05-06:00,2024-08-17,-107.8324952257,37.9206545139,859JW5C9+,3296.0,,12.0,23.0,4.9,9.4,,1034.5,Albatrellus ovinus,"Telluride Ski Resort, Telluride, CO, US",1
