uuid,inat_id,timestamp,date,lon,lat,elevation,tavg,tmin,tmax,precipitation,windspeed,winddirection,presure,species,location,num_identification_agreements,olc
910c4a81-3cc9-497e-a0f8-253ca1753c66,297769686,2025-07-13 18:12:31-06:00,2025-07-13,-104.7943363823,39.0661025272,2276.0,,11.4,30.5,0.0,12.3,,1015.3,Amanita aprica,"Fox Run Regional Park, Colorado Springs, CO, US",1,
ae0617bb-635e-4fd9-9733-715a0edd78a6,265004711,2024-08-05 10:22:33-06:00,2024-08-05,-106.2288399805,39.6536518619,3548.0,,11.0,21.0,8.6,11.8,,1042.8,Amanita aprica,"White River National Forest, Avon, CO, US",1,
5ded56e3-6502-4f3a-87d2-9ebf7e7e1049,132604928,2022-08-28 09:58:31-06:00,2022-08-28,-105.8430265721,40.2399859319,2555.0,,2.8,22.7,0.3,6.1,,1023.2,Amanita aprica,"Grand County, US-CO, US",1,
8066140a-d3ea-49c0-bf68-ed21b2272fc4,393657730,2026-08-15 14:25:31-06:00,2026-08-15,-109.2717788928,42.7202576632,2992.0,,7.0,20.0,1.0,4.9,,,Amanita aprica,"Sublette County, US-WY, US",1,
df0baa48-ceb1-444c-aa1c-c8a3da6daf46,373787109,2026-05-30 13:22:50-07:00,2026-05-30,-121.79523281,45.31402627,996.0,,7.0,19.0,0.0,2.4,,,Amanita aprica,"Mt Hood, OR 97041, USA",2,
0040dd88-2b0c-4967-9551-428cea14da4a,373073296,2026-06-17 11:23:03-07:00,2026-06-17,-121.7803292816,45.3448068537,1393.0,,11.2,26.0,0.0,3.5,,,Amanita aprica,"Clackamas County, US-OR, US",1,
a5b88c69-42f8-4ce9-8739-68cad473ff47,371429378,2026-06-12 13:28:44-07:00,2026-06-12,-121.7924384993,45.3027970694,1130.0,,9.0,27.0,0.0,3.2,,,Amanita aprica,"Mirror Lake Trail, Government Camp, OR, US",1,
c20aa411-e882-455a-b753-7dc5d4a19346,371429352,2026-06-12 13:28:17-07:00,2026-06-12,-121.7924394686,45.3027982006,1130.0,,9.0,27.0,0.0,3.2,,,Amanita aprica,"Clackamas County, US-OR, US",1,
d7788c00-ac3e-4165-81e8-de42088076af,353850047,2026-04-25 13:25:58-07:00,2026-04-25,-122.0286263153,45.3971980652,758.0,,3.9,20.6,0.0,3.5,,,Amanita aprica,"Sandy, OR 97055, USA",1,
86d7d624-5564-4bb9-87f2-33dba5ae353c,292544161,2025-06-22 10:22:17-07:00,2025-06-22,-121.7914116667,45.3022383333,1121.0,,11.0,21.0,0.0,3.9,,1019.4,Amanita aprica,"Mt. Hood Park Division Recreation Area, Government Camp, OR, US",1,
54dc8e4b-1b9b-4bb2-bfea-fc0f5074c97a,291687315,2025-06-19 12:01:38-07:00,2025-06-19,-121.7920975025,45.3025728354,1130.0,,10.0,22.0,0.0,3.4,,1014.0,Amanita aprica,"Mt. Hood Park Division Recreation Area, Government Camp, OR, US",1,
e6ec8a3d-ecce-4d90-9ca0-719c5094ebd8,288793160,2025-06-10 11:58:07-07:00,2025-06-10,-121.879529,45.32002145,807.0,,13.0,31.0,0.0,4.4,,1010.9,Amanita aprica,"Mt. Hood Park Division Recreation Area, Rhododendron, OR, US",1,
c869afc8-55fd-4eea-af5f-b628d27edf24,286175387,2025-05-31 11:34:00-07:00,2025-05-31,-121.5739488254,45.1183838209,1058.0,,,,,,,,Amanita aprica,"Oregon, US",1,
a7e1d382-9b39-4c58-88c0-fdd1560a86fc,285240695,2025-05-29 11:13:28-07:00,2025-05-29,-121.6332633333,45.1727166667,1031.0,,,,,,,,Amanita aprica,"Mt. Hood National Forest, Maupin, OR, US",1,
677d94d6-d7c6-4365-8aa0-2abd14007872,282551376,2025-05-18 14:49:40-07:00,2025-05-18,-121.9392916667,45.2596133333,700.0,,9.4,14.4,0.6,9.1,,1021.4,Amanita aprica,"Zigzag Ranger Station, Government Camp, OR, US",2,
d9a1a422-e9de-4455-ab35-1957a569bdd2,247118608,2024-10-12 08:36:49-07:00,2024-10-12,-121.7336833333,45.3386833333,1747.0,,7.6,21.0,0.0,6.7,,1019.6,Amanita aprica,"MT HOOD PRKDL, OR 97041, USA",1,
958128b1-3e1e-42a7-8701-6205ab37706f,243376001,2024-09-20 11:29:08-07:00,2024-09-20,-121.6257083333,45.3195216667,1338.0,,10.8,19.5,0.0,16.6,,1017.7,Amanita aprica,"Mt. Hood Park Division Recreation Area, Mount Hood Parkdale, OR, US",1,
ecbe7a2d-a839-4c02-98d8-0dcbec545ab2,240069633,2024-09-04 12:44:07-07:00,2024-09-04,-121.7855,45.3843833333,985.0,,12.4,32.7,0.0,7.7,,1020.0,Amanita aprica,"Zigzag Ranger Station, Rhododendron, OR, US",1,
933c7231-97e6-4fee-849b-f14243d2082c,236859807,2024-05-30 18:19:00-07:00,2024-05-30,-121.9513931463,45.3104953764,591.0,,7.2,20.6,0.0,6.0,,1027.5,Amanita aprica,"Oregon, US",3,
0ddde9b4-6efd-4e93-9116-57aee37e7d7e,231207920,2024-06-06 13:57:00-07:00,2024-06-06,-122.1167237834,45.2414264619,1030.0,,8.9,28.3,0.0,4.8,,1017.1,Amanita aprica,"Clackamas County, OR, USA",1,
18e51bf7-7941-4428-89e0-82600102f8d3,230669830,2024-06-21 12:31:00-07:00,2024-06-21,-121.7865361111,45.3851166667,985.0,,12.3,32.1,0.0,9.2,,1012.0,Amanita aprica,"Clackamas County, OR, USA",1,
8a61c0bb-f4e3-4848-9baf-ec4dd4e76df9,229124279,2024-07-01 13:24:00-07:00,2024-07-01,-121.793027,45.2971917,1250.0,,12.6,25.4,0.0,16.9,,1019.1,Amanita aprica,"Mirror Lake, Oregon 97049, USA",1,
1bcc1aab-b224-49b1-b710-11ee8ae675ab,227825901,2024-07-05 18:59:58-07:00,2024-07-05,-121.8755583333,45.1489445,1234.0,,,,,,,,Amanita aprica,"Mt. Hood National Forest, Estacada, OR, US",1,
fee4bab6-75ff-4d0f-8f54-28c08af97aea,227539643,2024-07-06 08:46:31-07:00,2024-07-06,-121.7373083333,45.2964722222,1182.0,,16.4,35.9,0.0,12.2,,1013.3,Amanita aprica,"TIMBRLINE LDG, OR 97028, USA",1,
71ca0df1-0ffc-49fb-a63a-87ba6e415866,227433085,2024-07-04 12:04:27-07:00,2024-07-04,-121.7617361405,45.2952289648,1191.0,,11.5,33.2,0.0,6.9,,1020.4,Amanita aprica,"Mt. Hood Skibowl, Government Camp, OR, US",1,
47806750-206a-4102-9208-826380bac933,226808196,2024-07-02 18:40:53-07:00,2024-07-02,-121.6964432144,45.2795171137,1206.0,,11.7,23.7,0.0,16.9,,1020.8,Amanita aprica,"Mt. Hood Park Division Recreation Area, Government Camp, OR, US",2,
27adb7aa-f14c-480d-9d2f-75a7cb8d0bbc,226805957,2024-07-02 18:17:36-07:00,2024-07-02,-121.7060976847,45.277812284,1180.0,,11.7,23.7,0.0,16.9,,1020.8,Amanita aprica,"Mt. Hood Park Division Recreation Area, Government Camp, OR, US",2,
40273b97-d5d0-44b2-bce5-033d25afd964,226626770,2024-07-01 13:24:00-07:00,2024-07-01,-121.78508,45.3012383333,1126.0,,12.6,25.4,0.0,16.9,,1019.1,Amanita aprica,"Clackamas County, OR, USA",1,
7b320c1f-66f7-463f-994f-38ea8bd40265,226338527,2024-06-30 11:18:08-07:00,2024-06-30,-121.5823177993,45.3186495766,1203.0,,13.4,25.0,0.0,15.8,,1018.5,Amanita aprica,"MT HOOD PRKDL, OR 97041, USA",1,
6899ad8c-bf4a-4ada-9b52-0eb8bebe4b3e,226274116,2024-06-29 13:10:45-07:00,2024-06-29,-122.05535,45.3017833333,1204.0,,15.0,28.3,,4.1,,1016.1,Amanita aprica,"Zigzag Ranger Station, Sandy, OR, US",1,
5a1128d3-6b9c-4aba-9b55-51e9384b17b5,226139270,2024-06-26 14:05:11-07:00,2024-06-26,-121.6944779097,45.2234738328,1207.0,,,,,,,,Amanita aprica,"Zigzag Ranger Station, Maupin, OR, US",1,
898aca07-64b2-47f1-a28f-0cfa22ec574a,226106002,2024-06-29 13:27:57-07:00,2024-06-29,-121.7564055556,45.4335111111,1043.0,,13.9,26.5,0.0,11.0,,1014.7,Amanita aprica,"MT HOOD PRKDL, OR 97041, USA",1,
9c883b36-0c48-4dc3-ab93-dfe977b7a679,226012889,2024-06-29 12:48:45-07:00,2024-06-29,-121.6901321411,45.2345314026,1297.0,,,,,,,,Amanita aprica,Government Camp,2,
3d0435de-e702-40e7-825e-ecd023c7d768,225936310,2024-06-28 12:44:51-07:00,2024-06-28,-121.7859820872,45.3010154259,1135.0,,10.4,26.7,0.0,8.8,,1014.8,Amanita aprica,"Mt. Hood Park Division Recreation Area, Government Camp, OR, US",1,
2d604061-11a8-4eae-acd8-89a60f8d11f6,225924049,2024-06-28 14:49:15-07:00,2024-06-28,-121.7889333418,45.300426958,1162.0,,10.4,26.7,0.0,8.8,,1014.8,Amanita aprica,"Mt. Hood Park Division Recreation Area, Government Camp, OR, US",1,
9c3b8d68-6883-4865-8d29-0f46c65aa38f,225877086,2024-06-28 11:21:29-07:00,2024-06-28,-121.7565184997,45.1444325,1006.0,,,,,,,,Amanita aprica,"Clackamas County, OR, USA",1,
f70f4374-1cf3-4e35-997f-1ae976328b9d,225836746,2024-06-28 12:58:58-07:00,2024-06-28,-121.7879790125,45.2970797253,1309.0,,10.4,26.7,0.0,8.8,,1014.8,Amanita aprica,"Mt. Hood Park Division Recreation Area, Government Camp, OR, US",2,
489160fe-81fc-4ef7-9a2c-60c8e97968e0,225357648,2024-06-26 11:40:58-07:00,2024-06-26,-121.822004,45.3069055,957.0,,14.9,21.4,0.3,17.9,,1012.8,Amanita aprica,"Rhododendron, OR 97049, USA",1,
b7d4c58c-0e7b-4e63-80fa-a6d1baaa2f1b,225341812,2024-06-26 10:13:07-07:00,2024-06-26,-121.822004,45.3069055,957.0,,14.9,21.4,0.3,17.9,,1012.8,Amanita aprica,"Clackamas County, US-OR, US",1,
c00cb44b-4bce-40da-8c17-133d9e1ab0b7,224993844,2024-06-24 09:57:57-07:00,2024-06-24,-122.0918055,45.549195,959.0,,11.1,25.6,0.0,4.7,,1017.2,Amanita aprica,"Zigzag Ranger Station, Corbett, OR, US",1,
