uuid,inat_id,timestamp,date,lon,lat,elevation,tavg,tmin,tmax,precipitation,windspeed,winddirection,presure,species,location,num_identification_agreements
a42a8330-04cf-44bc-970d-aa3c22c0e906,393987172,2026-08-23 08:44:30-06:00,2026-08-23,-105.7706861111,39.5733972222,3384.0,,,,,,,,Amanita muscaria,"Dillon, CO 80435, USA",1
9954aa41-c7b2-4dd5-b242-8ddb212a5dfb,393987099,2026-08-23 08:55:07-06:00,2026-08-23,-105.7714888889,39.576875,3363.0,,,,,,,,Amanita muscaria,"Dillon, CO 80435, USA",1
ae49c57f-a116-4571-94b4-054dd2f8649a,393986877,2026-08-23 08:58:19-06:00,2026-08-23,-105.7719722222,39.5778555556,3371.0,,,,,,,,Amanita muscaria,"Dillon, CO 80435, USA",1
8726a0bf-bc0d-40b4-abbd-e4214140ba3b,393986744,2026-08-23 08:58:31-06:00,2026-08-23,-105.7719722222,39.5778555556,3371.0,,,,,,,,Amanita muscaria,"Dillon, CO 80435, USA",1
d84fdc0b-4d02-4a79-bb02-0bdfde903fa1,393983493,2026-08-23 12:20:57-06:00,2026-08-23,-105.7738888889,39.5812527778,3431.0,,,,,,,,Amanita muscaria,"Dillon, CO 80435, USA",1
707675e4-4f3b-4ee2-8dc8-81ff594befe3,393982897,2026-08-23 12:33:52-06:00,2026-08-23,-105.7718833333,39.5778722222,3371.0,,,,,,,,Amanita muscaria,"Dillon, CO 80435, USA",1
a5d89cfb-a6df-478a-9fc5-4a379f0e6127,393607300,2026-08-21 11:50:00-06:00,2026-08-21,-105.4714170384,40.4750844972,2414.0,,,,,,,,Amanita muscaria,"Larimer County, CO, USA",1
507371f9-16f0-4df4-a9b1-8cf2d91daad6,392903196,2026-08-18 14:07:00-06:00,2026-08-18,-105.6053659933,40.5605461705,2875.0,,,,,,,,Amanita muscaria,"Larimer County, CO, USA",1
daeaf229-8a5d-478e-bb2f-4f41966f2335,392845216,2026-08-15 13:05:00-06:00,2026-08-15,-105.3657140985,39.5283163145,2883.0,,14.4,26.1,1.3,4.4,,,Amanita muscaria,"Colorado, US",1
0db2f74c-629e-4fcb-a01c-b3e9bbf80dd1,392762162,2026-08-17 11:25:21-06:00,2026-08-17,-107.7743533333,37.8044283333,2996.0,,10.0,24.0,0.0,5.0,,,Amanita muscaria,"Silverton, CO, US",1
ddef3f8d-f5f2-486c-8160-04e1e32b7a9b,392742004,2026-08-19 11:14:31-06:00,2026-08-19,-105.560557135,40.7827624067,2487.0,,11.8,23.8,0.0,17.3,,1018.1,Amanita muscaria,"W County Road 74E, Red Feather Lakes, CO, US",1
376d5c51-acc0-4876-8b6f-ab0bb9668722,392687645,2026-08-14 14:28:28-06:00,2026-08-14,-107.9720166667,37.7399866667,3024.0,,10.0,19.0,4.5,2.8,,,Amanita muscaria,"County Road 578, Rico, CO, US",1
71cf1f19-2105-4191-9538-8a9e3d376a90,392662612,2026-08-14 11:54:23-06:00,2026-08-14,-107.249145,39.9616383333,3384.0,,15.0,28.0,2.1,6.1,,,Amanita muscaria,"Gypsum, CO, US",1
1f9423a7-a974-48e2-a846-54c0d31ff564,392598199,2026-08-18 08:26:47-06:00,2026-08-18,-105.6232402101,40.3265230685,2879.0,,9.9,25.2,1.1,9.0,,1019.1,Amanita muscaria,"Estes Park, CO 80517, USA",1
6b049fd7-79f9-4dc0-9134-c24005dfe621,392448006,2026-08-17 11:22:42-06:00,2026-08-17,-105.7268533333,40.4285283333,3212.0,,8.6,24.7,0.0,7.3,,1021.6,Amanita muscaria,"Rocky Mountain National Park, Estes Park, CO, US",1
833d321d-7fe0-4d58-87a5-120a33c290a9,392378227,2026-08-14 12:19:47-06:00,2026-08-14,-106.6537965462,35.94250117,2691.0,,18.3,28.4,8.8,4.7,,,Amanita muscaria,"Jemez Springs, NM 87025, USA",1
814d8d6a-81c0-49e0-9a29-c1a34902de47,392162034,2026-08-17 10:27:32-06:00,2026-08-17,-105.3910416667,39.5205083333,2767.0,,6.0,14.0,0.2,9.8,,,Amanita muscaria,"Jefferson County, US-CO, US",2
