uuid,inat_id,timestamp,date,lon,lat,elevation,tavg,tmin,tmax,precipitation,windspeed,winddirection,presure,species,location,num_identification_agreements,olc
ec48737e-ea6d-49cf-9d75-e35e29e1411b,324624824,2025-11-02 13:24:49-08:00,2025-11-02,-122.3029166667,45.48768,72.0,,6.0,15.0,3.3,4.1,,1026.0,Amanita phalloides,"Oxbow Regional Park, Gresham, OR, US",1,
2ab6d4d7-3921-42d3-8a6d-8345bc67ff4a,189142437,2023-10-27 11:31:16-07:00,2023-10-27,-122.2013164116,45.5956293051,285.0,,2.2,12.8,0.0,6.5,,1026.9,Amanita phalloides,"Oregon, US",2,
3b297f7c-1a5f-4381-a746-4fab9453087a,189142374,2023-10-27 11:13:14-07:00,2023-10-27,-122.2533336339,45.5914903943,256.0,,2.2,12.8,0.0,6.5,,1026.9,Amanita phalloides,"Oregon, US",2,
27ed9645-273c-41a0-bd97-d0884a885d98,63222579,2020-10-21 13:01:00-07:00,2020-10-21,-122.2791396112,45.4306654389,252.0,,6.1,15.0,,4.5,,1021.8,Amanita phalloides,"Oregon, US",2,
faa4684d-99df-4fe4-8942-efe917035722,339317129,2025-11-08,2025-11-08,-122.7152124,45.5162616,251.0,,6.0,16.0,0.0,15.4,,1020.6,Amanita phalloides,"Hoyt Arboretum, 4000 SW Fairview Blvd, Portland, OR 97221, USA",1,84QVG78M+
6db394a2-9a81-4e23-9038-f96e39dd50b8,337919143,2025-10-28 15:03:13-07:00,2025-10-28,-122.6783854142,45.5150549818,43.0,,7.0,14.0,0.3,14.1,,1022.6,Amanita phalloides,"SW Madison & 4th, Portland, OR 97204, USA",1,84QVG88C+
954f5f9d-4a95-406c-b1f1-122f109329e7,329427437,2025-12-01 16:18:27-08:00,2025-12-01,-122.7352533333,45.5398866667,275.0,,-1.0,8.0,0.0,1.8,,1025.4,Amanita phalloides,"Keil Trail, Portland, OR, US",2,84QVG7Q7+
2b26d60b-71cf-49f6-8779-de9e6c3d6a56,328573823,2025-11-27 13:43:15-08:00,2025-11-27,-122.6658972799,45.3934592069,210.0,,8.0,14.0,3.8,16.7,,1016.5,Amanita phalloides,"Oregon, US",1,84QV98VM+
7ec738f4-a54d-48dc-9336-3c1c5d5189cb,327955695,2025-11-23 11:33:22-08:00,2025-11-23,-122.764514,45.64342,11.0,,3.0,9.0,0.6,5.5,,1020.7,Amanita phalloides,"St. Johns, Portland, OR, USA",1,84QVJ6VP+
9e811f36-3488-4f12-a3cc-fca7559f628b,327583420,2025-11-21 14:57:42-08:00,2025-11-21,-122.5580222222,45.4248277778,128.0,,3.0,10.0,0.0,3.1,,1024.6,Amanita phalloides,"SE 97th & Lawnfield, Sunnyside, OR 97015, USA",1,84QVCCFR+
bcc27c2b-6708-43de-9364-c6f1c1f47a2c,326539969,2025-11-13 16:19:09-08:00,2025-11-13,-122.657383,45.544808,61.0,,11.0,15.0,2.0,5.2,,1005.4,Amanita phalloides,"Irvington, Portland, OR, USA",1,84QVG8VV+
b31ccc45-6be8-4a4a-ac06-577e0e47897b,326112761,2025-11-11 16:45:08-08:00,2025-11-11,-122.4422905841,45.5310683107,62.0,,9.0,15.1,0.0,2.6,,1019.5,Amanita phalloides,"NE Halsey St, Fairview, OR, US",1,84QVGHJ5+
36cc0485-7ca2-4926-8976-468e311c6433,323870527,2025-10-29 11:15:43-07:00,2025-10-29,-122.6294166667,45.5308416667,61.0,,8.0,16.0,0.2,4.9,,1029.1,Amanita phalloides,"NE Peerless Pl, Portland, OR, US",1,84QVG9JC+
0df21f58-5043-406b-a90c-647f1afcc0db,253569097,2024-11-29 15:45:27-08:00,2024-11-29,-122.5644403997,45.5750931997,8.0,,4.4,6.1,0.0,5.4,,1025.9,Amanita phalloides,"Portland, OR 97220, USA",1,84QVHCGP+
66a950f2-92d5-4c8a-ae77-372fa378de66,253469380,2024-09-27 12:10:31-07:00,2024-09-27,-122.3969974997,45.513697,91.0,,14.4,23.9,,5.2,,1018.6,Amanita phalloides,"Northeast, Gresham, OR, USA",1,84QVGJ73+
1339b695-ee7b-42d8-97e1-e05e008a8f2a,253239636,2024-11-26 16:07:12-08:00,2024-11-26,-122.7069245597,45.4913328593,192.0,,4.4,8.9,1.3,4.7,,1021.7,Amanita phalloides,"Oregon, US",1,84QVF7RV+
