uuid,inat_id,timestamp,date,lon,lat,elevation,tavg,tmin,tmax,precipitation,windspeed,winddirection,presure,species,location,num_identification_agreements,olc
bfe1a3ea-5706-42e4-bef6-0732fad49580,250856844,2024-11-07 15:17:41-08:00,2024-11-07,-122.0167482,45.3762302,356.0,,10.0,15.6,0.0,33.7,,1023.3,Amanita porphyria,"E Rufus Ridge Ln, Brightwood, OR, US",1,
7ee070e1-63ec-4090-a642-d0e40cd3accf,249074044,2024-10-19 14:25:46-07:00,2024-10-19,-122.290293,45.503126,146.0,,12.2,22.8,,5.8,,1023.4,Amanita porphyria,"Corbett, OR 97019, USA",1,
baa6bf3a-eff1-4f92-bc8f-6c727bc9985d,249004657,2024-10-19 14:42:45-07:00,2024-10-19,-122.2901772997,45.4971087997,60.0,,12.2,22.8,,5.8,,1023.4,Amanita porphyria,"FPW6+82V, Corbett, OR 97080, USA",2,
eb0393e4-7630-4fa5-bc15-a6af7776306b,246817661,2024-10-11 09:44:22-07:00,2024-10-11,-121.9390269166,45.2928635744,563.0,,14.4,21.1,0.0,16.4,,1015.5,Amanita porphyria,"Zigzag Ranger Station, Welches, OR, US",1,
cb20d31f-6725-4566-80cb-ec7d116db902,246654651,2024-10-09 13:04:24-07:00,2024-10-09,-121.8671540997,45.3035578,684.0,,10.0,17.4,0.1,9.9,,1018.0,Amanita porphyria,"Rhododendron, OR 97049, USA",1,
3231b66d-62ac-4838-a57d-6700f9b63a4e,245167943,2024-10-01 16:43:06-07:00,2024-10-01,-121.9609135,45.3281745,407.0,,10.1,23.4,0.0,11.2,,1020.7,Amanita porphyria,"E Elk Park Rd, Welches, OR, US",1,
1d5c07ad-0e1b-4d9b-8b89-afeb733bb42a,244617982,2024-09-27 11:46:06-07:00,2024-09-27,-122.14670901,45.4893080994,614.0,,14.4,23.9,,5.2,,1018.6,Amanita porphyria,"Corbett, Corbett, OR, US",1,
126ef996-f57a-452c-8b84-d6456d6ce95e,244617082,2024-09-27 11:42:37-07:00,2024-09-27,-122.1308602125,45.4910516245,725.0,,14.4,23.9,,5.2,,1018.6,Amanita porphyria,"Corbett, Corbett, OR, US",1,
c39ac667-f7a9-4e4f-9a13-1a2a5ab1cada,244426523,2024-09-27 11:46:00-07:00,2024-09-27,-122.037310869,45.5128128272,578.0,,14.4,23.9,,5.2,,1018.6,Amanita porphyria,"Zigzag Ranger Station, Corbett, OR, US",1,
9f8961b1-a169-40f3-8ff6-d974f722a034,244246162,2024-09-19 14:24:27-07:00,2024-09-19,-121.5762447,45.1460549997,923.0,,,,,,,,Amanita porphyria,"Maupin, OR 97037, USA",1,
21bd803a-f733-42b0-b68b-7e79740c284d,243253905,2024-09-21 09:47:00-07:00,2024-09-21,-121.9004027997,45.3165286997,562.0,,8.3,25.6,0.0,3.1,,1020.8,Amanita porphyria,"Rhododendron, OR 97049, USA",1,
7f5e3101-93a4-46c8-a02d-a33f1482f7d3,138935883,2022-10-15 13:43:06-07:00,2022-10-15,-121.7392434552,45.274510354,1105.0,,10.2,24.3,0.0,5.6,,1016.2,Amanita porphyria,"TIMBRLINE LDG, OR 97028, USA",1,
41c0d12d-d5c3-4ec5-8e7a-bd72121532be,138215605,2022-10-07 14:50:46-07:00,2022-10-07,-121.943299932,45.3071927395,485.0,,11.1,27.2,0.0,3.5,,1020.5,Amanita porphyria,"Clackamas County, US-OR, US",2,
bc6bfec6-2dc3-42c2-b575-9fbfc80cd889,98377192,2021-10-15 12:42:01-07:00,2021-10-15,-121.9648241031,45.3926554953,1083.0,,7.8,18.9,0.0,3.8,,1022.5,Amanita porphyria,"Clackamas County, US-OR, US",1,
c238ce41-7437-4cdb-8ab4-927c89bd9cad,34220697,2019-10-04 12:39:00-07:00,2019-10-04,-122.0373833333,45.3841694444,355.0,,9.4,17.2,,4.8,,1022.4,Amanita porphyria,"Clackamas County, OR, USA",2,
d6776eaf-1c9b-40dd-9f7f-5fa013610704,3593069,2013-10-23,2013-10-23,-121.7,45.3515,2309.0,,,,,,,,Amanita porphyria,"Mount Hood, Mount Hood National Forest, Oregon, USA",2,
6bd85dfc-508b-4b21-9a58-7467eff5d6e5,244849723,2024-09-21 09:13:59-07:00,2024-09-21,-122.1765583333,44.7060466667,514.0,,,,,,,,Amanita porphyria,"Willamette National Forest, Idanha, OR, US",1,84PVPR4F+
