uuid,inat_id,timestamp,date,lon,lat,elevation,tavg,tmin,tmax,precipitation,windspeed,winddirection,presure,species,location,num_identification_agreements
631d609d-13eb-49fa-b9cb-5815b1bd6005,304866484,2025-08-08 08:02:42-06:00,2025-08-08,-106.3851607,35.8909522,2865.0,,20.9,32.5,0.8,13.7,,1025.1,Amanita sp. 'tlaxcalipanthera',"Los Alamos County, NM, USA",3
7f1d39db-4df9-4012-a69b-35355637d242,298764086,2025-07-15 14:16:00-06:00,2025-07-15,-105.804825,35.7958,3124.0,,14.4,32.8,0.0,13.5,,1011.1,Amanita sp. 'tlaxcalipanthera',"Santa Fe, New Mexico, United States",5
37a00faa-55eb-45b7-8aa9-204728df6dba,236748062,2024-08-19 10:22:50-06:00,2024-08-19,-105.3757335617,39.5001168974,2563.0,,17.2,29.4,,12.0,,1017.6,Amanita sp. 'tlaxcalipanthera',"Staunton State Park, Pine, CO, US",3
8452c7e5-a8b2-4bbd-8541-2d7db1bd4d85,236747905,2024-08-19 10:19:44-06:00,2024-08-19,-105.3757049957,39.5001265581,2563.0,,17.2,29.4,,12.0,,1017.6,Amanita sp. 'tlaxcalipanthera',"Staunton State Park, Pine, CO, US",3
4d3b8c04-7fc8-47c4-8baf-47faccfd349a,233819286,2024-08-04 12:52:08-06:00,2024-08-04,-106.8455633677,36.0409977935,2884.0,,,,,,,,Amanita sp. 'tlaxcalipanthera',"Rio Arriba County, US-NM, US",4
9d436533-945e-4c26-becf-01d0dada9735,231343534,2024-07-23 16:23:09-06:00,2024-07-23,-107.6463215,39.08474375,3013.0,,7.5,20.8,0.0,9.2,,1019.3,Amanita sp. 'tlaxcalipanthera',"Overland Reservoir, Paonia, CO, US",3
6cc35823-11a2-4bc0-8b56-03afca85e456,229817265,2024-07-16 18:18:22-06:00,2024-07-16,-107.5501020798,38.241502165,2774.0,,16.7,31.7,0.0,12.1,,1014.4,Amanita sp. 'tlaxcalipanthera',"Grand Mesa Uncompahgre and Gunnison National Forests, Cimarron, CO, US",3
6da63030-b74d-4cff-903f-5dc170ea2fff,229814191,2024-07-16 16:17:12-06:00,2024-07-16,-107.53813,38.2314116667,2784.0,,16.7,31.7,0.0,12.1,,1014.4,Amanita sp. 'tlaxcalipanthera',"Grand Mesa Uncompahgre and Gunnison National Forests, Cimarron, CO, US",2
06f48f40-4b09-4c17-a1f8-b5638145246c,228548210,2024-07-10 14:34:56-06:00,2024-07-10,-108.0098035659,39.0144952523,3101.0,,15.3,34.7,0.0,11.9,,1014.0,Amanita sp. 'tlaxcalipanthera',"Grand Mesa Uncompahgre and Gunnison National Forests, Cedaredge, CO, US",2
558a0519-70ba-4f98-b775-ba50d1a2ad91,226803885,2024-07-02 16:39:34-06:00,2024-07-02,-107.9512003924,38.9808106245,2373.0,,14.7,29.3,9.4,12.3,,1011.7,Amanita sp. 'tlaxcalipanthera',"Cedaredge, CO, US",3
d3a480ca-2a33-4395-9dab-033448c2397f,191826152,2023-07-12 21:18:03-06:00,2023-07-12,-104.9288171969,38.8567234431,1991.0,,16.5,30.0,0.0,17.6,,1021.9,Amanita sp. 'tlaxcalipanthera',"Intemann Trail, Manitou Springs, CO, US",3
88fc2fbc-e66a-4d46-9f0f-47b85401fb95,127399456,2022-07-22 08:49:36-06:00,2022-07-22,-105.371345,39.3129966667,2467.0,,7.3,22.2,0.5,6.7,,1016.3,Amanita sp. 'tlaxcalipanthera',"Pike and San Isabel National Forests, Sedalia, CO, US",2
