uuid,inat_id,timestamp,date,lon,lat,elevation,tavg,tmin,tmax,precipitation,windspeed,winddirection,presure,species,location,num_identification_agreements,olc
5d47dbfb-f81f-44ac-b8d0-6e155645dcb9,349683954,2026-04-13 09:58:19-07:00,2026-04-13,-122.0180517997,45.6365035997,227.0,,8.9,13.9,0.6,3.5,,,Amanita vernicoccora,"Stevenson, WA 98648, USA",1,
ae4dbab0-95e2-4daa-9fd7-40b68d4876b9,221393428,2024-06-08 11:46:44-07:00,2024-06-08,-121.9428848997,45.3062541997,485.0,,13.3,28.3,0.0,5.8,,1012.1,Amanita vernicoccora,"Welches, OR 97067, USA",1,
65eb7a75-893d-476d-a33b-6cfdc3303d19,163567251,2023-05-24 11:31:18-07:00,2023-05-24,-121.7878343691,45.693741431,78.0,,8.0,23.8,0.0,9.3,,1015.2,Amanita vernicoccora,United States,1,
309be3e4-6d41-45f6-aad1-1820f1632023,222115620,2024-06-09 13:24:48-07:00,2024-06-09,-121.091211,45.1718129,378.0,,,,,,,,Amanita vernicoccora,"Timber Ln, Maupin, OR, US",1,84QW5WC5+
54f60949-3351-43ae-89fe-393cc6c0eea4,188738654,2023-10-23 12:27:18-07:00,2023-10-23,-121.9746515527,44.7817048698,691.0,,,,,,,,Amanita vernicoccora,"Detroit, OR 97342, USA",1,84PWQ2JG+
e87e8236-a64a-4b85-aaec-974710148600,258279137,2024-04-27 13:41:03-07:00,2024-04-27,-122.4478916,45.8400020997,151.0,,10.0,12.8,,8.1,,1018.3,Amanita vernicoccora,"Yacolt, WA 98675, USA",3,84QVRHR2+
d84b380d-48ad-4ea1-85d3-96f849a7bff1,216047782,2024-05-13 16:20:21-07:00,2024-05-13,-121.51561141,45.81014981,296.0,,9.3,21.3,0.0,15.7,,1015.9,Amanita vernicoccora,"White Salmon, WA 98672, USA",3,84QWRF6M+
94933090-a46e-473e-a699-9ece5cbbb1f0,119540817,2022-05-30 13:37:58-07:00,2022-05-30,-121.447805,45.7956966667,540.0,,7.7,15.9,0.0,12.6,,1019.9,Amanita vernicoccora,"Elfkin Hollow Rd, White Salmon, WA, US",1,84QWQHW2+
11a03bc9-0889-40d8-962c-519266696c75,45240647,2020-04-30 11:47:11-07:00,2020-04-30,-122.4474806556,45.6379910542,77.0,,10.6,18.3,,7.2,,1019.5,Amanita vernicoccora,"Camas, WA, US",1,84QVJHQ3+
0c774730-e1e1-4127-84c8-87e108ace3af,6218453,2017-05-14 19:48:00+01:00,2017-05-14,-121.5015792847,45.8120207975,169.0,,4.4,17.8,0.0,14.6,,1016.1,Amanita vernicoccora,"Klickitat County, WA, USA",4,84QWRF6X+
