uuid,inat_id,timestamp,date,lon,lat,olc,elevation,tavg,tmin,tmax,precipitation,windspeed,winddirection,presure,species,location,num_identification_agreements
29b80ad1-f428-45fd-b0cd-fd0644d32020,140826186,2022-11-01 16:19:54-07:00,2022-11-01,-122.4726783495,45.3901300214,84QV9GRG+,35.0,,7.2,11.7,,7.1,,1007.6,Armillaria sinapina,"S Stevens Rd, Oregon City, OR, US",1
d2ab4295-544e-4952-8de8-cd9f19bd53c7,64797832,2020-10-24 14:49:12-07:00,2020-10-24,-121.9815817667,45.3315337124,84QW82J9+,618.0,,6.7,14.4,,17.2,,1020.2,Armillaria sinapina,"Oregon, US",1
dc102d86-c375-4bd9-b259-450fa993ef79,64797784,2020-10-24 14:45:04-07:00,2020-10-24,-121.9159750778,45.3394013682,84QW83QM+,536.0,,6.7,14.4,,17.2,,1020.2,Armillaria sinapina,"Oregon, US",1
efbc3f5b-cdfb-46d1-b617-3b84db18f6c9,63810139,2020-10-23 11:48:53-07:00,2020-10-23,-121.8483333333,45.3069444444,84QW8542+,733.0,,,,,,,,Armillaria sinapina,"Rhododendron, OR 97049, USA",1
f62da975-a90f-4594-ae1c-03934e5fe05a,306480076,2025-08-14 12:25:00-06:00,2025-08-14,-107.87688333,37.81242778,859JR46F+,3111.0,,14.0,23.0,1.2,9.1,,1030.5,Armillaria sinapina,"San Miguel, Colorado, United States",2
f1deafa6-48da-41bf-9541-cbdde48e0ac5,255927829,2024-11-23 14:49:48-08:00,2024-11-23,-122.7216809615,45.5276275492,84QVG7HH+,211.0,,7.8,10.6,5.6,9.7,,1008.3,Armillaria sinapina,"Hillside, Portland, OR 97210, USA",1
bce51488-af11-4de0-936a-026090c03a26,189017419,2023-10-24 10:41:24-07:00,2023-10-24,-122.6777583333,45.4384166667,84QVC8QC+,81.0,,8.3,11.7,11.2,10.1,,1013.3,Armillaria sinapina,"Tryon Creek State Natural Area, Portland, OR, US",1
db54687e-1b74-488c-ad41-82ccc5f2540c,188109841,2023-10-18 17:36:18-07:00,2023-10-18,-122.6820366667,45.4449083333,84QVC8V9+,77.0,,8.9,22.8,0.0,3.2,,1018.5,Armillaria sinapina,"Tryon Creek State Natural Area, Portland, OR, US",1
3c933552-6e12-4b23-8c7a-d10a2911384d,100560169,2021-11-07 11:25:42-08:00,2021-11-07,-122.818895,45.60408,84QVJ53J+,214.0,,4.4,8.3,,13.0,,1020.5,Armillaria sinapina,"Forest Park, Portland, OR, US",1
e38ba43b-1b8e-4b68-b45d-f336ceb66153,100200546,2021-11-03 19:32:41-07:00,2021-11-03,-122.6804716667,45.4248366667,84QVC8F9+,93.0,,8.9,14.4,6.6,12.6,,1015.3,Armillaria sinapina,"Tryon Creek State Natural Area, Lake Oswego, OR, US",1
a6d45b81-06e7-49c8-9d7a-c39bfd538f63,99758100,2021-10-29 17:18:08-07:00,2021-10-29,-122.8321048584,45.3819428649,84QV95J9+,39.0,,7.8,18.3,,8.6,,1018.4,Armillaria sinapina,"Tualatin River National Wildlife Refuge, Sherwood, OR, US",1
ed93e6ba-61ea-4fef-8005-d9277253aa50,99509117,2021-10-25 12:57:02+00:00,2021-10-25,-122.7351333333,45.5409666667,84QVG7R7+,275.0,,11.7,14.4,,15.3,,1000.0,Armillaria sinapina,"Portland, OR 97210, USA",1
5a9f1cb5-2763-472c-b1d2-685b1bfd78fa,66275847,2020-11-02 13:45:00-07:00,2020-11-02,-122.369263,44.399212,84PV9JXJ+,527.0,,,,,,,,Armillaria sinapina,"Linn County, OR, USA",2
7b6307e6-0393-405d-8aa9-55dd0524a473,66068128,2020-12-03 11:45:12+00:00,2020-12-03,-122.7744188905,45.5427244942,84QVG6VG+,197.0,,-0.6,8.9,0.0,3.6,,1027.2,Armillaria sinapina,"Northwest Heights, Portland, OR 97229, USA",1
45734a2a-a1f5-4ebc-89a3-73cedb396ad3,65441452,2020-11-22 14:51:20+00:00,2020-11-22,-122.5270410274,45.5431484543,84QVGFVF+,75.0,,1.1,8.3,1.3,9.4,,1017.7,Armillaria sinapina,"Oregon, US",1
2a6368d2-413c-41eb-99a6-f0a0059807ab,35588768,2019-11-10 13:43:00-08:00,2019-11-10,-122.7744138889,45.5746777778,84QVH6FG+,290.0,,7.2,12.2,0.0,1.3,,1024.6,Armillaria sinapina,"Northwest Portland, Portland, OR, USA",1
f6646936-f6e0-491f-b05e-c59e272dd2af,34923034,2019-10-26 11:15:42-07:00,2019-10-26,-122.6121063515,45.6209785761,84QVJ9CQ+,93.0,,5.0,13.9,,4.7,,1026.8,Armillaria sinapina,United States,1
7547516c-26f5-4351-86f6-85bf5a261b65,34899428,2019-10-25 13:15:00-07:00,2019-10-25,-122.845052518,45.5196261672,84QVG593+,62.0,,,,,7.3,,1023.6,Armillaria sinapina,"Five Oaks, Beaverton, OR, USA",1
