uuid,inat_id,timestamp,date,lon,lat,elevation,tavg,tmin,tmax,precipitation,windspeed,winddirection,presure,species,location,num_identification_agreements,olc
ed5a0baa-b02f-4836-889b-324c52db0657,305059941,2025-08-09 10:24:50-06:00,2025-08-09,-106.65335,39.5138783333,3037.0,,12.2,29.4,0.0,11.1,,1013.3,Arrhenia epichysium,"Main St, Eagle, CO, US",1,
60ffd1bd-d465-4d14-b111-0c69e3bf0ca9,131644358,2022-08-20 11:19:52-06:00,2022-08-20,-107.9514,37.8006216667,3268.0,,10.0,17.0,13.8,5.1,,1029.5,Arrhenia epichysium,"San Juan National Forest headquarters, Dolores, CO, US",1,
53155df3-ac88-4c9c-b949-76e62c6f0898,131499039,2022-08-19 11:29:44-06:00,2022-08-19,-107.950645,37.8007783333,3268.0,,10.0,17.0,7.5,3.4,,1030.0,Arrhenia epichysium,"San Juan National Forest headquarters, Dolores, CO, US",1,
5a3b1235-3845-4c79-a0c6-88701c6077bb,131369961,2022-08-18 11:24:51-06:00,2022-08-18,-108.0075065997,37.7745516,3062.0,,9.0,23.0,0.6,6.6,,1032.2,Arrhenia epichysium,"Dolores, CO 81323, USA",1,
ae165869-9713-4c2f-8bdc-c174af7e89a2,27908251,2019-06-29 12:23:14-07:00,2019-06-29,-122.221590419,44.8892196984,1145.0,,,,,,,,Arrhenia epichysium,"Mt. Hood National Forest, Colton, OR, US",1,84PVVQQH+
f918a14c-d487-4083-8615-e007afbc802b,253123596,2024-11-13 13:37:48-08:00,2024-11-13,-122.763075,45.649699,14.0,,10.0,12.8,,11.9,,1005.6,Arrhenia epichysium,"St. Johns, Portland, OR, USA",1,84QVJ6XP+
6f3ff830-f0fd-475a-9123-7ab66e81ba65,203990881,2024-03-24 16:49:57-07:00,2024-03-24,-122.6002027778,45.37255,12.0,,5.0,11.7,,8.0,,1009.8,Arrhenia epichysium,"Citizen Involvement Committee, Oregon City, OR, USA",1,84QV99FX+
bcb3c130-f1cf-405f-a3d3-352aac8525f1,152198621,2023-03-24 17:51:32-07:00,2023-03-24,-122.6251777634,45.462711274,36.0,,2.2,8.3,12.2,12.2,,1024.4,Arrhenia epichysium,"SE Johnson Creek & 36th, Portland, OR 97222, USA",2,84QVF97F+
e6eff6f7-ae38-49a1-8ce0-9ed35c33374b,41509331,2018-11-11 14:48:10+00:00,2018-11-11,-122.3768166667,45.5514833333,13.0,,6.1,11.7,,34.1,,1028.6,Arrhenia epichysium,"Sandy River Delta Recreation Area, Troutdale, OR, US",1,84QVHJ2F+
8cb05cc6-5f77-4cb0-9aa7-47575aedca10,22005741,2019-04-04 11:59:35-07:00,2019-04-04,-122.3772964478,45.5522155762,9.0,,7.2,15.6,,8.7,,1013.4,Arrhenia epichysium,"Old Channel Trail, Troutdale, OR 97060, USA",1,84QVHJ2F+
9a715ab6-6374-408d-bb1c-ed1a25768f32,21930801,2019-04-01,2019-04-01,-122.374,45.5463,13.0,,8.9,20.0,0.0,8.8,,1014.9,Arrhenia epichysium,"Sandy River Delta Park, Troutdale, Oregon, USA",1,84QVGJWG+
8aa4ec45-c234-403a-b323-99c0eaf37fd5,21215457,2019-03-12 14:18:25-07:00,2019-03-12,-122.763633728,45.6503295898,3.0,,4.4,8.9,,9.2,,1013.8,Arrhenia epichysium,"Unnamed Road, Portland, OR 97203, USA",1,84QVM62P+
c7ff3035-e1c9-4343-888c-bb47682674b7,20016628,2019-02-01 13:05:01-08:00,2019-02-01,-122.6953504701,45.4995009117,203.0,,4.4,7.2,2.0,19.4,,1005.5,Arrhenia epichysium,"Marquam Nature Park, Portland, OR, US",1,84QVF8X3+
e8da5d08-8c16-4db5-aaaf-2a81f19c6ff2,19951231,2019-01-29 08:08:25-08:00,2019-01-29,-122.7637710571,45.6470031738,15.0,,-2.2,11.1,0.0,7.5,,1019.1,Arrhenia epichysium,"Kelley Point Park, 8301-8449 N Kelley Point Park Rd, Portland, OR 97203, USA",1,84QVJ6WP+
f965e01b-6335-422d-b2ff-1e3554e4b220,10486243,2018-03-28 08:10:00-07:00,2018-03-28,-122.7629832085,45.6468390115,15.0,,7.8,13.3,0.0,5.3,,1031.0,Arrhenia epichysium,"North Portland, Portland, OR, USA",1,84QVJ6WP+
b9e7f6ac-ab69-4990-a7fd-d5df37c56d05,9683576,2018-01-31 09:08:00-08:00,2018-01-31,-122.76307,45.65071,3.0,,,,,1.7,,1024.7,Arrhenia epichysium,"North Portland, Portland, OR, USA",1,84QVM62P+
dd8eecd7-140e-4ca1-832c-8c7f5b1b1733,9413778,2018-01-08 09:13:00-08:00,2018-01-08,-122.7652324084,45.6478409842,17.0,,2.2,7.2,,1.3,,1008.9,Arrhenia epichysium,"North Portland, Portland, OR, USA",1,84QVJ6XM+
dd32d93e-5d5f-43d0-b326-d0c6d5e8c5e8,9194501,2017-12-18 08:24:00-08:00,2017-12-18,-122.7650656924,45.6480446644,5.0,,8.3,11.7,,6.1,,1020.0,Arrhenia epichysium,"North Portland, Portland, OR, USA",1,84QVJ6XM+
9d2d3275-6b15-4a3c-87e4-8aad5e6b9d78,8795350,2017-11-13 09:10:00-08:00,2017-11-13,-122.7651472483,45.6478925329,17.0,,8.3,12.2,,14.8,,1011.4,Arrhenia epichysium,"North Portland, Portland, OR, USA",1,84QVJ6XM+
