uuid,inat_id,timestamp,date,lon,lat,elevation,tavg,tmin,tmax,precipitation,windspeed,winddirection,presure,species,location,num_identification_agreements,olc
b428b4a9-634f-41c7-8cd1-c50448549c63,390569346,2026-08-01,2026-08-16,-108.0570873991,37.8832135222,2900.0,,8.0,23.0,0.0,5.0,,,Aspropaxillus giganteus,Woods Lake,1,
a37f63c8-0083-47a8-a12b-757117cf2eb1,389066425,2026-08-03 16:51:00-06:00,2026-08-03,-107.9528977977,37.7285510049,3204.0,,14.0,27.0,0.0,6.0,,,Aspropaxillus giganteus,"Dolores County, US-CO, US",2,
c0377235-f63f-441c-9da8-d52164c0c215,388289995,2026-08-04 12:31:29-06:00,2026-08-04,-107.8349651027,37.8531258808,3020.0,,13.0,27.0,0.0,5.0,,,Aspropaxillus giganteus,"San Miguel County, US-CO, US",1,
8e82d496-8076-4a75-8240-2c01f5c39c36,383496272,2026-07-20 19:40:49-06:00,2026-07-20,-105.8594670241,35.7878767091,2548.0,,17.8,32.2,0.5,4.8,,,Aspropaxillus giganteus,"Pacheco Canyon Rd, Tererro, NM, US",1,
1fafd2f7-a487-417b-bce0-4076960c05a8,314262624,2025-09-07 12:58:00-06:00,2025-09-07,-105.3984193183,36.5687463283,3509.0,,3.0,22.0,0.3,13.5,,1031.1,Aspropaxillus giganteus,"Taos County, NM, USA",1,
b8c58291-3dc6-4012-b464-24270c3b14ef,313218857,2025-09-11 13:38:48-06:00,2025-09-11,-105.8082944444,35.7897083333,3123.0,,13.0,28.0,0.0,21.1,,1025.2,Aspropaxillus giganteus,"NM-475 & Norski Trailhead, New Mexico 87506, USA",1,
5cae8311-b2ae-4748-9e39-bcbbb5545d4e,308595375,2025-08-23 08:53:10-06:00,2025-08-23,-105.8066416667,39.8947833333,2818.0,,0.5,14.1,3.4,10.2,,1024.6,Aspropaxillus giganteus,"Blue Sky Trail, Winter Park, CO, US",1,
4fc219e7-725b-4b0c-ae7d-b061b14e1cb5,307610524,2025-08-02 12:53:33-06:00,2025-08-02,-105.6653944775,39.2636779804,2748.0,,10.0,18.0,3.7,8.2,,1023.5,Aspropaxillus giganteus,"Fairplay, CO 80456, USA",1,
6e3ae91c-eeb9-4517-a25c-249483cec7ad,240582556,2024-09-07 14:46:44-06:00,2024-09-07,-105.640755,35.8761283333,3170.0,,10.0,28.3,0.0,9.0,,1018.8,Aspropaxillus giganteus,"Santa Fe National Forest, Cleveland, NM, US",1,
6df14115-5ac8-4d71-9ea4-6b96b568edb2,236850727,2024-08-10 13:34:00-06:00,2024-08-10,-105.8067138889,35.7932416667,3072.0,,17.2,28.3,,11.2,,1017.7,Aspropaxillus giganteus,"Santa Fe County, NM, USA",1,
6130c170-6e8d-476b-943a-779866697483,235346619,2024-08-10 12:57:42-06:00,2024-08-10,-105.790445,35.809525,3249.0,,17.2,28.3,,11.2,,1017.7,Aspropaxillus giganteus,"Santa Fe National Forest, Tererro, NM, US",1,
f5f4dee7-14db-4e5b-8818-b5c15cd3d906,131923098,2022-08-15 09:20:49-06:00,2022-08-15,-107.9519116667,37.8017783333,3268.0,,10.0,19.0,17.4,3.9,,1030.4,Aspropaxillus giganteus,"San Juan National Forest headquarters, Dolores, CO, US",1,
0cdb93d7-f1cd-4939-9aaa-9b7da87138fa,131908281,2022-08-20 10:37:34-06:00,2022-08-20,-107.8809583002,37.8327408806,2982.0,,10.0,17.0,13.8,5.1,,1029.5,Aspropaxillus giganteus,"San Miguel County, US-CO, US",1,
20833ea9-0673-4217-a750-53d5e443089c,331382822,2025-12-14 13:10:32-08:00,2025-12-14,-122.7905672711,45.5833719277,257.0,,6.0,11.0,0.5,3.7,,1018.3,Aspropaxillus giganteus,"Wildwood Trail, Portland, OR, US",1,84QVH6M5+
