uuid,inat_id,timestamp,date,lon,lat,elevation,tavg,tmin,tmax,precipitation,windspeed,winddirection,presure,species,location,num_identification_agreements,olc
0d13b30a-fad0-414b-b54d-0c096f85fbaf,359120269,2026-05-06 18:01:36-07:00,2026-05-06,-122.0819194444,45.3113944444,939.0,,10.3,20.0,0.3,2.4,,,Atheniella aurantiidisca,"Sandy, OR 97055, USA",1,
fc8af789-88a0-4632-aea7-beca302ab5fd,339209493,2014-10-18 13:45:00-07:00,2014-10-18,-121.7514669,45.2501185,1107.0,,,,,,,,Atheniella aurantiidisca,"Mt Hood National Forest, Oregon 97028, États-Unis",1,
b1d6d589-cdac-4848-ac40-a685986c2fe7,250976666,2024-11-08 15:23:58-08:00,2024-11-08,-122.0438916667,45.38298,309.0,,9.4,15.6,0.0,26.4,,1020.0,Atheniella aurantiidisca,"Barlow Wayside Park, Sandy, OR, US",1,
d6db83d9-9daa-400e-898f-da5d934e6fcc,242695202,2024-09-18 10:52:24-07:00,2024-09-18,-121.7518783333,45.3094216667,1247.0,,13.5,21.8,0.0,13.5,,1013.5,Atheniella aurantiidisca,"Mt. Hood Park Division Recreation Area, Government Camp, OR, US",1,
115ebfef-00ee-46a0-9a21-6140ae97ccf2,191532878,2023-11-16 13:10:02-08:00,2023-11-16,-121.9385480136,45.2877944366,534.0,,5.4,16.7,0.0,11.5,,1017.7,Atheniella aurantiidisca,"Rhododendron, OR 97049, USA",1,
e5757059-fc51-40f4-bfd9-d60a5141940a,191152442,2023-11-14 15:24:58-08:00,2023-11-14,-122.17253,45.5173383333,546.0,,5.0,14.4,,4.4,,1015.6,Atheniella aurantiidisca,"E Larch Mountain Rd, Corbett, OR, US",1,
613f7f8b-0b25-47f7-9f73-dfffd6c5281e,189300247,2023-10-28 13:00:09-07:00,2023-10-28,-122.109925,45.2998116667,508.0,,3.9,12.2,0.0,19.5,,1031.7,Atheniella aurantiidisca,"Zigzag Ranger Station, Sandy, OR, US",1,
891e15e2-5451-4e50-badc-216a3be6a51d,138248258,2022-10-08 14:34:04-07:00,2022-10-08,-121.5870283333,45.3214716667,1174.0,,12.7,26.1,0.0,3.7,,1021.2,Atheniella aurantiidisca,"Mt. Hood Park Division Recreation Area, Mount Hood Parkdale, OR, US",1,
0e1782e5-6a6f-4e64-a8b1-ab35e135a742,122578865,2022-06-18 09:43:44-07:00,2022-06-18,-122.0787971667,45.5509616667,837.0,,10.6,17.8,,5.0,,1016.8,Atheniella aurantiidisca,"Mark O. Hatfield Wilderness, Corbett, OR, US",1,
c671bb71-07aa-4f4b-b8e1-5fb465b17620,100772384,2021-10-09 10:25:00-07:00,2021-10-09,-121.7371846186,45.2769213889,1115.0,,,,,,,,Atheniella aurantiidisca,"Clackamas County, OR, USA",2,
b7a5cf51-e2a0-4fb0-aae7-18caa9c5e966,80131747,2021-05-22 15:54:00-10:00,2021-05-22,-121.8168822286,45.2064874116,1129.0,,,,,,,,Atheniella aurantiidisca,"Oregon, US",1,
be638789-174d-4d6a-8139-894e7e1f3d3d,63556064,2020-10-17 16:00:00-07:00,2020-10-17,-121.9362496957,45.2707147013,567.0,,12.8,17.8,0.8,3.4,,1022.1,Atheniella aurantiidisca,"Welches, OR 97067, USA",1,
59fa3d98-3eed-4c34-9fd2-8e6f1408498d,63392988,2020-10-23 17:26:11-07:00,2020-10-23,-121.6907939562,45.3876776376,2331.0,,-2.2,11.7,0.0,6.0,,1018.8,Atheniella aurantiidisca,"Oregon, US",1,
2b27088c-ca72-4d69-b66a-5d422866b206,63366534,2020-10-23 13:20:50-07:00,2020-10-23,-121.9498016461,45.2884585723,807.0,,5.6,14.4,,11.4,,1018.6,Atheniella aurantiidisca,"Oregon, US",1,
f8ac410a-7d62-450b-a6b8-1ed5df1d8889,63294355,2020-10-22 14:26:57-07:00,2020-10-22,-121.6112659813,45.2457545811,1084.0,,,,,,,,Atheniella aurantiidisca,"Oregon, US",1,
5e2f72ac-a1be-4192-91b6-31a2528d9e3c,61036171,2020-09-27 12:00:41-07:00,2020-09-27,-122.0808464267,45.3666449076,527.0,,10.6,24.4,0.0,1.7,,1027.9,Atheniella aurantiidisca,"Oregon, US",1,
0f3e89a0-1385-41a1-acbf-f48bbcbf34c4,57809145,2020-06-14 15:48:56-07:00,2020-06-14,-121.7820100997,45.4226432997,1059.0,,,,,,,,Atheniella aurantiidisca,"MT HOOD PRKDL, OR 97041, USA",1,
63f0e446-54b1-4794-b3de-329d8c0290c0,50428535,2020-06-21 09:14:47-07:00,2020-06-21,-121.7910300343,45.3021059735,1121.0,,,,,,,,Atheniella aurantiidisca,"Mt. Hood Park Division Recreation Area, Government Camp, OR, US",1,
c8822fff-c41f-4891-9443-8b8bda4a52a9,32744874,2019-09-02,2019-09-02,-121.6134391353,45.3214108943,1297.0,,15.0,31.1,0.0,11.6,,1014.4,Atheniella aurantiidisca,"MT HOOD PRKDL, OR 97041, USA",1,
381865c3-c9e7-48d9-8976-dd235bc26f76,17987566,2018-10-13 11:01:31-07:00,2018-10-13,-122.1014288065,45.7157756013,675.0,,10.0,21.7,0.0,6.0,,1021.1,Atheniella aurantiidisca,"98648, Stevenson, WA, US",1,
f59737bf-0a2d-4c44-a79c-920ed02230b9,16197042,2016-11-06 14:07:00-08:00,2016-11-06,-122.1984355697,45.2133998365,515.0,,10.0,15.6,,7.8,,1016.9,Atheniella aurantiidisca,"Clackamas County, OR, USA",2,
57f93298-26ff-4a9d-866a-1ecc65281bb4,4247788,2016-10-01 13:07:00+10:00,2016-10-01,-121.9291674139,45.2966579871,742.0,,11.7,16.7,,9.6,,1015.9,Atheniella aurantiidisca,"Clackamas County, US-OR, US",3,
508b5161-551c-4379-a589-1d59171ce41d,216944145,2024-05-19 10:30:16-07:00,2024-05-19,-122.3536277778,45.5156361111,13.0,,7.2,18.3,,6.3,,1023.8,Atheniella aurantiidisca,"Multnomah County, OR, USA",1,84QVGJ8W+
5f3e1cc4-c7b9-46a8-8ae8-152257531129,46167326,2007-11-07 15:27:00-08:00,2007-11-07,-122.0123358723,44.8119608449,1231.0,,,,,,,,Atheniella aurantiidisca,"Marion County, OR, USA",1,84PVRX6Q+
f02c9c1c-2050-4b60-9003-9e0c20d58e5e,251397130,2024-10-26 13:21:05-07:00,2024-10-26,-121.9370638889,45.9496111111,484.0,,5.7,16.9,0.0,4.4,,1016.6,Atheniella aurantiidisca,"Skamania County, WA, USA",1,84QWW3X7+
dd119d25-6777-4bc4-9062-a5c428b2ff10,251227671,2024-11-10 12:58:21-08:00,2024-11-10,-122.6409833333,44.8629083333,457.0,,8.9,14.4,1.5,2.9,,1011.7,Atheniella aurantiidisca,"Silver Falls State Park, Sublimity, OR, US",1,84PVV975+
f5792d83-350d-4523-b021-e18f67ed07bc,188849925,2023-10-18 15:06:31-07:00,2023-10-18,-122.0499028333,44.4321466667,1138.0,,,,,,,,Atheniella aurantiidisca,"Willamette National Forest, Idanha, OR, US",1,84PVCXJ2+
06a6f79d-d8cb-42d8-b3cd-6252a3fe1045,185751866,2023-09-30 14:13:14-07:00,2023-09-30,-121.8152924627,44.4973031306,1652.0,,,,,,,,Atheniella aurantiidisca,"Jefferson County, OR, USA",1,84PWF5WM+
6884f41f-e2f5-4a07-bcb7-f37678df1272,185696883,2023-09-30 16:22:13-07:00,2023-09-30,-121.8424883857,44.4919651273,1903.0,,,,,,,,Atheniella aurantiidisca,Three Fingered Jack,1,84PWF5R5+
fce9da1c-0a6a-4eb7-8e74-cfe0f388f987,142096468,2022-11-14 13:12:16-08:00,2022-11-14,-122.6406777778,44.8628833333,457.0,,-1.6,15.6,0.0,11.9,,1026.0,Atheniella aurantiidisca,"Sublimity, OR 97385, USA",1,84PVV975+
7cd9e2ef-305e-43be-bccb-ef9da241f921,87493425,2021-06-14 17:22:35-07:00,2021-06-14,-122.0768960193,44.534811296,1078.0,,,,,,,,Atheniella aurantiidisca,"Foster, OR 97345, USA",1,84PVGWMF+
e15779cf-d64d-4eea-ac83-e3165fc64373,64135428,2020-10-31 11:02:15-07:00,2020-10-31,-122.043675,45.8424916667,606.0,,2.8,17.2,0.0,8.3,,1026.2,Atheniella aurantiidisca,"Carson, WA 98610, USA",1,84QVRXR4+
438356a7-9791-46c0-a3d8-cd84ea87e2d6,64089334,2020-11-01 12:43:00-08:00,2020-11-01,-122.00802,45.8895733333,456.0,,11.1,17.2,0.0,32.7,,1022.2,Atheniella aurantiidisca,"Trapper Creek Wilderness, WA, USA",1,84QVVXQR+
12744ca0-2896-490a-9125-46f9789c62cc,32871233,2019-09-16 13:25:28-07:00,2019-09-16,-122.03235,44.338845,1124.0,,,,,,,,Atheniella aurantiidisca,"Willamette National Forest, Foster, OR, US",2,84PV8XQ9+
b0107ff6-4ac2-43c2-9630-d1dbcc92f25d,28482305,2019-07-08 10:30:42-07:00,2019-07-08,-122.2678133333,45.72772,896.0,,13.9,25.0,0.0,4.0,,1015.0,Atheniella aurantiidisca,"98607, Camas, WA, US",3,84QVPPHJ+
8be12ed8-2c1c-4871-b102-c127b2e5dabd,17487835,2018-10-13 10:48:02-07:00,2018-10-13,-121.9836366667,44.4979166667,1116.0,,,,,,,,Atheniella aurantiidisca,"Willamette National Forest, Idanha, OR, US",6,84PWF2X8+
588c2f77-8524-4da7-8c3d-19e6be1a1953,17452817,2018-10-12 11:34:32-07:00,2018-10-12,-122.0311936085,44.5215710253,1131.0,,,,,,,,Atheniella aurantiidisca,"Linn County, US-OR, US",2,84PVGXC9+
6af3ea59-1253-455f-acdf-42bf069fdc32,17441676,2018-10-12 09:48:47-07:00,2018-10-12,-122.6460327516,44.8687056691,434.0,,3.9,22.8,0.0,5.8,,1018.2,Atheniella aurantiidisca,"Marion County, US-OR, US",3,84PVV993+
260bb23c-cfaa-4547-b351-3ff5af86e4d1,17441662,2018-10-12 09:46:35-07:00,2018-10-12,-122.6460054735,44.8688183227,451.0,,3.9,22.8,0.0,5.8,,1018.2,Atheniella aurantiidisca,"Marion County, US-OR, US",3,84PVV993+
