uuid,inat_id,timestamp,date,lon,lat,elevation,tavg,tmin,tmax,precipitation,windspeed,winddirection,presure,species,location,num_identification_agreements,olc
4c853d77-e599-41f4-907d-a9f0c0875479,395138079,2026-08-27 14:37:33-07:00,2026-08-27,-121.6351160868,45.245404101,1054.0,,,,,,,,Aureoboletus mirabilis,"Oregon, US",1,
607eef29-24d5-4810-b9a0-508d31b9d2d5,384618449,2013-10-11 11:35:00-07:00,2013-10-11,-122.0927235923,45.5290882716,1130.0,,9.4,14.4,0.0,0.7,,1019.7,Aureoboletus mirabilis,"Multnomah County, OR, USA",1,
228c49a7-a824-4ea4-a253-35b9308fdc9a,351388277,2024-11-08 15:47:46-08:00,2024-11-08,-121.7934112549,45.310836792,1042.0,,2.3,8.9,0.0,4.1,,1023.7,Aureoboletus mirabilis,Government Camp,1,
4f8dac8a-ac15-48de-9277-0f47af3d7e33,337499283,2007-08-09 17:52:00-07:00,2007-08-09,-121.7936,45.2976,1250.0,,,,,,,,Aureoboletus mirabilis,"Clackamas County, Oregon, USA",1,
efb34144-b9c9-474f-91bc-f103fce6154c,331626095,2025-12-21 09:32:22-08:00,2025-12-21,-121.828311373,45.346253767,1356.0,,1.0,5.0,0.5,1.1,,1008.5,Aureoboletus mirabilis,"Oregon, US",1,
e66b5d39-9cf7-42d8-a66b-326178406e45,329199540,2025-11-29 14:48:54-08:00,2025-11-29,-121.8384166667,45.383225,734.0,,1.0,5.0,0.0,1.2,,1024.9,Aureoboletus mirabilis,"Zigzag Ranger Station, Rhododendron, OR, US",1,
c9c81f83-d1ab-41be-9c64-b99b1bf4ccce,328604714,2025-11-27 13:15:08-08:00,2025-11-27,-121.8499166667,45.3822361111,803.0,,5.0,7.0,4.3,1.2,,1020.5,Aureoboletus mirabilis,"Rhododendron, OR 97049, USA",1,
b885cf88-a280-4cce-9221-5324d6ad4402,328423316,2025-11-26 11:24:45-08:00,2025-11-26,-121.943445,45.3069416667,485.0,,6.0,9.0,7.3,18.8,,1023.2,Aureoboletus mirabilis,"Old Salmon River Trail, Government Camp, OR, US",2,
892a0374-6a80-4742-b26d-8c3e0242e849,328230627,2025-11-24 14:27:28-08:00,2025-11-24,-122.2463724005,45.5099095468,282.0,,5.0,11.0,0.2,2.8,,1028.0,Aureoboletus mirabilis,"Corbett, OR, US",1,
5e33593d-0000-4cc1-b05a-690a6fed6f73,327972379,2025-11-23 13:38:51-08:00,2025-11-23,-121.7084191997,45.3303325997,1796.0,,4.0,12.0,1.8,3.7,,1019.2,Aureoboletus mirabilis,"Timberline Lodge, Oregon 97041, USA",1,
eb8d47d1-4ca9-4604-b3ee-c84b6cc14ff5,327311482,2025-11-18 14:41:37-08:00,2025-11-18,-121.9408808649,45.2738820491,515.0,,4.0,10.0,0.0,0.8,,1020.5,Aureoboletus mirabilis,"Rhododendron, OR 97049, USA",1,
47ebd558-cce7-4987-a8fa-337ff181654f,326559242,2025-11-10 12:42:25-08:00,2025-11-10,-121.7782216667,45.2790333333,1150.0,,1.0,12.0,0.0,0.8,,1024.2,Aureoboletus mirabilis,"Government Camp, OR, US",2,
b1eefb3a-5c82-4c32-897b-5e51ec9bb747,325787607,2025-11-09 15:02:52-08:00,2025-11-09,-122.2564324575,45.1678747952,865.0,,4.0,16.0,0.0,0.2,,1022.5,Aureoboletus mirabilis,"Mt. Hood National Forest, Colton, OR, US",2,
a51b0d7c-de8e-4aa0-abcc-1fb2abd86fec,325760753,2025-11-09 12:21:51-08:00,2025-11-09,-122.1140888889,45.3224694444,734.0,,11.0,14.6,0.0,31.5,,1022.2,Aureoboletus mirabilis,"Sandy, OR 97055, USA",1,
cbf8adc3-5df6-4796-9945-5529b32eedaa,325383578,2025-11-02 12:13:20-08:00,2025-11-02,-122.0888971667,45.5287216667,1179.0,,6.0,15.0,3.3,4.1,,1026.0,Aureoboletus mirabilis,"Larch Mountain Trail, Corbett, OR, US",1,
