uuid,inat_id,timestamp,date,lon,lat,elevation,tavg,tmin,tmax,precipitation,windspeed,winddirection,presure,species,location,num_identification_agreements
c6ae6235-04e0-461f-8f24-2acf85127411,393693555,2026-08-16 11:31:48-06:00,2026-08-16,-105.9221962094,39.678211443,3760.0,,4.0,11.0,1.8,7.2,,,Auricularia americana,"Dillon, CO 80435, USA",2
86b17f03-0303-4e2e-a6ce-2d296a528cc8,391609625,2026-08-15 17:37:54-06:00,2026-08-15,-107.614395,39.1018666667,2923.0,,6.0,16.0,1.7,7.5,,,Auricularia americana,"Sunlight to Powderhorn Sno, Paonia, CO, US",1
c15f3ac4-8e80-4886-9968-e73d18cb5f2f,391208206,2026-08-14 08:21:25-06:00,2026-08-14,-107.9029168028,37.818534941,3162.0,,10.0,19.0,4.5,2.8,,,Auricularia americana,"Grand Mesa Uncompahgre and Gunnison National Forests, Telluride, CO, US",1
4138f079-2a81-46bf-b955-3e7e7dbc74a0,388023401,2026-08-01 09:10:00-06:00,2026-08-01,-105.5315609409,36.1484336114,2808.0,,14.5,29.6,2.4,11.8,,1019.3,Auricularia americana,"New Mexico, US",1
798f4b01-f023-4daa-9e10-e0b78132a475,387403186,2026-08-01 09:25:39-06:00,2026-08-01,-105.528588534,36.1297479213,2623.0,,14.5,29.6,2.4,11.8,,1019.3,Auricularia americana,"Taos County, US-NM, US",1
ab28b274-ee53-42a2-b8d4-526162b113e3,387403146,2026-08-01 09:27:42-06:00,2026-08-01,-105.528608965,36.1298637563,2623.0,,14.5,29.6,2.4,11.8,,1019.3,Auricularia americana,"Taos County, US-NM, US",1
0a1e47d5-63e1-4cf3-8874-a877d82c46de,387325664,2026-08-01 12:10:16-06:00,2026-08-01,-105.5280888889,36.13195,2596.0,,14.5,29.6,2.4,11.8,,1019.3,Auricularia americana,"Vadito, NM 87579, USA",1
f0dce808-f454-4d73-96de-f3f4cfee399a,387276962,2026-08-01 09:10:24-06:00,2026-08-01,-105.5287194444,36.13175,2596.0,,14.5,29.6,2.4,11.8,,1019.3,Auricularia americana,"Vadito, NM 87579, USA",1
c02e1d32-0441-41ce-8a60-d86a1f4a1cf4,382095707,2026-07-15 10:45:00-06:00,2026-07-15,-105.9451494061,35.7498697278,2146.0,,17.2,29.4,0.9,9.7,,,Auricularia americana,"New Mexico, US",1
cba38a0d-84e9-48e4-84e1-3e6de1e2440e,356668932,2026-04-29 16:05:04-06:00,2026-04-29,-107.8753863922,37.9132108605,2971.0,,-3.6,9.0,0.7,6.5,,,Auricularia americana,"Grand Mesa Uncompahgre and Gunnison National Forests, Telluride, CO, US",1
77e7f24e-c5f6-47b1-a681-bddb622e667b,341402326,2026-02-27 11:31:00-07:00,2026-02-27,-105.8404305556,35.7275777778,2538.0,,1.7,19.4,0.0,8.8,,,Auricularia americana,"Santa Fe County, NM, USA",1
6408f0e9-7b5e-4c8b-a877-83db40ea3503,339483925,2023-08-04,2023-08-04,-107.290284,43.075968,1882.0,,,,,,,,Auricularia americana,wyoming,1
e886ff1a-1e97-44a7-a9bd-c42a379762b1,333384387,2026-01-03 14:22:06-07:00,2026-01-03,-107.1382,37.4458866667,2525.0,,-5.0,10.0,0.0,3.9,,1023.8,Auricularia americana,"Pagosa Springs, CO, US",1
08089069-4810-48a3-98de-10e16421c89e,330655706,2025-12-13 15:29:54-07:00,2025-12-13,-107.1219028333,37.443755,2669.0,,-6.0,12.0,0.0,4.7,,1026.3,Auricularia americana,"County Road 634, Creede, CO, US",1
f2bd9ec1-4283-4a03-8170-c51389011247,327788060,2025-11-22 15:39:04-07:00,2025-11-22,-107.1217583333,37.4436133333,2653.0,,-3.0,12.0,0.0,4.2,,1025.8,Auricularia americana,"County Road 634, Creede, CO, US",2
76761bbf-3b85-47fa-a9e3-31c92bc8b286,323077214,2025-10-25 13:57:54-06:00,2025-10-25,-106.8580116667,37.4767283333,2947.0,,-3.0,6.0,0.0,14.0,,1029.4,Auricularia americana,"Fall Creek Rd, Creede, CO, US",1
6e73af01-fdb3-4d18-940a-113c163c595f,320561202,2025-10-12 11:19:13-06:00,2025-10-12,-106.4221138889,35.8457527778,2728.0,,10.0,19.0,0.4,12.4,,1016.5,Auricularia americana,"White Rock, NM 87547, USA",1
8ddf7785-fcc9-4589-ba03-762806e74222,320334738,2025-10-11 16:18:13-06:00,2025-10-11,-107.1218721667,37.4435116667,2653.0,,10.0,13.0,6.8,7.2,,1021.6,Auricularia americana,"County Road 634, Creede, CO, US",1
e257907f-ec92-4a6e-92ca-780f818ec47a,320334698,2025-10-11 16:17:53-06:00,2025-10-11,-107.1217805,37.4435283333,2653.0,,10.0,13.0,6.8,7.2,,1021.6,Auricularia americana,"County Road 634, Creede, CO, US",1
64630458-9ff7-4311-bc3e-4b9b6204ed88,320334572,2025-10-11 16:17:24-06:00,2025-10-11,-107.1217111667,37.4435366667,2653.0,,10.0,13.0,6.8,7.2,,1021.6,Auricularia americana,"County Road 634, Creede, CO, US",1
02ddf7cb-3e7f-453a-a463-25533edbe0fb,320334560,2025-10-11 16:16:54-06:00,2025-10-11,-107.12175,37.4435916667,2653.0,,10.0,13.0,6.8,7.2,,1021.6,Auricularia americana,"County Road 634, Creede, CO, US",1
3d68c88b-fde4-483d-ae9f-255aafa12663,320334526,2025-10-11 16:16:30-06:00,2025-10-11,-107.1217638333,37.4435716667,2653.0,,10.0,13.0,6.8,7.2,,1021.6,Auricularia americana,"County Road 634, Creede, CO, US",1
0bb16287-d041-4c54-aa0a-dbcf1cba69a5,320306582,2025-10-11 16:15:48-06:00,2025-10-11,-107.1217583333,37.4435633333,2653.0,,10.0,13.0,6.8,7.2,,1021.6,Auricularia americana,"County Road 634, Creede, CO, US",1
90a2239c-202c-48fd-ba92-aa3ea00d20d3,317411086,2025-09-28 14:34:32-06:00,2025-09-28,-107.0526432495,38.7804829796,2870.0,,8.0,18.0,0.9,11.7,,1026.2,Auricularia americana,"Gunnison County, US-CO, US",3
2c6e6606-743a-471d-935d-a39e165fd83b,314846395,2025-09-03 12:15:05-06:00,2025-09-03,-105.5848083333,39.9846916667,3031.0,,-0.9,9.6,0.2,10.1,,1023.2,Auricularia americana,"Nederland, CO, US",2
6c3d5548-b050-4706-a38a-55151a91a05a,314256019,2025-09-07 09:57:00-06:00,2025-09-07,-105.3806087817,36.5906745567,3094.0,,3.0,22.0,0.3,13.5,,1031.1,Auricularia americana,"Taos County, NM, USA",1
abda091b-2cbf-441d-a135-f8cab3180827,313978783,2025-09-14 12:02:51-06:00,2025-09-14,-105.58452342,39.98482004,3031.0,,-3.4,3.9,0.1,15.8,,1019.6,Auricularia americana,"Boulder County, US-CO, US",1
2d1488f6-1fbb-45ab-9200-8cb8131e042d,313663508,2025-09-13 11:52:34-06:00,2025-09-13,-105.58684468,39.98415182,3047.0,,-3.2,5.6,5.3,9.5,,1017.9,Auricularia americana,"Boulder County, US-CO, US",1
65f4e090-761d-4562-bf28-63289e7935ea,312984296,2025-09-10 11:14:41-06:00,2025-09-10,-105.7843794,39.8090700997,3391.0,,-0.7,13.9,0.8,12.0,,1018.9,Auricularia americana,"Winter Park, CO 80482, USA",1
09ebcc39-c99f-41b1-ba58-0745ed053745,312364377,2025-09-06 13:40:52-06:00,2025-09-06,-105.5225833333,37.6070166667,3378.0,,3.2,16.1,3.1,11.2,,1020.5,Auricularia americana,"Zapata Falls Trail, Mosca, CO, US",1
67bd87f3-aaea-44d4-85d8-f5327620a0dc,312354125,2025-09-06 16:17:23-06:00,2025-09-06,-105.632155,36.0020611167,3371.0,,,,,,,,Auricularia americana,"Carson National Forest, Cordova, NM, US",1
