uuid,inat_id,timestamp,date,lon,lat,elevation,tavg,tmin,tmax,precipitation,windspeed,winddirection,presure,species,location,num_identification_agreements,olc
611ff5cd-128f-4a0a-b009-1a32dcb96d5a,392504883,2026-08-17 16:04:41-06:00,2026-08-17,-108.1790783333,37.5764116667,2465.0,,10.0,24.0,0.0,5.0,,,Boletus barrowsii,"Dolores, CO, US",1,
5aeb1e76-28c5-4655-acfb-c32529e45114,391838445,2026-08-14 16:47:50-06:00,2026-08-14,-105.1347019896,36.5452759021,2306.0,,8.5,22.8,8.9,4.0,,,Boletus barrowsii,"Ute Park, NM 87749, USA",1,
46cb1110-b103-45a0-a337-da12bac8d49e,390704329,2026-08-12 12:25:24-06:00,2026-08-12,-106.7180684388,35.9617817942,2624.0,,17.9,30.4,0.1,7.9,,,Boletus barrowsii,"NM-126, Jemez Springs, NM, US",1,
faeb4620-91a2-40a8-969e-4561419f5296,374136430,2026-06-19 11:38:57-06:00,2026-06-19,-105.2793373924,40.1765811468,1925.0,,12.5,27.5,0.0,2.8,,,Boletus barrowsii,"Longmont, CO, US",2,
d266ac1f-8dd3-425f-9fdf-4d65f7c610ba,316843432,2024-07-03 11:32:39-06:00,2024-07-03,-107.6437219464,38.530987718,2260.0,,11.7,31.7,0.0,11.3,,1012.7,Boletus barrowsii,"Colorado, US",1,
0a17f0c2-2825-4ae2-b637-04f7b56f0b58,315666164,2025-09-21 14:58:29-06:00,2025-09-21,-104.9479735138,38.6668690353,2964.0,,14.0,21.0,0.0,6.1,,1019.2,Boletus barrowsii,"Colorado, US",1,
6dc7cc3e-9dae-4415-905a-0ca4be91fbad,314704099,2025-09-17 19:13:05-06:00,2025-09-17,-106.3525674607,35.8886622111,2527.0,,11.0,26.0,0.1,10.7,,1025.0,Boletus barrowsii,"New Mexico, US",2,
dfb5c44a-9468-4ba0-9164-e0125229ce74,313979405,2025-09-14 14:07:21-06:00,2025-09-14,-106.5983787552,35.7986481352,2494.0,,9.0,21.0,0.4,5.8,,1022.7,Boletus barrowsii,"Jemez Springs, NM 87025, USA",1,
6c04538b-7387-477d-95c8-14986184a423,310758199,2025-08-30 14:25:53-06:00,2025-08-30,-105.3465872797,39.2240957524,2518.0,,2.0,12.0,13.1,8.0,,1022.0,Boletus barrowsii,"Colorado, US",1,
d70b2216-430a-4b0d-8ef4-afafda612431,306621645,2025-08-15 13:55:48-06:00,2025-08-15,-105.3841316667,39.17595,2488.0,,12.0,21.0,2.3,7.0,,1016.4,Boletus barrowsii,"Jefferson County, US-CO, US",1,
a3877ba8-cbc6-493a-be14-bce4d6f5e8e7,306621410,2025-08-15 12:50:11-06:00,2025-08-15,-105.3818283333,39.1752566667,2500.0,,12.0,21.0,2.3,7.0,,1016.4,Boletus barrowsii,"Jefferson County, US-CO, US",1,
7fabf2a4-ca9e-4ca9-b024-9b6576c4fa7f,304637068,2025-08-07 18:18:45-06:00,2025-08-07,-106.3106665964,35.8054774526,2150.0,,20.1,30.3,0.7,9.7,,1029.7,Boletus barrowsii,"New Mexico, US",2,
5d9e3e74-3d17-4e63-9ac1-098a1a06a9dc,303891320,2025-08-03 12:20:24-06:00,2025-08-03,-105.5955416667,40.1836166667,3033.0,,4.2,25.5,0.0,9.6,,1031.2,Boletus barrowsii,"Rocky Mountain National Park, Ward, CO, US",2,
b64aada1-b89e-48dd-8bc6-62d3fb68bf26,300497526,2025-07-23 09:11:02-06:00,2025-07-23,-103.36973335,43.95886906,1410.0,,16.7,26.7,15.5,21.6,,1013.6,Boletus barrowsii,"Mount Rushmore, SD, USA",2,
9d0e13f6-24e2-4e64-b003-334a8804276b,299277121,2025-07-19 10:18:46-06:00,2025-07-19,-103.5563391826,43.8438314145,1918.0,,14.4,25.0,3.5,9.3,,1012.8,Boletus barrowsii,"Custer County, US-SD, US",1,
3212cd66-7ced-4edb-b54f-78de5d48bcfb,298537573,2025-07-15 17:16:00-06:00,2025-07-15,-105.8048835347,35.7952577552,3124.0,,14.4,32.8,0.0,13.5,,1011.1,Boletus barrowsii,"Sangre de Christo Mountains, NM, USA",1,
fb2b1d89-b272-45c3-bb98-e5476e71e477,296824502,2025-06-11 11:23:17-06:00,2025-06-11,-104.9541107,37.9022120997,2247.0,,14.0,31.0,0.0,9.9,,1011.3,Boletus barrowsii,"Rye, CO 81069, USA",2,
b047040f-b5c4-47f8-bc92-33c310a35f89,295840873,2025-07-04 15:03:43-06:00,2025-07-04,-105.092671523,39.0639208351,2421.0,,16.0,28.1,2.8,13.8,,1009.6,Boletus barrowsii,"Centennial, Woodland Park, CO, US",1,
213a5903-1213-45b4-8f1b-bd02e0218b79,293921277,2025-06-29 14:40:38-06:00,2025-06-29,-104.9683479317,38.7497502678,3366.0,,19.0,28.0,0.1,11.8,,1023.9,Boletus barrowsii,"Colorado, US",2,
05a1d996-c8be-41c8-a7b5-05b7d17d5fc3,293877721,2025-06-29 15:47:45-06:00,2025-06-29,-105.39708688,39.97140009,2410.0,,18.0,28.0,0.8,7.8,,1020.5,Boletus barrowsii,"Nederland, CO 80466, USA",2,
62de4884-1b86-4886-890d-ef6261dfe574,293024007,2025-06-26 14:32:27-06:00,2025-06-26,-104.9339573,37.9186324,2100.0,,10.0,31.0,0.0,9.0,,1013.4,Boletus barrowsii,"Rye, CO 81069, USA",1,
fd5ccba9-6c81-4590-82c2-8eb5654cc88f,292990875,2025-06-26 14:46:58-06:00,2025-06-26,-103.4021415893,43.8481025937,1419.0,,9.4,25.6,0.0,10.3,,1013.5,Boletus barrowsii,"Black Hills National Forest, Custer, SD, US",3,
d8d673f5-d502-4279-9112-88f2ed16f705,292869598,2025-06-13 16:34:52-06:00,2025-06-13,-106.3028344746,35.9262667901,2359.0,,15.0,29.9,0.0,9.6,,1021.6,Boletus barrowsii,"New Mexico, US",1,
cbd44826-a707-4abc-b37e-668812fdf39a,292788436,2025-06-18 20:31:05-06:00,2025-06-18,-107.3319260404,37.3019325511,2327.0,,7.0,29.0,0.0,8.5,,1024.2,Boletus barrowsii,"Archuleta County, CO, USA",2,
b8b0f7e3-c757-42e1-bb55-18ae5c0d9a7c,290844445,2025-06-18 21:47:59-06:00,2025-06-18,-105.3061435577,39.8549269373,2131.0,,10.2,28.0,0.0,9.0,,1020.0,Boletus barrowsii,"Colorado, US",2,
a9764392-abbf-455f-a34d-9ad2c881b008,242023766,2024-09-15 14:31:22-06:00,2024-09-15,-105.6818109,36.0805356997,2831.0,,7.2,27.2,0.0,17.4,,1016.4,Boletus barrowsii,"Vadito, NM 87579, USA",1,
