uuid,inat_id,timestamp,date,lon,lat,elevation,tavg,tmin,tmax,precipitation,windspeed,winddirection,presure,species,location,num_identification_agreements
7f8da707-524d-4fb8-ab7b-2b28ebc986ca,389476296,2026-08-08 12:39:02-06:00,2026-08-08,-104.98057066,38.74041701,3118.0,,16.0,33.3,0.3,5.4,,,Boletus oregonensis,"Teller County, US-CO, US",1
7bddc346-930c-4a81-aeda-55254607d1b1,320290134,2025-10-11 12:34:10-06:00,2025-10-11,-104.8938361111,38.7897194444,2168.0,,12.0,21.0,0.7,6.4,,1013.9,Boletus oregonensis,"Colorado Springs, CO 80906, USA",1
9118aee5-03d1-4e51-8d46-87d5d0b570c4,314614753,2025-09-16 12:32:00-06:00,2025-09-16,-105.79484444,35.80172222,3378.0,,11.0,28.0,0.1,10.4,,1025.9,Boletus oregonensis,"Santa Fe, New Mexico, United States",2
6f6893f7-50d1-4ab6-bd49-379682482e32,308360624,2025-08-22 22:58:37-06:00,2025-08-22,-104.8877872641,38.7335323687,2624.0,,16.0,28.0,1.1,18.0,,1027.6,Boletus oregonensis,"Colorado, US",1
87bc30dc-cd92-45c7-a68b-8409172cc931,242805372,2024-09-18 12:32:49-06:00,2024-09-18,-105.7507313281,39.4134408457,3063.0,,-2.7,9.0,0.0,18.8,,1013.2,Boletus oregonensis,"Park County, US-CO, US",3
2f7908bd-bb30-4372-a496-dd1a9c62d2b3,239235796,2024-09-01 11:37:31-06:00,2024-09-01,-106.9588849742,38.2768420897,3083.0,,,,,7.4,,1023.6,Boletus oregonensis,"Gunnison, CO, US",3
dc96cfa1-2a42-4e2b-bb9e-bfe2995bc8a5,229814751,2024-07-16 17:16:44-06:00,2024-07-16,-107.5404283333,38.2462166667,2708.0,,16.7,31.7,0.0,12.1,,1014.4,Boletus oregonensis,"Grand Mesa Uncompahgre and Gunnison National Forests, Cimarron, CO, US",2
099342b4-2408-4e89-a66b-2ab183589de3,229814581,2024-07-16 15:07:14-06:00,2024-07-16,-107.5387883333,38.23265,2784.0,,16.7,31.7,0.0,12.1,,1014.4,Boletus oregonensis,"Grand Mesa Uncompahgre and Gunnison National Forests, Cimarron, CO, US",2
0f0858aa-86e6-4ce5-8a70-6ce72b5469e6,178124321,2023-08-12 11:02:56-06:00,2023-08-12,-105.5377116667,40.0307083333,2936.0,,17.0,28.0,0.0,8.5,,1019.7,Boletus oregonensis,"County Road 116, Ward, CO, US",3
88b3f7fd-0e82-4bc8-a862-139e602100ba,129205764,2022-08-02 11:24:57-06:00,2022-08-02,-105.3779614997,39.5669371589,2542.0,,4.6,14.5,6.4,12.8,,1020.1,Boletus oregonensis,"Jefferson County, US-CO, US",2
67fa0490-45dc-4e16-a195-5321d63ee3ce,4117788,2016-08-25 11:35:00-07:00,2016-08-25,-105.1477431959,36.2736180564,2678.0,,5.3,18.8,,5.5,,,Boletus oregonensis,"Colfax County, NM, USA",1
129be644-54df-4157-afd7-0867c12f5a49,324967472,2025-11-03 15:03:59-08:00,2025-11-03,-121.8015697476,45.2808996559,1372.0,,5.0,9.0,0.0,1.4,,1015.7,Boletus oregonensis,"Clackamas County, US-OR, US",1
