uuid,inat_id,timestamp,date,lon,lat,elevation,tavg,tmin,tmax,precipitation,windspeed,winddirection,presure,species,location,num_identification_agreements,olc
c3952041-4097-4ab6-9a56-1d02cf56e8d3,133543340,2022-09-03 09:45:28-06:00,2022-09-03,-106.853753947,44.2749517858,2206.0,,15.6,35.6,0.0,17.2,,1016.9,Boletus regineus,"Johnson County, US-WY, US",3,
bb9f5f23-ecf2-4520-9d8f-ee1bfb297aa6,133402737,2022-09-02 16:23:41-06:00,2022-09-02,-106.895167353,44.1175633568,2401.0,,20.6,30.6,0.0,14.6,,1016.4,Boletus regineus,"Johnson County, US-WY, US",1,
73b1734f-6e55-41ba-96ce-169a48092e4c,132773817,2022-08-28 16:58:32-06:00,2022-08-28,-105.7994345621,36.1277638376,2234.0,,8.3,26.7,,11.8,,1015.8,Boletus regineus,"New Mexico, US",1,
9624cfcd-9de8-4771-8766-88dbc226b331,187080187,2023-10-10 12:05:23-07:00,2023-10-10,-121.9021233013,45.7152808997,331.0,,7.7,14.8,20.3,6.8,,1002.7,Boletus regineus,"Skamania County, US-WA, US",1,
e973b3fa-ad66-4aec-b87e-07e0961b28dc,188893307,2023-10-22 09:28:40-07:00,2023-10-22,-122.1881293258,44.6723959275,727.0,,,,,,,,Boletus regineus,"Oregon, US",1,84PVMRC6+
af48bce1-96db-4831-b3cf-e945988af2b8,328583339,2025-11-25 13:42:21-08:00,2025-11-25,-122.6139309064,45.442705745,53.0,,4.0,8.0,0.4,9.2,,1024.8,Boletus regineus,"Oregon, US",1,84QVC9VP+
b283790a-5faa-4db8-8155-645844bb29d9,327190857,2025-11-18 09:24:07-08:00,2025-11-18,-121.7390525712,45.9117942027,997.0,,0.0,10.0,0.0,0.9,,1019.7,Boletus regineus,"Washington, US",2,84QWW766+
c596e93f-8910-4a51-9e3f-fcd62e3891a8,327012779,2025-11-17 12:54:44-08:00,2025-11-17,-122.5612454644,45.7956474156,87.0,,3.0,12.0,0.9,7.4,,1012.8,Boletus regineus,United States,1,84QVQCWQ+
7433cace-430d-43fc-89ee-4342afccb3ce,326250671,2025-11-12 11:59:38-08:00,2025-11-12,-122.135783663,44.3221413467,1204.0,,,,,,,,Boletus regineus,"Oregon, US",1,84PV8VC7+
9c12e6d1-51f5-4dc5-b6c8-6f5a1e2d03e1,254147720,2024-12-04 14:05:47-08:00,2024-12-04,-122.7790223868,45.520230012,144.0,,-3.9,8.9,0.0,3.5,,1026.3,Boletus regineus,"Oregon, US",2,84QVG6CC+
eaefe5f9-94c1-4aa4-8c96-ecde326a1892,246622014,2024-10-09 17:12:46-07:00,2024-10-09,-122.3868639249,45.5608845913,6.0,,11.1,20.0,,4.6,,1018.8,Boletus regineus,"Oregon, US",2,84QVHJ67+
23b1a541-3192-4a66-982a-5bc24f3f78c3,241978624,2024-09-15 15:45:53-07:00,2024-09-15,-121.4614309425,45.8406058154,444.0,,11.3,21.2,0.0,11.3,,1012.3,Boletus regineus,"Washington, US",1,84QWRGRQ+
6acbff7a-315c-45d8-a34a-7669e9c59af8,189268278,2023-10-28 13:15:33-07:00,2023-10-28,-122.3834246375,45.5234201674,55.0,,3.9,12.2,0.0,19.5,,1031.7,Boletus regineus,"Oregon, US",1,84QVGJF8+
20180b7f-5a97-4aa4-ba12-58846d23abbb,188223236,2023-10-19 12:12:16-07:00,2023-10-19,-121.8510418963,45.9918609709,1231.0,,9.2,24.5,0.0,5.8,,1017.2,Boletus regineus,"Skamania County, US-WA, US",1,84QWX4RX+
123ac7cf-d7b7-4bcf-8599-8b18709b6b12,100029158,2021-11-01 17:58:51-07:00,2021-11-01,-122.7547278636,45.5025009797,192.0,,8.3,12.2,4.8,17.6,,1014.7,Boletus regineus,"Oregon, US",3,84QVG63W+
e1855e1c-12e3-428b-96b3-9cfcc7024b31,35905417,2019-11-20 09:13:28-10:00,2019-11-20,-122.3759717723,45.5281627036,53.0,,6.1,14.4,0.0,7.9,,1017.6,Boletus regineus,"Oregon, US",2,84QVGJHF+
6c68f15c-9413-4532-8f76-285bfa08943f,18609991,2018-11-24 12:33:20-08:00,2018-11-24,-122.0901052188,44.3852595845,1593.0,,,,,,,,Boletus regineus,"Oregon, US",2,84PV9WP5+
b040c5bd-4cd8-4f8b-a7e2-fbd6e578263f,18075279,2018-11-03 13:29:07-07:00,2018-11-03,-122.1059139219,44.3213149103,1346.0,,,,,,,,Boletus regineus,"Oregon, US",2,84PV8VCV+
