uuid,inat_id,timestamp,date,lon,lat,elevation,tavg,tmin,tmax,precipitation,windspeed,winddirection,presure,species,location,num_identification_agreements,olc
4e5bb43c-abb0-4033-829d-b561c2d3a753,379281968,2024-06-29 16:20:00-07:00,2024-06-29,-121.7050448639,45.3715680016,2959.0,,13.9,26.5,0.0,11.0,,1014.7,Boletus rex-veris,"Government Camp, OR, US",1,
bd2dc2be-349e-4306-8112-3f38b5a8f70c,370524801,2026-05-30 13:46:06-07:00,2026-05-30,-121.5670036879,45.356210525,1063.0,,7.0,19.0,0.0,2.4,,,Boletus rex-veris,"Lookout Mountain Rd, Mount Hood Parkdale, OR, US",2,
3cc56a94-a0a8-4fe0-aee6-7fac0162fece,369739014,2026-06-07 16:11:32-07:00,2026-06-07,-121.4356152896,45.4049236665,1158.0,,5.0,18.0,0.0,3.6,,,Boletus rex-veris,"Wasco County, US-OR, US",1,
555146b9-6228-482b-916d-38b1a85df9c6,368144569,2026-06-03 09:12:42-07:00,2026-06-03,-121.6433039036,45.6621403864,755.0,,15.0,21.0,0.0,4.7,,,Boletus rex-veris,"Hood River, OR, US",1,
12ffaaef-1ba8-4aed-8d2c-663cdaaabfb8,365063775,2026-05-24 20:02:11-07:00,2026-05-24,-121.6315466397,45.357264627,1777.0,,8.0,25.0,0.0,4.6,,,Boletus rex-veris,"Oregon, US",3,
017d4b79-3099-4e4a-ab3d-1b11ad2021f3,363979301,2026-05-09 13:55:57-07:00,2026-05-09,-121.4692071418,45.2469962597,1113.0,,8.3,28.3,0.0,3.2,,,Boletus rex-veris,"Wasco County, US-OR, US",1,
6015b484-70bc-49fe-8986-bde427e379ac,362651748,2026-05-15 11:35:10-07:00,2026-05-15,-121.5510219114,45.178269762,998.0,,,,,,,,Boletus rex-veris,"Wasco County, US-OR, US",1,
81361c9e-6f8e-4aff-ad0f-247fb6c192c9,361050034,2026-05-10 16:53:01-07:00,2026-05-10,-121.4457537504,45.5257939984,988.0,,8.0,21.0,0.0,3.6,,,Boletus rex-veris,"Oregon, US",2,
2a013948-3b77-4181-8439-2951e2d6d1c8,310919703,2025-06-28 11:01:00-07:00,2025-06-28,-121.5594488114,45.0295068022,902.0,,,,,,,,Boletus rex-veris,"Wasco County, US-OR, US",1,
52f2b46f-e79a-4454-a6ea-1b19f5aac6bb,291971587,2025-06-22 13:00:13-07:00,2025-06-22,-121.4497102239,45.3175326437,1499.0,,11.0,21.0,0.0,3.9,,1019.4,Boletus rex-veris,"Tygh Creek Cut Away Trail, Dufur, OR, US",1,
47163e1e-09dc-4f91-ade9-2c4c7b3e6d23,289919840,2025-06-14 15:12:31-07:00,2025-06-14,-121.7882727125,45.1258497001,983.0,,,,,,,,Boletus rex-veris,"Timothy Lake, Estacada, OR, US",2,
bef2c579-f173-4e29-b71b-a0bc2318d7ca,288596724,2025-06-06 17:01:00-07:00,2025-06-06,-121.6967884185,45.218171336,1212.0,,,,,,,,Boletus rex-veris,"Wasco County, OR, USA",1,
48ed1196-3159-43ea-9898-6da22332570f,287437706,2025-06-06 12:22:35-07:00,2025-06-06,-121.5380866667,45.131325,1009.0,,,,,,,,Boletus rex-veris,"Mt. Hood National Forest, Maupin, OR, US",1,
