uuid,inat_id,timestamp,date,lon,lat,elevation,tavg,tmin,tmax,precipitation,windspeed,winddirection,presure,species,location,num_identification_agreements
bc96a745-7a6c-40f0-8c77-419e2dc23105,387785058,2026-08-02 11:06:30-07:00,2026-08-02,-121.7788291723,45.404568959,1329.0,,12.0,23.0,0.0,3.3,,1020.8,Boletus smithii,"Mt Hood, OR 97041, USA",1
be6ac91f-7aa8-41ee-86ae-0985da2dc4c6,380799268,2026-07-12 12:12:32-07:00,2026-07-12,-121.628825,45.31365,1312.0,,15.0,28.0,0.0,4.7,,1017.5,Boletus smithii,"Mt Hood, OR 97041, USA",1
900cedcc-abb3-4005-98e6-22cd94879dd3,378631032,2026-07-05 19:29:53-07:00,2026-07-05,-121.6159408377,45.3120360186,1269.0,,11.3,31.0,0.0,5.6,,,Boletus smithii,"Oregon, US",1
32c59d6d-4971-4f67-9a09-10be0e138095,321955360,2025-09-22 17:03:00-07:00,2025-09-22,-121.5928125,45.5137985,544.0,,6.0,25.0,0.0,1.2,,1020.7,Boletus smithii,"Clear Creek Rd, Mount Hood Parkdale, OR, US",1
985b818b-da8d-4a6a-8e6d-7011f518902f,318768025,2025-10-04 12:47:11-07:00,2025-10-04,-122.0903633907,45.5309522171,1212.0,,11.0,19.0,1.8,1.0,,1019.3,Boletus smithii,"Cascade Locks, OR 97014, USA",1
8760210e-4e6d-4442-a4d6-c3ebb4f4c2e5,315932364,2025-09-22 10:05:26-07:00,2025-09-22,-121.5928125,45.5137985,544.0,,6.0,25.0,0.0,1.2,,1020.7,Boletus smithii,"Clear Creek Rd, Mount Hood Parkdale, OR, US",1
cd41d4ce-dd7e-4386-8618-8720c2761999,315594934,2025-09-20 14:16:57-07:00,2025-09-20,-122.0951416667,45.5349416667,1152.0,,11.0,27.0,0.0,4.8,,1014.3,Boletus smithii,"Cascade Locks, OR 97014, USA",1
883d849a-e0af-4c48-8ff6-7a93e7b540c3,315139789,2025-09-19 12:55:09-07:00,2025-09-19,-121.532316928,45.3454779696,1869.0,,10.0,30.0,0.0,1.3,,1012.0,Boletus smithii,"Mt. Hood National Forest, Mount Hood Parkdale, OR, US",1
814925de-63de-4e58-aaf4-01d20ce3eea1,314255707,2025-09-15 11:43:02-07:00,2025-09-15,-121.6570744001,45.3446223609,1796.0,,6.0,26.0,0.0,1.7,,1019.9,Boletus smithii,"Mt. Hood Meadows, Mount Hood Parkdale, OR, US",1
384a44ee-538c-4a37-b8d2-edcaf41901cb,311530985,2025-08-29 15:51:00-07:00,2025-08-29,-122.0027409866,45.2323236973,1333.0,,16.0,29.0,0.0,6.1,,1017.3,Boletus smithii,"Estacada, OR 97023, USA",1
