uuid,inat_id,obscured,geoprivacy,taxon_geoprivacy,positional_accuracy,public_positional_accuracy,location_precision,timestamp,date,lon,lat,olc,elevation,tavg,tmin,tmax,precipitation,windspeed,winddirection,presure,species,location,num_identification_agreements,kingdom,phylum,class,order,family,genus,taxon_id,taxon_rank,taxon_name,common_name
6f0ae7c0-2b1f-4fda-9f58-cdcc813a612d,396141984,False,,,,,unknown,2026-08-30 13:52:04-07:00,2026-08-30,-121.8403138889,44.6121777778,84PWJ500+,1629.0,,,,,,,,Boletus smithii,"Idanha, OR 97350, USA",1,Fungi,Basidiomycota,Agaricomycetes,Boletales,Boletaceae,Boletus,416423,species,Boletus smithii,Smith's Bolete
5f66c53f-3f66-4c77-b04e-979f641d0f69,397017263,False,,open,3.0,3.0,precise,2026-09-03 12:49:08-06:00,2026-09-03,-105.0510416667,38.927355,85CPWW00+,2835.0,,17.3,31.0,0.0,7.1,,,Boletus barrowsii,"South Catamount Creek Trail, Woodland Park, CO, US",1,Fungi,Basidiomycota,Agaricomycetes,Boletales,Boletaceae,Boletus,129328,species,Boletus barrowsii,Barrow's Bolete
9025a20a-6a2d-401a-b554-44d9a5940f2c,396929067,False,,open,,,unknown,2026-09-02 14:01:28-06:00,2026-09-02,-103.5289027778,44.1295055556,85PR4F00+,1620.0,,12.2,35.6,0.0,9.4,,1015.4,Boletus barrowsii,"Mount Rushmore, SD, USA",1,Fungi,Basidiomycota,Agaricomycetes,Boletales,Boletaceae,Boletus,129328,species,Boletus barrowsii,Barrow's Bolete
6b74a0ba-1fb7-4691-820b-45295874798a,395694536,True,obscured,,,28181.0,obscured,2026-08-29 11:30:28-06:00,2026-08-29,-105.1229565127,38.8496041532,85CPRV00+,3195.0,,16.3,27.7,0.0,5.8,,,Boletus rubriceps,"Colorado, US",2,Fungi,Basidiomycota,Agaricomycetes,Boletales,Boletaceae,Boletus,499696,species,Boletus rubriceps,Ruby Porcini
40a69314-df05-4bb2-a25c-899e3bed8413,395643678,False,,,3.0,3.0,precise,2026-08-29 11:12:22-06:00,2026-08-29,-105.6205215454,39.6355171204,85FPJ900+,3313.0,,3.5,15.0,10.9,15.1,,1020.6,Boletus rubriceps,"Clear Creek County, US-CO, US",2,Fungi,Basidiomycota,Agaricomycetes,Boletales,Boletaceae,Boletus,499696,species,Boletus rubriceps,Ruby Porcini
a684f9f9-7a08-43b0-ad5d-608ef7ab2622,395488668,False,,,4.0,4.0,precise,2026-08-27 10:27:26-06:00,2026-08-27,-107.981605,39.0566416667,85FJ3200+,3322.0,,16.8,35.8,0.1,6.1,,,Boletus rubriceps,"Cottonwood Trail, Cedaredge, CO, US",3,Fungi,Basidiomycota,Agaricomycetes,Boletales,Boletaceae,Boletus,499696,species,Boletus rubriceps,Ruby Porcini
62b49ddd-bd9a-4bc7-998f-39a3e1db77f7,395453212,True,obscured,,19.0,27939.0,obscured,2026-08-26 13:15:22-06:00,2026-08-26,-105.9891043506,40.5733960169,85GPH200+,2797.0,,3.0,26.0,0.2,4.5,,,Boletus rubriceps,"Colorado, US",1,Fungi,Basidiomycota,Agaricomycetes,Boletales,Boletaceae,Boletus,499696,species,Boletus rubriceps,Ruby Porcini
9fef05dd-811d-4fd1-b655-c65414f17d25,395404946,True,obscured,open,244.0,28151.0,obscured,2026-08-28 18:56:00-06:00,2026-08-28,-105.0316397318,39.0196620638,85FP2X00+,2677.0,,13.3,33.0,0.0,7.3,,,Boletus barrowsii,"Colorado, US",1,Fungi,Basidiomycota,Agaricomycetes,Boletales,Boletaceae,Boletus,129328,species,Boletus barrowsii,Barrow's Bolete
18d9d06c-9a7f-43f8-bde1-f035b74c91ae,395040284,False,,,5.0,5.0,precise,2026-08-27 12:53:02-06:00,2026-08-27,-105.1772656292,38.8403166075,85CPRR00+,2683.0,,15.7,25.6,0.9,4.7,,,Boletus rubriceps,"Teller County, US-CO, US",2,Fungi,Basidiomycota,Agaricomycetes,Boletales,Boletaceae,Boletus,499696,species,Boletus rubriceps,Ruby Porcini
23dded9a-367a-4c58-9ea8-64d7c62c107b,394730058,False,,,4.0,4.0,precise,2026-08-19 14:10:18-06:00,2026-08-19,-105.865875,39.6993416667,85FPM400+,3182.0,,5.0,13.0,0.3,16.5,,1022.1,Boletus rubriceps,"US-6, Silver Plume, CO, US",1,Fungi,Basidiomycota,Agaricomycetes,Boletales,Boletaceae,Boletus,499696,species,Boletus rubriceps,Ruby Porcini
4c9583cd-b429-42b2-a2b7-a106333246dc,394593884,False,,,72.0,72.0,precise,2026-08-25 13:28:13-06:00,2026-08-25,-105.44185,36.6056716667,858PJH00+,3135.0,,5.7,27.1,0.2,4.3,,,Boletus rubriceps,"Long Canyon Trail, Taos, NM, US",2,Fungi,Basidiomycota,Agaricomycetes,Boletales,Boletaceae,Boletus,499696,species,Boletus rubriceps,Ruby Porcini
7ebe3bc9-a1aa-437f-8f8b-1ad7bdeab2d5,393630418,False,,,11.0,11.0,precise,2026-08-13 10:55:44-06:00,2026-08-13,-108.0256278333,37.789355,859HQX00+,3123.0,,10.0,17.0,1.8,2.9,,,Boletus rubriceps,"Dolores, CO, US",1,Fungi,Basidiomycota,Agaricomycetes,Boletales,Boletaceae,Boletus,499696,species,Boletus rubriceps,Ruby Porcini
a8445491-891e-4438-96ec-cc1060b90459,390061020,True,obscured,,1307.0,28030.0,obscured,2026-08-08 11:47:44-06:00,2026-08-08,-105.6177303854,39.9579674501,85FPX900+,2982.0,,10.0,16.0,1.6,12.1,,1021.0,Boletus rubriceps,"Colorado, US",2,Fungi,Basidiomycota,Agaricomycetes,Boletales,Boletaceae,Boletus,499696,species,Boletus rubriceps,Ruby Porcini
