uuid,inat_id,timestamp,date,lon,lat,elevation,tavg,tmin,tmax,precipitation,windspeed,winddirection,presure,species,location,num_identification_agreements,olc
614ebc29-1ae1-46d6-9519-93de989156c8,383792067,2026-07-21 16:07:54-07:00,2026-07-21,-121.6497651949,45.3302294199,1569.0,,14.0,38.0,0.0,0.7,,,Butyriboletus abieticola,"Mt. Hood Meadows, Mount Hood Parkdale, OR, US",1,
31c6e658-b0d9-4085-a642-4125dc6dcc93,310683597,2025-08-31 14:04:43-07:00,2025-08-31,-121.4168746907,45.2233858109,803.0,,18.0,32.0,0.0,19.0,,1013.1,Butyriboletus abieticola,"Oregon, US",1,
4e6e8ec1-e6a2-4ce3-9d3e-d3af4ffa07e2,308566348,2025-08-22 11:15:00-07:00,2025-08-22,-121.45420187,45.3062865501,1361.0,,13.0,36.0,0.0,6.4,,1015.5,Butyriboletus abieticola,"Oregon, US",1,
936f2a53-f8e0-4f76-bf80-77587edf4cdd,308526920,2025-08-23 13:05:41-07:00,2025-08-23,-121.6616666667,45.3236916667,1591.0,,13.0,36.2,0.0,4.5,,1013.1,Butyriboletus abieticola,"OR-35, Mount Hood Parkdale, OR, US",2,
4b86c58e-07d1-46fa-91c6-0fb134c623dc,244226602,2024-09-26 10:00:00-07:00,2024-09-26,-121.6911882578,45.36056344,2705.0,,10.1,21.1,0.0,7.2,,1016.4,Butyriboletus abieticola,"Oregon, US",1,
53ed5ee7-2374-44bf-a48e-20e39ac19881,239529385,2024-09-02 16:15:50-07:00,2024-09-02,-121.728745,45.31372,1463.0,,,,,,,,Butyriboletus abieticola,"Mt. Hood Park Division Recreation Area, Government Camp, OR, US",1,
d4506a8d-5309-434e-8bb1-162f7fc37016,234778505,2024-08-08 13:17:00-07:00,2024-08-08,-122.0838579028,45.2669697211,1110.0,,16.7,35.6,0.0,4.5,,1012.6,Butyriboletus abieticola,"Clackamas County, OR, USA",1,
dab9776b-def8-4728-8189-3c5fbc983731,223484667,2024-06-17 14:58:19-07:00,2024-06-17,-121.480101163,45.0153137063,815.0,,3.0,17.0,0.2,17.9,,1017.2,Butyriboletus abieticola,"Oregon, US",1,
6a98a0a3-bfed-4ebc-8d33-8eefaafdae9d,179612643,2023-08-21 14:49:55-07:00,2023-08-21,-121.528555,45.3442916667,1898.0,,15.3,27.6,0.0,11.2,,1008.4,Butyriboletus abieticola,"Mt. Hood National Forest, Mount Hood Parkdale, OR, US",2,
4f534f73-cb3c-4afc-85ad-70d77aadd740,176167300,2023-07-29,2023-07-29,-121.7941026563,45.2027629711,1244.0,,,,,,,,Butyriboletus abieticola,"Oregon, US",1,
