uuid,inat_id,timestamp,date,lon,lat,elevation,tavg,tmin,tmax,precipitation,windspeed,winddirection,presure,species,location,num_identification_agreements,olc
60bb0221-3936-4af2-89a4-c93062f51038,312549661,2025-09-07 14:24:50-07:00,2025-09-07,-121.7420416667,45.4149033333,1592.0,,15.3,23.9,0.0,12.8,,1016.4,Caloboletus conifericola,"Mazama Trail, Mount Hood Parkdale, OR, US",1,
fdd8a650-b377-488a-a1f0-11be4c0ecbff,305007064,2025-08-07 13:17:29-07:00,2025-08-07,-121.7949666667,45.418205,1270.0,,15.0,22.0,0.0,6.9,,1020.7,Caloboletus conifericola,"Pacific Crest Trail, Rhododendron, OR, US",1,
88934dfd-97c2-4c69-8292-c021a59891fc,244525894,2024-09-21 16:50:03-07:00,2024-09-21,-121.8172,45.482005,1013.0,,8.4,23.7,0.0,5.2,,1020.6,Caloboletus conifericola,"Mt. Hood National Forest, Mount Hood Parkdale, OR, US",1,
4683828f-fe11-4eb9-a7b7-de0aec71dee2,242308247,2024-09-14 11:10:34-07:00,2024-09-14,-121.8160055556,45.4815694444,968.0,,12.6,21.9,0.0,12.8,,1012.1,Caloboletus conifericola,"Cascade Locks, OR 97014, USA",1,
864d3024-ef70-4bf1-af43-00d65dc92ade,241413720,2024-09-12 16:05:40-07:00,2024-09-12,-121.7118083333,45.2714533333,1196.0,,13.6,20.2,0.0,15.4,,1012.5,Caloboletus conifericola,"Mt. Hood Park Division Recreation Area, Government Camp, OR, US",2,
27b9e1f1-2f0e-49f3-989f-a239636b9324,238787415,2024-08-27 11:18:43-07:00,2024-08-27,-121.7875833333,45.40338,1243.0,,,,,,,,Caloboletus conifericola,"Mt. Hood National Forest, Government Camp, OR, US",1,
343ad48d-1336-4941-b7b7-4a7de07dd01c,236404388,2024-08-17 11:04:43-07:00,2024-08-17,-121.7888856071,45.265970254,1065.0,,13.1,32.8,2.6,10.3,,1009.5,Caloboletus conifericola,"Oregon, US",2,
73166f24-39bf-4451-971f-8ac31201e0a5,234399636,2024-07-30 10:51:14-07:00,2024-07-30,-122.0533460997,45.2488205,1274.0,,19.4,27.8,,5.6,,1015.8,Caloboletus conifericola,"Estacada, OR 97023, USA",1,
789b2283-818e-458e-a388-dc3b2e2ceeef,187412253,2023-10-13 11:33:52-07:00,2023-10-13,-121.940248,45.2973522222,469.0,,13.9,19.4,,21.3,,1010.0,Caloboletus conifericola,"Clackamas County, OR, USA",1,
cb6c936a-7e12-4a9b-b9b8-9cb5fb266f5b,184773460,2023-09-24 08:57:39-07:00,2023-09-24,-121.6267930399,45.4519609077,941.0,,10.2,15.1,12.5,6.3,,1014.5,Caloboletus conifericola,"Oregon, US",1,
5a6d4413-85d0-4360-a179-763513c37ddb,179412101,2023-08-19 13:43:00-07:00,2023-08-19,-121.7707221697,45.3833527554,1385.0,,11.6,31.7,0.0,8.2,,1012.0,Caloboletus conifericola,"Zigzag Ranger Station, Rhododendron, OR, US",1,
16d61e72-0478-415e-8227-2c075117fff8,177613835,2023-08-09 20:14:22-07:00,2023-08-09,-121.7524848189,45.3031490914,1196.0,,15.2,28.7,0.0,15.1,,1011.6,Caloboletus conifericola,"Mt. Hood Park Division Recreation Area, Government Camp, OR, US",1,
e76e2194-3269-4ee9-a3b8-5f6b9ef70fc4,136777855,2022-09-27 17:12:00-07:00,2022-09-27,-122.0412910283,45.2946351067,1324.0,,12.8,28.9,0.0,4.2,,1012.2,Caloboletus conifericola,"Clackamas County, OR, USA",1,
