uuid,inat_id,timestamp,date,lon,lat,elevation,tavg,tmin,tmax,precipitation,windspeed,winddirection,presure,species,location,num_identification_agreements
d5a9445d-562f-4d95-a953-5ff99dfde8e4,315728746,2025-09-21 12:56:19-06:00,2025-09-21,-106.39868,35.8964666667,2887.0,,13.0,26.0,0.0,8.9,,1022.8,Caloboletus rubripes,"Pajarito Mountain Ski Area, Los Alamos, NM, US",1
7a61152c-c9f7-4f62-bc0d-97038511529b,314704232,2025-09-17 19:17:36-06:00,2025-09-17,-106.3710805,35.8408668,2379.0,,11.0,26.0,0.1,10.7,,1025.0,Caloboletus rubripes,"Los Alamos County, NM, USA",1
ecf4610f-e8a4-4016-8982-0c49b006b71b,310626569,2025-08-31 16:50:28-06:00,2025-08-31,-105.8342177421,35.7469851914,2709.0,,12.0,26.0,2.8,15.0,,1027.3,Caloboletus rubripes,"Santa Fe County, US-NM, US",1
f2b62590-1f94-467c-9fc9-ff10411fb584,291925734,2025-06-21 14:10:00-06:00,2025-06-21,-106.37016389,35.83966944,2406.0,,19.7,30.3,0.0,16.5,,1017.9,Caloboletus rubripes,"Los Alamos, New Mexico, United States",1
bf55658c-d8c1-4ac0-9ea5-ce068463f4b6,243501094,2024-06-30 13:27:12-06:00,2024-06-30,-106.2236559716,35.9250576344,2096.0,,14.1,26.6,,10.2,,1030.1,Caloboletus rubripes,"New Mexico, US",1
0731d537-68cd-42fe-807b-e3f68af796bd,239550973,2024-08-31 11:50:14-06:00,2024-08-31,-105.1194277778,36.6271944444,2510.0,,2.6,23.2,,4.4,,,Caloboletus rubripes,"Cimarron, NM 87714, USA",1
b7e9a13f-bc8f-439f-b3aa-bfedb233332e,237292278,2024-07-04 10:34:32-06:00,2024-07-04,-106.7546466667,37.4114533333,2642.0,,7.0,16.0,0.0,12.4,,1038.6,Caloboletus rubripes,"San Juan National Forest - Headquarters, Creede, CO, US",1
3e56932f-0ea8-433f-8a97-c3f613547170,132092269,2022-08-19 18:10:00-06:00,2022-08-19,-105.530545563,36.5585037952,2549.0,,10.6,23.9,,7.3,,1019.0,Caloboletus rubripes,"Taos County, NM, USA",1
2ca47f12-5522-4dfa-86af-c64fb577f6e6,31086121,2019-08-18 12:32:26-06:00,2019-08-18,-105.5947913602,36.620033231,2705.0,,,,,11.2,,,Caloboletus rubripes,"San Cristobal, NM 87564, USA",1
382565bb-56bb-4b66-8043-9fcf79528f1a,370803229,2026-06-11 11:56:14-07:00,2026-06-11,-121.459525,45.3872216667,1229.0,,5.0,25.0,0.0,3.0,,,Caloboletus rubripes,"Rail Hollow Rd, Dufur, OR, US",1
3e03bc93-84b3-41e1-9dc1-f406d7dcf3b4,367731804,2026-05-31 14:26:08-07:00,2026-05-31,-121.4922466667,45.500405,1232.0,,5.0,22.0,0.0,3.2,,,Caloboletus rubripes,"Mount Hood Parkdale, OR, US",1
150abff8-647e-457f-8c9a-ba73e3a5c922,295326930,2025-07-04 18:33:14-07:00,2025-07-04,-121.6937653588,45.2818667967,1172.0,,14.0,20.0,2.2,1.8,,1015.8,Caloboletus rubripes,"Mt. Hood Park Division Recreation Area, Government Camp, OR, US",1
75279cf7-eaf3-40bb-998e-e6044567cc88,295048884,2025-06-28 00:10:00-07:00,2025-06-28,-121.520466188,45.2000073416,1103.0,,,,,,,,Caloboletus rubripes,"Wasco County, US-OR, US",1
2cca43c4-b29d-4462-8da2-dd10888a6aea,294644696,2025-06-28 10:43:37-07:00,2025-06-28,-121.5071247518,45.1921089179,1012.0,,,,,,,,Caloboletus rubripes,"Maupin, OR 97037, USA",1
725c5b79-f680-4974-8d83-c67fea9afffc,286198209,2025-05-17 22:34:00-07:00,2025-05-17,-121.5236277054,45.0908856998,979.0,,,,,,,,Caloboletus rubripes,"Wasco County, US-OR, US",1
b3e3b80d-7e2a-4385-a53c-e0d2a07253f7,284850805,2025-05-26 12:17:02-07:00,2025-05-26,-121.6201745471,45.2755354265,1044.0,,13.0,21.0,0.0,5.1,,1019.2,Caloboletus rubripes,"Oregon, US",1
bf7daf89-f2ec-407b-9fd2-142d15a1ee72,284850755,2025-05-26 12:24:05-07:00,2025-05-26,-121.7753694083,45.3367943075,1332.0,,13.0,21.0,0.0,5.1,,1019.2,Caloboletus rubripes,"Oregon, US",1
6fd562fb-59f6-4260-8ff9-da74b4ed9961,225949201,2024-06-28 13:28:20-07:00,2024-06-28,-121.4831142883,45.3818349403,1429.0,,10.4,26.7,0.0,8.8,,1014.8,Caloboletus rubripes,"Wasco County, US-OR, US",1
5b25865d-ba32-4c3b-b1ff-505acbe87717,225945420,2024-06-28 14:09:00-07:00,2024-06-28,-121.4249750667,45.3260358816,1320.0,,12.8,29.4,0.0,12.8,,1013.8,Caloboletus rubripes,"Wasco County, US-OR, US",1
223668f3-d768-4337-a2b9-4aa8e968c6b6,219911044,2024-06-01 14:32:38-07:00,2024-06-01,-121.4209913388,45.1884852919,751.0,,,,,,,,Caloboletus rubripes,"Wasco County, US-OR, US",1
90b665a6-eec9-43d8-8029-d3f5d78e3728,147361242,2022-08-20 13:01:00-07:00,2022-08-20,-121.6044487182,45.2621411659,1226.0,,17.3,29.2,0.0,14.5,,1012.4,Caloboletus rubripes,"Oregon, US",1
1263224f-e574-4145-a61a-42839ba09ce6,137152593,2022-09-28 16:13:58-07:00,2022-09-28,-121.6230775111,45.3192134915,1337.0,,14.1,22.9,3.2,10.4,,1014.9,Caloboletus rubripes,"Hood River County, US-OR, US",1
a0d4b4d7-93e0-4f00-b232-71b8e0dc1cac,137095161,2022-06-16,2022-06-16,-121.4617,45.1912,918.0,,,,,,,,Caloboletus rubripes,"Barlow Ranger District portion in Wasco Co., Mount Hood National Forest, Wasco Co., Oregon, USA",1
3df36871-65c5-4bf6-b479-b9e88ce11743,137094909,2022-06-09,2022-06-09,-121.4565,45.1904,884.0,,,,,,,,Caloboletus rubripes,"Barlow Ranger District portion in Wasco Co., Mount Hood National Forest, Wasco Co., Oregon, USA",2
ac946708-19b5-443f-9060-1d752cc4bd0e,136536498,2022-09-25 11:20:57-07:00,2022-09-25,-121.5613397818,45.3648929246,1091.0,,12.3,28.2,0.0,5.4,,1020.4,Caloboletus rubripes,"Forest Service U.S. Department of Agriculture, Mount Hood Parkdale, OR, US",1
33b67ace-0d3a-49b5-912f-b3013a44d8ea,121628882,2022-06-11 19:15:41-07:00,2022-06-11,-121.5657221824,45.3759875327,1024.0,,12.7,20.8,7.3,8.4,,1013.0,Caloboletus rubripes,"Wasco County, US-OR, US",1
d022bea6-6c60-4c33-8efe-2620eddf42a7,66685569,2020-05-24 17:00:13-07:00,2020-05-24,-121.4368833,45.1818473,792.0,,,,,,,,Caloboletus rubripes,"Maupin, OR 97037, USA",1
80ce1b60-fc49-4dbc-89f7-07c38758f6e6,57663165,2020-05-22 15:31:40-07:00,2020-05-22,-121.5049029722,45.1068879722,999.0,,,,,,,,Caloboletus rubripes,"Maupin, OR 97037, USA",1
cbc72a82-4f69-48a8-8cca-770b092a8dbe,47399855,2020-05-23 16:20:10-07:00,2020-05-23,-121.5180862336,45.147253368,948.0,,,,,,,,Caloboletus rubripes,"Oregon, US",1
