uuid,inat_id,timestamp,date,lon,lat,elevation,tavg,tmin,tmax,precipitation,windspeed,winddirection,presure,species,location,num_identification_agreements
73c2a94e-2518-4d45-9421-581bf7e005c5,320174074,2025-10-10 14:54:38-06:00,2025-10-10,-105.1692131515,39.9671857274,1687.0,,13.0,18.0,0.0,4.9,,,Candolleomyces candolleanus,"W Century Dr, Louisville, CO, US",1
b3eaece6-6529-47b5-8720-87b92774a7ec,317583447,2025-09-29 11:34:58-06:00,2025-09-29,-108.5684033333,39.0814083333,1408.0,,9.4,24.4,0.0,6.8,,1021.0,Candolleomyces candolleanus,"E Sherwood Dr, Grand Junction, CO, US",1
5e606163-9533-4719-97f4-c7ef5edcc9e8,316313434,2025-09-24 09:22:44-06:00,2025-09-24,-105.0042416667,39.7411166667,1593.0,,8.5,20.2,0.0,6.5,,1024.5,Candolleomyces candolleanus,"Metropolitan State University of Denver, Denver, CO, US",1
700a94c2-0eb3-4ed9-a066-e671cc107103,310069685,2025-08-29 15:54:26-06:00,2025-08-29,-104.7926633333,38.772305,1787.0,,13.1,23.0,11.7,9.0,,1023.2,Candolleomyces candolleanus,"Tanager Way, Colorado Springs, CO, US",1
2e201d50-5770-4d03-9125-0cdb2fea06f3,310023966,2025-08-29 10:59:38-06:00,2025-08-29,-104.8919830278,39.7078666667,1664.0,,14.1,24.5,3.0,11.3,,1016.9,Candolleomyces candolleanus,"Windsor, Denver, CO, USA",2
44ac1751-3cb6-42df-aedd-a3b817f782a8,309647541,2025-08-27 19:11:45-06:00,2025-08-27,-104.8815814019,39.7152392739,1647.0,,14.8,24.1,2.3,11.3,,1016.6,Candolleomyces candolleanus,"Colorado, US",2
1922e176-11a5-49aa-b8d6-ff8aed4c8a03,309643215,2025-08-25,2025-08-27,-105.0982864,40.5670284,1539.0,,16.0,26.0,10.7,9.3,,1022.0,Candolleomyces candolleanus,"1121 W Prospect Rd Suite 110, Fort Collins, CO 80526, USA",1
df737370-0737-4fd1-a831-312c4ddca40f,309621474,2025-08-27 18:53:16-06:00,2025-08-27,-107.8798065186,37.2754592896,1995.0,,14.0,24.0,10.9,8.9,,1026.9,Candolleomyces candolleanus,Durango,1
22bdab35-9f87-4ffc-ac5d-b411cf354068,309609498,2025-08-27 17:44:17-06:00,2025-08-27,-105.2648849487,39.9950523376,1668.0,,15.0,27.0,3.1,8.3,,1022.0,Candolleomyces candolleanus,Boulder,1
e06dd74c-05c5-410d-a57a-1d81fa28ef5f,309332976,2025-08-26 14:24:30-06:00,2025-08-26,-105.06231405,40.60850733,1518.0,,13.0,24.0,2.3,9.3,,1024.6,Candolleomyces candolleanus,"Greenbriar, Fort Collins, CO 80524, USA",1
8b2b9895-933a-44cc-b802-746a0790796e,309320656,2025-08-26 13:27:28-06:00,2025-08-26,-105.05917817,40.59544157,1507.0,,13.0,24.0,2.3,9.3,,1024.6,Candolleomyces candolleanus,"Fort Collins, CO, USA",1
188e64e6-6c2c-47e3-bbac-37a10c8b9e29,309126424,2025-08-25 17:29:02-06:00,2025-08-25,-105.2636032104,39.9961090088,1655.0,,14.0,22.0,8.8,5.9,,1024.7,Candolleomyces candolleanus,Boulder,1
ebb8dd2f-aa61-4723-beea-fb540bb31e90,309121091,2025-08-25 16:59:02-06:00,2025-08-25,-106.8285888889,39.1978333333,2414.0,,10.6,21.7,1.3,8.0,,1016.8,Candolleomyces candolleanus,"Aspen, CO 81611, USA",1
f53ef8f7-50d1-4a94-bb42-e361729c9956,307146233,2025-08-17 15:48:21-06:00,2025-08-17,-107.7352966667,38.1336666667,2152.0,,8.0,23.0,0.1,9.2,,1031.8,Candolleomyces candolleanus,"CR-3, Ridgway, CO, US",1
99a75e46-c5a2-4572-8dc1-ecee54c3a635,306608086,2025-08-15 17:39:16-06:00,2025-08-15,-105.2647857666,39.9956703186,1668.0,,18.0,33.0,0.0,6.0,,1018.5,Candolleomyces candolleanus,Boulder,1
aee9f9cf-76a5-4920-bb3f-2079168ddcb4,306608045,2025-08-15 17:38:58-06:00,2025-08-15,-105.2646636963,39.9955596924,1668.0,,18.0,33.0,0.0,6.0,,1018.5,Candolleomyces candolleanus,Boulder,1
dd8f3735-8f0b-4cbb-a720-78cdd794111b,305668846,2025-07-25 06:44:09-06:00,2025-07-25,-104.8254346132,38.8537280044,1856.0,,12.2,28.9,0.0,12.2,,1015.4,Candolleomyces candolleanus,"Wood Ave, Colorado Springs, CO, US",1
94f60caa-cfde-4da0-926b-5be0aebb0e28,305668833,2025-07-25 06:43:51-06:00,2025-07-25,-104.8254180115,38.8537946677,1856.0,,12.2,28.9,0.0,12.2,,1015.4,Candolleomyces candolleanus,"W Columbia St, Colorado Springs, CO, US",1
f624802f-f924-47ac-9931-0125f08ad9da,304894509,2025-08-05 11:46:33-06:00,2025-08-05,-104.89373,39.611805,1753.0,,18.3,34.4,0.0,13.9,,1011.7,Candolleomyces candolleanus,"DTC Pkwy, Greenwood Village, CO, US",1
88c483ed-e020-4320-8ad8-a98c382c3e6c,304602956,2025-08-07 17:28:42-06:00,2025-08-07,-105.09025751,40.19274433,1542.0,,14.5,38.2,0.0,7.2,,1019.8,Candolleomyces candolleanus,"Stoney Ridge, Longmont, CO 80504, EE. UU.",1
cc4e31cc-b830-4a7a-987d-cd9e82539fd8,299421969,2025-07-19 12:18:01-06:00,2025-07-19,-104.7785633333,41.23173,1871.0,,14.4,30.6,0.0,11.5,,1011.4,Candolleomyces candolleanus,"Empire Dr, Cheyenne, WY, US",1
d47de682-b59c-4b89-ad14-2b0df87e3952,299398444,2025-07-19 17:28:16-06:00,2025-07-19,-105.5648333333,41.30383,2198.0,,11.0,28.0,0.0,15.2,,1023.5,Candolleomyces candolleanus,"Laramie, WY, US",1
19e5f58f-3a3c-4d06-be6b-cbdcf899b5c8,298805909,2025-07-17 18:07:42-06:00,2025-07-17,-105.2499008179,39.987827301,1648.0,,15.0,28.0,0.8,5.7,,1019.5,Candolleomyces candolleanus,Boulder,1
eef04960-570a-4d59-a21a-548617e23fda,298673851,2025-07-17 08:06:31-06:00,2025-07-17,-105.2502746582,39.9880447388,1648.0,,15.0,28.0,0.8,5.7,,1019.5,Candolleomyces candolleanus,"Boulder County, US-CO, US",1
de04fd74-8f9a-4263-9fe6-4846cfefef86,298028965,2025-07-14 17:43:30-06:00,2025-07-14,-105.0489634183,40.5721102003,1511.0,,18.3,35.0,0.0,12.4,,1011.6,Candolleomyces candolleanus,"Montgomery St, Fort Collins, CO, US",1
f44127cf-1890-4c26-a0b2-ef157644dc3a,291982769,2025-06-22 20:37:08-06:00,2025-06-22,-104.7790051139,39.6543425446,1711.0,,18.9,33.8,0.5,19.5,,998.5,Candolleomyces candolleanus,"S Ventura St, Aurora, CO, US",1
746fbb5f-3050-416d-bf29-a3cad43237dd,289328356,2025-06-12 13:16:00-06:00,2025-06-12,-105.93948333,35.68183611,2141.0,,10.6,28.9,0.4,13.6,,1009.7,Candolleomyces candolleanus,"Santa Fe, New Mexico, United States",3
b98fc171-c29f-4734-bc58-f8db832b42a3,288344696,2025-06-06 12:40:02-06:00,2025-06-06,-104.9287333333,39.6955033333,1650.0,,10.6,18.5,4.0,11.6,,1015.1,Candolleomyces candolleanus,"E Kansas Dr, Denver, CO, US",1
d0190270-d6fe-42bd-9199-02bd4fac57bc,288037977,2025-06-08 15:41:09-05:00,2025-06-08,-99.7372666667,40.7856783333,736.0,,13.9,21.1,0.0,16.4,,1015.2,Candolleomyces candolleanus,"N Jefferson St, Lexington, NE, US",1
724cf6a5-3ca1-44d2-9536-eac5a9a69691,287866859,2025-06-07 20:14:01-06:00,2025-06-07,-105.0192083333,39.5427361111,1718.0,,10.0,26.7,0.0,10.8,,1013.5,Candolleomyces candolleanus,"Littleton, CO 80129, USA",1
