uuid,inat_id,timestamp,date,lon,lat,olc,elevation,tavg,tmin,tmax,precipitation,windspeed,winddirection,presure,species,location,num_identification_agreements
9a8de6ee-2c4b-4cfc-b650-a83920f1a6ad,322581004,2025-10-22 13:36:02-07:00,2025-10-22,-122.0288833333,45.3976638889,84QV9XXC+,758.0,,9.0,18.0,0.7,10.5,,1017.0,Cantharellus cascadensis,"Sandy, OR 97055, USA",1
a39eed85-e5ba-45db-9eaf-b298493926b2,321111633,2025-10-15 14:02:13-07:00,2025-10-15,-122.0903633907,45.5309522171,84QVGWJ5+,1212.0,,8.0,19.0,0.0,11.0,,1018.2,Cantharellus cascadensis,"Cascade Locks, OR 97014, USA",1
0e022a1e-26f4-4ec2-b70c-9495dc49e3fb,320987564,2025-10-14 14:47:23-07:00,2025-10-14,-122.3042339048,45.0820787257,84QV3MJW+,795.0,,6.0,18.0,0.0,19.1,,1014.6,Cantharellus cascadensis,"Clackamas County, US-OR, US",1
9c925e20-ff02-420f-9832-b74a99ae8aab,318481063,2025-10-03 10:57:09-07:00,2025-10-03,-122.0056759939,45.6512042845,84QVMX2V+,721.0,,10.0,19.0,0.5,2.2,,1020.5,Cantharellus cascadensis,"Stevenson, WA 98648, USA",1
fd7b580f-d2c9-4eb4-b074-c2beb6f1b984,317907316,2025-09-30 11:47:59-07:00,2025-09-30,-122.2820323706,45.1855316899,84QV5PP9+,503.0,,9.0,21.0,1.2,8.8,,1008.8,Cantharellus cascadensis,"Estacada, OR 97023, USA",1
8f1db25e-e1d1-4604-8ec3-60ce0d9ed81c,317906409,2025-09-30 11:26:53-07:00,2025-09-30,-122.3711638343,45.0977788561,84QV3JXH+,507.0,,9.0,21.0,1.2,8.8,,1008.8,Cantharellus cascadensis,"Clackamas County, US-OR, US",1
c9aecb6e-a0ad-46ec-8daa-22e3a3c1d034,310709236,2025-08-31 16:18:04-07:00,2025-08-31,-122.3018951342,45.2110998083,84QV6M6X+,425.0,,13.0,29.0,0.0,7.1,,1016.5,Cantharellus cascadensis,"Estacada, OR 97023, USA",1
7f059095-7719-4a0b-be41-1e9237ee6bae,263022726,2024-11-03 13:14:00-08:00,2024-11-03,-122.1996437483,45.5782220999,84QVHRH2+,347.0,,10.0,14.4,,7.1,,1022.3,Cantharellus cascadensis,"Oregon, US",1
47103487-e51f-4661-bbad-b8e4942fae92,250941579,2024-11-01 16:31:09-07:00,2024-11-01,-122.204233752,45.573369362,84QVHQFW+,294.0,,9.4,12.2,,10.2,,1005.5,Cantharellus cascadensis,"Columbia River Gorge National Scenic Area, Washougal, WA, US",1
4bee3e2c-5755-45c9-a557-fe7547edf744,250452114,2024-11-03 10:52:23-08:00,2024-11-03,-122.0900697997,45.6403324997,84QVJWR5+,415.0,,10.0,14.4,,7.1,,1022.3,Cantharellus cascadensis,"Stevenson, WA 98648, USA",1
fc4699c7-5ed7-4cb1-b1f8-88d41f8c653d,248556907,2024-10-21 15:16:26-07:00,2024-10-21,-122.220755,45.2224283333,84QV6QCH+,568.0,,10.6,16.1,,6.6,,1018.3,Cantharellus cascadensis,"Mt. Hood National Forest, Estacada, OR, US",1
6b81d303-f792-4412-8ca5-1920030dad77,244252274,2024-09-26 16:28:00-07:00,2024-09-26,-122.2279952997,45.3042387044,84QV8Q3C+,403.0,,11.7,22.8,0.0,3.6,,1016.5,Cantharellus cascadensis,"Clackamas County, OR, USA",1
c4549c03-9a2b-4094-8daa-7fa54e060d7b,239873527,2024-09-02 13:31:27-07:00,2024-09-02,-122.3035049651,45.1194928024,84QV4M9W+,1049.0,,13.3,20.0,0.0,8.8,,1016.2,Cantharellus cascadensis,"Clackamas County, US-OR, US",1
5253ecaa-6a31-4ba8-87e8-27c2ac7a41c7,239873126,2024-09-02 13:35:27-07:00,2024-09-02,-122.2780185997,45.1827939,84QV5PMC+,513.0,,13.3,20.0,0.0,8.8,,1016.2,Cantharellus cascadensis,"Estacada, OR 97023, USA",1
e412b545-febd-4b14-8527-6d4d1161b0bb,190968920,2023-11-13 13:50:09-08:00,2023-11-13,-122.3658225779,45.0219950186,84QV2JCM+,1137.0,,6.7,13.3,,8.3,,1016.7,Cantharellus cascadensis,"Clackamas County, US-OR, US",1
