uuid,inat_id,timestamp,date,lon,lat,elevation,tavg,tmin,tmax,precipitation,windspeed,winddirection,presure,species,location,num_identification_agreements,olc
33e56a63-f3ca-4584-8000-6577667f5eaf,318903317,2025-10-03 16:24:05-06:00,2025-10-03,-104.96661013,39.7294463357,1635.0,,12.7,27.8,0.0,11.7,,1013.0,Chlorophyllum brunneum,"Cheesman Park, Denver, CO, US",1,
a037fa08-07ab-4e0f-9e97-ebadff10edb9,288082278,2025-06-08 15:10:51-06:00,2025-06-08,-104.7849361111,39.6666361111,1714.0,,10.2,21.1,5.3,10.7,,1014.8,Chlorophyllum brunneum,"Aurora Knolls - Hutchinson Heights, Aurora, CO 80013, USA",1,
955ff6b0-4e5c-435f-b79b-77d1f03ea165,249405127,2024-09-30 14:21:39-06:00,2024-09-30,-104.8799430951,39.1599577603,2195.0,,9.8,29.0,0.0,15.5,,1014.8,Chlorophyllum brunneum,"Larkspur, CO 80118, USA",1,
e3067a6c-380f-48fe-80b6-ca11dcf29eb5,236176554,2024-08-16 14:44:06-06:00,2024-08-16,-104.8075552007,39.7157407029,1658.0,,13.4,33.0,0.0,9.8,,1013.9,Chlorophyllum brunneum,"Colorado, US",1,
bf426138-d6a4-4f45-a26f-f430ee43d863,136618024,2022-09-26,2022-09-26,-105.0416,39.6181,1671.0,,8.9,25.6,0.0,9.0,,1021.6,Chlorophyllum brunneum,"Colorado. Arapahoe Co., Littleton, Bow Mar residential neighborhood, E. of Bowles Lake",1,
2697137e-bd52-4baf-a829-e688b88a4d4a,95067612,2021-08-18 12:57:00+00:00,2021-08-18,-104.8921668,37.8265907,1944.0,,,,,,,,Chlorophyllum brunneum,"Rye, CO 81069, USA",2,
2a358468-aa87-41a6-841c-c1707319311d,61713338,2020-10-04 14:46:42-06:00,2020-10-04,-105.1028192416,39.7910040881,1642.0,,,,,9.9,,,Chlorophyllum brunneum,"Arvada, CO 80002, USA",1,
a6d39817-ca66-45ee-8b15-2a1791001b2b,7507338,2017-08-15 10:17:15-06:00,2017-08-15,-104.96592874,39.7037788,1633.0,,13.3,27.2,,15.7,,1008.2,Chlorophyllum brunneum,"1800-1898 East Exposition Avenue Denver, CO 80209 USA",2,
9f09f0a5-5c0e-41d3-85ae-85bd7a47603f,35516559,2019-11-09 14:35:57-08:00,2019-11-09,-122.29401994,45.48856548,102.0,,3.9,11.7,,2.7,,1024.0,Chlorophyllum brunneum,"Multnomah County, US-OR, US",1,
776549d8-5a4e-40bc-b710-df20f2c85f90,328531754,2025-11-27 12:33:41-08:00,2025-11-27,-122.510125,45.5002166667,69.0,,7.0,14.0,2.2,27.2,,1016.5,Chlorophyllum brunneum,"SE 148th Ave, Portland, OR, US",1,84QVGF2Q+
0b7fcdb5-f4b1-449b-9909-d2d796030f82,322863436,2025-10-24 13:12:43-07:00,2025-10-24,-122.5741972222,45.5285,76.0,,11.0,14.0,0.5,18.0,,1010.4,Chlorophyllum brunneum,"Montavilla, Portland, OR, USA",2,84QVGCHG+
b6081347-6351-4974-be37-bca4784fc2d8,320700303,2025-10-13 12:08:43-07:00,2025-10-13,-122.8349127684,45.4413603431,89.0,,3.0,16.0,3.4,13.0,,1009.7,Chlorophyllum brunneum,"SW Teal Blvd, Beaverton, OR, US",1,84QVC5R8+
935959ca-2edd-4c75-adbf-4b6f0f14a880,191857474,2023-11-22 10:17:41-08:00,2023-11-22,-122.4979890126,45.5145988179,76.0,,8.3,13.3,,2.5,,1027.3,Chlorophyllum brunneum,"SE Main St, Portland, OR, US",1,84QVGG72+
a41917f1-d9d1-43f0-845d-0cbd66aba995,190627170,2023-11-10 16:09:55-08:00,2023-11-10,-122.6788866667,45.525695,16.0,,9.4,12.8,0.3,9.7,,1021.3,Chlorophyllum brunneum,"North Park Blocks, Portland, OR, US",1,84QVG8GC+
