uuid,inat_id,timestamp,date,lon,lat,elevation,tavg,tmin,tmax,precipitation,windspeed,winddirection,presure,species,location,num_identification_agreements
70d667da-8a43-4679-acfc-77272b6760c1,391977932,2026-08-16 19:40:00-06:00,2026-08-16,-105.0009916667,39.736995,1599.0,,17.6,26.5,,12.9,,1021.3,Chlorophyllum molybdites,"W 13th Ave, Denver, CO, US",1
dee028a1-e3ce-4e0b-b1e0-d8432702fddd,390161216,2026-08-04 07:54:39-06:00,2026-08-04,-105.0177763164,39.8843060537,1686.0,,15.0,26.3,0.0,10.9,,,Chlorophyllum molybdites,"Colorado, US",1
39c0608c-bf37-44b4-95b6-35d80688cefa,368942886,2019-07-07 17:50:08-06:00,2019-07-07,-105.0823833333,39.6574583333,1664.0,,14.4,29.4,11.7,11.2,,1014.2,Chlorophyllum molybdites,"S Wadsworth Blvd, Lakewood, CO, US",1
bea96f14-c25b-4e46-8531-6d49ed9b1ed0,349448752,2024-04-12 00:00:00-06:00,2024-04-12,-105.1138090903,39.8523644901,1684.0,,4.3,24.0,0.0,10.2,,1017.8,Chlorophyllum molybdites,"W 86th Pkwy, Westminster, CO, US",1
85a510a3-6b21-478c-8d5e-5e5d51d9087f,347178557,2025-09-06 16:54:13-06:00,2025-09-06,-104.8433217281,38.931527767,1998.0,,8.0,22.0,0.0,13.7,,1023.9,Chlorophyllum molybdites,"Allegheny Dr, Colorado Springs, CO, US",2
d6acb207-ab31-4b8f-8307-9893c7b37588,318569854,2025-09-06 11:24:44-06:00,2025-09-06,-105.0799778333,39.5103383333,1667.0,,7.0,27.0,0.0,10.2,,1022.2,Chlorophyllum molybdites,"Chatfield State Park, Littleton, CO, US",1
bd90b2b9-27bb-4def-986b-30f46385050d,313119828,2025-09-10 18:36:46-06:00,2025-09-10,-104.8376083333,38.7492633333,2026.0,,13.0,28.0,0.0,12.3,,1023.1,Chlorophyllum molybdites,"Buttermere Dr, Colorado Springs, CO, US",1
c32706a7-802e-4940-950b-4d12d5d7981a,311347812,2025-09-03 15:48:54-06:00,2025-09-03,-105.0950916667,35.8413116667,2046.0,,11.0,27.0,0.0,11.4,,1027.2,Chlorophyllum molybdites,"Ocate, NM, US",1
434c7ab7-4ba0-4de4-8aa3-d17949bd29a4,311338775,2025-09-03 15:25:24-06:00,2025-09-03,-106.3266784193,35.9033577503,2276.0,,15.0,25.0,3.1,11.6,,1028.3,Chlorophyllum molybdites,"45th St, Los Alamos, NM, US",1
89f594cd-d372-42d1-a28e-b06861cb5946,310018031,2025-08-29 10:58:03-06:00,2025-08-29,-104.8942031667,39.7064475833,1668.0,,14.1,24.5,3.0,11.3,,1016.9,Chlorophyllum molybdites,"Windsor, Denver, CO, USA",1
52dcc3ec-2136-460b-a8ea-71593d62b06c,310014017,2025-08-29 10:16:21-06:00,2025-08-29,-104.9007415556,39.7095832778,1659.0,,14.1,24.5,3.0,11.3,,1016.9,Chlorophyllum molybdites,"Windsor, Denver, CO, USA",1
