uuid,inat_id,timestamp,date,lon,lat,olc,elevation,tavg,tmin,tmax,precipitation,windspeed,winddirection,presure,species,location,num_identification_agreements
5ec19d30-5c96-40ec-be65-c9ce1a7e6508,125259352,2022-06-15 12:38:07-07:00,2022-06-15,-121.4145080339,45.464298457,84QWFH7P+,956.0,,7.6,20.7,0.5,4.0,,1015.3,Clavariadelphus ligula,"Wasco County, US-OR, US",1
6b62cfe9-3550-4ae1-b656-5035dd6aad70,98257955,2021-10-14 15:38:17-07:00,2021-10-14,-122.4426947669,44.8621821453,84PVVH64+,1048.0,,10.0,15.6,1.8,14.4,,1023.5,Clavariadelphus ligula,"Lyons, OR, US",3
2894818c-3f35-4370-acbe-6695377820ea,393957242,2026-08-23 11:04:28-06:00,2026-08-23,-110.7984166667,40.7542805556,85GFQ632+,2908.0,,,,,,,,Clavariadelphus ligula,"Bear River, WY 82930, USA",1
26e95cf2-c7c7-4c74-8fec-e15bfbab686d,324089043,2022-08-20 09:27:14-06:00,2022-08-20,-107.8873533333,37.8850166667,859JV4P7+,2965.0,,10.0,17.0,13.8,5.1,,1029.5,Clavariadelphus ligula,"San Miguel County, US-CO, US",1
da79aaca-b7ab-4350-8729-b3a7c3c98ce0,319029647,2025-10-05 15:27:13-06:00,2025-10-05,-106.6697587413,38.9832146005,85CMX8MJ+,3362.0,,-2.0,17.0,1.6,9.7,,1017.4,Clavariadelphus ligula,"Gunnison County, US-CO, US",2
e6754429-a192-4afa-ae89-6dedfb12690b,310896287,2025-09-01 13:37:57-06:00,2025-09-01,-105.798107,35.79782973,857PQ6X2+,3238.0,,12.0,27.0,0.0,12.5,,1029.0,Clavariadelphus ligula,"Santa Fe County, US-NM, US",1
592f9b5a-0aa7-46aa-96ab-5dd88f5acf10,310601206,2025-08-31 11:00:32-06:00,2025-08-31,-105.275985,39.66384,85FPMP7F+,2093.0,,12.0,27.0,0.0,8.4,,1027.3,Clavariadelphus ligula,"Kerr Gulch, Golden, CO, USA",1
2a1863af-5246-404b-9826-e4427622b980,307853059,2025-08-20 11:59:49-06:00,2025-08-20,-105.8017473338,35.795129707,857PQ5WX+,3169.0,,14.4,31.1,0.0,16.2,,1017.5,Clavariadelphus ligula,"NM-475, Tererro, NM, US",1
9c40a54f-6a6e-4424-a938-6ac132b810a7,254351815,2022-07-23 10:32:00-06:00,2022-07-23,-105.1769817739,38.8848376193,85CPVRMF+,2925.0,,14.4,34.1,0.3,14.8,,1011.8,Clavariadelphus ligula,"Colorado, US",1
7094f4b8-3a8c-4ca0-966e-fe2eb8ddd97b,240257410,2024-09-06 16:58:00-06:00,2024-09-06,-105.7711261243,39.8266738139,85FPR6GH+,3374.0,,-3.6,13.4,0.0,9.4,,1028.6,Clavariadelphus ligula,"Berthoud Pass Grand County, CO, USA",1
