uuid,inat_id,timestamp,date,lon,lat,olc,elevation,tavg,tmin,tmax,precipitation,windspeed,winddirection,presure,species,location,num_identification_agreements
324a1b5d-27ed-42fb-998e-efbb9ec468f7,323567491,2025-10-27 16:00:23-07:00,2025-10-27,-121.84938,45.3858833333,84QW95P2+,709.0,,2.0,10.0,0.2,1.6,,1026.2,Clavariadelphus occidentalis,"Rhododendron, OR, US",1
1d264014-354f-446b-85de-7c8bbb6e92d2,262916750,2024-11-03 13:04:00-08:00,2024-11-03,-122.0923694444,45.5491472222,84QVGWX5+,959.0,,10.0,14.4,,7.1,,1022.3,Clavariadelphus occidentalis,"Multnomah County, OR, USA",1
fdb35f53-5e56-4dba-963e-5bafafdef0e2,98440673,2021-10-16 11:27:11-07:00,2021-10-16,-121.7008535445,45.2387236652,84QW67QX+,1098.0,,,,,,,,Clavariadelphus occidentalis,"Oregon, US",1
568a66bd-ded4-414f-90e1-33c99b62fd5d,98336779,2021-10-10 12:01:42-07:00,2021-10-10,-121.9414518678,45.3381776334,84QW83Q5+,624.0,,8.9,15.6,,7.9,,1022.7,Clavariadelphus occidentalis,"Mt. Hood Park Division Recreation Area, Rhododendron, OR, US",1
0c37ab72-2c1f-4ab0-84d4-cad871fa3275,97697165,2021-10-09 12:45:32-07:00,2021-10-09,-122.1016916667,45.272445,84QV7VCX+,969.0,,5.6,17.8,,2.9,,1023.6,Clavariadelphus occidentalis,"Mt. Hood National Forest, Estacada, OR, US",1
e6acf924-eac4-4f1a-912d-e4b9a9e42ef6,63646015,2020-10-18 16:00:00-07:00,2020-10-18,-121.8777892739,45.3826253097,84QW94MC+,618.0,,12.8,19.4,,8.3,,1020.0,Clavariadelphus occidentalis,"Rhododendron, OR 97049, USA",1
5f0c6666-26b1-46d2-adba-f02d1d783986,60323314,2011-11-10 15:36:00-08:00,2011-11-10,-122.0296352361,44.8339193464,84PVRXMC+,895.0,,,,,,,,Clavariadelphus occidentalis,"Marion County, OR, USA",1
9b7c6094-c1ee-4b02-a545-b3439f35d96c,34476683,2016-11-12 13:04:00-08:00,2016-11-12,-122.1200194444,45.6156555556,84QVJV8H+,367.0,,11.1,16.7,,11.5,,1018.1,Clavariadelphus occidentalis,"Skamania County, WA, USA",1
a0b0923d-c4e2-4d46-9e31-614310a3d503,309702960,2025-08-27 14:20:15-06:00,2025-08-27,-105.801374428,35.7973379417,857PQ5WX+,3166.0,,15.0,26.0,1.6,10.3,,1026.5,Clavariadelphus occidentalis,"Ski Santa Fe, New Mexico 87506, USA",1
ea444158-e03e-4a86-890b-ea891a919ffe,134777357,2022-08-18 16:52:00-06:00,2022-08-18,-107.9045567997,37.811638,859JR36W+,3123.0,,9.0,23.0,0.6,6.6,,1032.2,Clavariadelphus occidentalis,"San Miguel County, CO, USA",2
3d1089b5-0c83-427c-95ef-3708ec91734a,134587121,2022-08-21 20:22:34-06:00,2022-08-21,-107.8692805556,37.8142388889,859JR47J+,3066.0,,9.0,17.0,1.7,4.5,,1031.4,Clavariadelphus occidentalis,"Ophir, CO 81426, USA",1
2a268020-2420-4cf8-8608-e81fd884fe6d,134391298,2022-08-18 14:56:00-06:00,2022-08-18,-107.9394269997,37.7997368997,859JQ3X6+,3100.0,,9.0,23.0,0.6,6.6,,1032.2,Clavariadelphus occidentalis,"Dolores County, CO, USA",2
cc668b00-9a15-4ef9-822c-b01910d61398,134388434,2022-08-18 14:35:00-06:00,2022-08-18,-107.9394733997,37.7986490997,859JQ3X6+,3100.0,,9.0,23.0,0.6,6.6,,1032.2,Clavariadelphus occidentalis,"Dolores County, CO, USA",2
22a7aa9f-f417-493a-be0c-0ba9f8901216,134304193,2022-08-20 11:14:20-06:00,2022-08-20,-107.8810944444,37.8325138889,859JR4M9+,2982.0,,10.0,17.0,13.8,5.1,,1029.5,Clavariadelphus occidentalis,"Ophir, CO 81426, USA",1
