uuid,inat_id,timestamp,date,lon,lat,elevation,tavg,tmin,tmax,precipitation,windspeed,winddirection,presure,species,location,num_identification_agreements,olc
ab3a03b8-e05c-421b-ac2a-ab6a8ca9133e,370650672,2026-06-04 14:11:29-06:00,2026-06-04,-107.883645,39.0926221667,3100.0,,12.0,33.2,0.0,5.8,,,Clitocybe albirhiza,"Collbran, CO, US",1,
5e7c8e77-6233-40e4-bc5c-91d00f69823a,367234542,2026-05-31 13:28:05-06:00,2026-05-31,-107.1325486102,38.8337863075,3230.0,,0.6,21.7,0.0,5.2,,,Clitocybe albirhiza,"Gunnison County, US-CO, US",1,
14e23aa8-c3f2-4b22-84ed-86ff97a5b861,366784855,2026-05-30 09:10:30-06:00,2026-05-30,-105.6490783333,39.899155,2852.0,,-3.0,3.0,2.1,13.0,,,Clitocybe albirhiza,"South Boulder Creek Trail, Black Hawk, CO, US",1,
b7d227b6-63c8-40a8-a146-78059f8a513e,315387437,2025-09-12 15:24:35-06:00,2025-09-12,-106.726389192,35.8825001103,2339.0,,13.0,25.0,0.0,9.5,,1025.8,Clitocybe albirhiza,"Jemez Springs, NM 87025, USA",1,
73b22ad4-6b1a-4894-b0e0-ed225e053ba3,310375819,2025-08-30 13:35:34-06:00,2025-08-30,-107.9877916667,39.0422583333,3135.0,,13.0,31.0,0.0,8.5,,1024.1,Clitocybe albirhiza,"Cedaredge, CO 81413, USA",1,
f7a83727-2080-4f6d-8b4a-2b9848b85fb4,290010530,2025-06-15 12:04:19-06:00,2025-06-15,-105.2045285978,39.5235900267,2172.0,,15.0,32.8,0.0,13.8,,1012.9,Clitocybe albirhiza,"Colorado, US",1,
fff6f861-6105-4f47-b454-4cfa7e491a06,288378370,2025-06-09 16:14:20-06:00,2025-06-09,-106.0748805556,39.49845,3043.0,,5.0,16.0,0.6,10.6,,1034.7,Clitocybe albirhiza,"Blue River, CO 80424, USA",1,
b761a386-b618-408a-a2e3-585e6d9009ac,288045067,2025-06-08 12:22:24-06:00,2025-06-08,-110.8003933718,40.6686816532,3141.0,,,,,,,,Clitocybe albirhiza,"Utah, US",1,
9552bc00-b4b0-4ce2-91f5-d0855741a2dc,283786244,2025-05-24 14:23:23-06:00,2025-05-24,-107.046938218,38.8151193106,3049.0,,-2.2,23.9,0.0,8.9,,1014.1,Clitocybe albirhiza,"Gunnison County, US-CO, US",2,
53c0d8e4-bc51-49d6-9911-d6676b3081a1,281874631,2025-05-17 10:22:00-06:00,2025-05-17,-107.2981850256,39.1165877356,2821.0,,0.0,11.0,0.0,11.8,,1008.6,Clitocybe albirhiza,"Gunnison County, CO, USA",1,
fe675866-528d-472f-9429-aef263d4d2a7,240550857,2024-09-06 10:52:13-06:00,2024-09-06,-105.22428,36.53398,2488.0,,3.9,20.9,0.0,2.9,,1036.8,Clitocybe albirhiza,"Cimarron Canyon State Park, Ute Park, NM, US",1,
469fdbdd-e7d1-459e-b792-38af3d54f464,233841624,2024-08-04 11:45:16-06:00,2024-08-04,-105.7940417908,35.8002255975,3378.0,,16.1,33.9,,12.4,,1012.9,Clitocybe albirhiza,"Santa Fe National Forest, Tererro, NM, US",1,
6a142f35-c4ca-4120-9736-5efd31f74962,227093771,2024-06-27 11:39:29-06:00,2024-06-27,-110.8006032021,40.6775147083,3072.0,,,,,,,,Clitocybe albirhiza,"Utah, US",2,
e081121f-bd2e-4dac-a56f-1c8e11d15113,227024571,2024-07-03 14:02:26-06:00,2024-07-03,-105.586975,40.0835445,3235.0,,2.9,22.8,0.2,8.6,,1025.7,Clitocybe albirhiza,"Ward, CO, US",1,
20da73ce-9b13-4e37-9f9d-3a2e2c364bc4,226351403,2024-06-30 14:05:52-06:00,2024-06-30,-105.6768035866,39.7923525118,3226.0,,1.9,13.9,5.3,10.9,,1022.9,Clitocybe albirhiza,"Colorado, US",1,
e2144e51-a545-4568-866a-22b1d066c8e4,223085117,2024-06-15 17:57:37-06:00,2024-06-15,-106.245017,38.3907341997,3340.0,,2.0,15.0,0.0,33.7,,1035.3,Clitocybe albirhiza,"Villa Grove, CO 81155, USA",1,
4050c86b-e5eb-439c-8575-d6d386391982,223028376,2024-06-15 16:13:57-06:00,2024-06-15,-105.6928611079,39.9158370994,3510.0,,-0.5,10.3,1.3,13.7,,1015.4,Clitocybe albirhiza,"Colorado, US",1,
d05d47c0-749d-4e96-831b-337d90aaf54b,221412490,2024-06-08 09:42:00-06:00,2024-06-08,-106.9601351023,40.8052348549,2475.0,,9.0,25.3,2.0,8.2,,1020.2,Clitocybe albirhiza,"Routt County, CO, USA",1,
8b09eb17-bbff-4d4a-969e-efa77e7995ac,167268396,2023-06-12,2023-06-12,-105.0818333333,39.3631777778,2381.0,,9.4,16.1,,14.0,,1014.6,Clitocybe albirhiza,"Douglas, Colorado, United States",2,
1b1bee95-5613-4ccb-aa38-33c8e60ca8c9,137608416,2022-09-11 13:44:56-06:00,2022-09-11,-105.59922,39.65657,3246.0,,-0.3,12.6,0.0,9.0,,1023.6,Clitocybe albirhiza,"Echo Lake Park, Idaho Springs, CO, US",1,
73760d2c-c80d-4111-9a6a-a7129f83e3d5,121684948,2022-06-13 15:43:00-06:00,2022-06-13,-106.6207899997,40.3893832997,2893.0,,8.3,27.5,0.0,14.1,,1011.0,Clitocybe albirhiza,"Kremmling, CO 80459, USA",1,
517f853e-d34e-40b9-b80a-d2a13cc61ae6,65244504,2019-05-16,2019-05-16,-121.4296,45.2152,815.0,,12.2,18.3,,13.9,,1001.4,Clitocybe albirhiza,"Rock Creek OHV Riding Area, Barlow Ranger District, Mount Hood National Forest, Wasco Co., Oregon, USA",2,
cebc6acf-07e5-4615-9427-202d8dc12e68,65239577,2015-03-26,2015-03-26,-121.678,45.4784,1035.0,,7.8,23.3,0.0,1.2,,1024.1,Clitocybe albirhiza,"Mount Hood National Forest, Hood River Co., Oregon, USA",1,
7cc8f028-a02d-4c14-a878-8aa0d6790ad6,65238176,2014-03-24,2014-03-24,-121.5618,45.3951,1175.0,,0.0,18.9,0.0,6.5,,1020.8,Clitocybe albirhiza,"NF Road 44 -- aka Dufur Valley Rd., Barlow Ranger District and Hood River Ranger District, Mount Hood National Forest, Hood River Co., Oregon, USA",1,
f057ec2a-1594-4b25-8453-a83741d842cd,65236547,2013-06-01,2013-06-01,-121.5405,45.38065,1565.0,,9.4,26.7,0.0,13.9,,1019.1,Clitocybe albirhiza,"NF Road 4410 aka Lookout Mountain Rd., Hood River Ranger District and Barlow Ranger District, Mount Hood National Forest, Hood River Co., Oregon, USA",1,
05846be4-fb80-4ec4-9c40-be5d7658421e,47422441,2020-05-21 14:46:06-07:00,2020-05-21,-121.4650487299,45.3921081446,1276.0,,9.4,16.7,,28.6,,1015.9,Clitocybe albirhiza,"Mt. Hood National Forest, Dufur, OR, US",1,
4462f9e6-4ef5-404d-92ff-294222523bcf,358626879,2026-05-04 19:43:56-07:00,2026-05-04,-121.7554056714,44.5929255082,1537.0,,6.0,28.0,0.0,7.2,,,Clitocybe albirhiza,"Oregon, US",1,84PWH6VV+
755b52e9-98ae-4078-aff7-595967dec13e,158484149,2023-04-29 12:30:08-07:00,2023-04-29,-121.6446833333,44.5295450039,1009.0,,9.8,28.6,0.0,10.0,,1016.2,Clitocybe albirhiza,"Deschutes National Forest, Camp Sherman, OR, US",1,84PWG9H4+
e1285ed8-f5a4-4f40-8322-9995a8f6aa25,116869428,2022-05-04,2022-05-04,-121.5608684266,44.5655094378,1268.0,,1.0,26.0,0.0,8.0,,1016.2,Clitocybe albirhiza,"Oregon, US",1,84PWHC8Q+
e335267b-5b5a-4b54-b834-362621964335,279347331,2025-05-07 14:01:34-07:00,2025-05-07,-121.6857653906,44.4612419438,943.0,,3.0,25.0,0.0,12.2,,1016.2,Clitocybe albirhiza,"Oregon, US",1,84PWF867+
a866f78d-6feb-434c-bec8-4b906be2add3,216255111,2024-05-05 13:25:50-07:00,2024-05-05,-121.71028,44.4346,993.0,,1.0,11.0,2.2,29.5,,1007.8,Clitocybe albirhiza,"Deschutes National Forest, Camp Sherman, OR, US",1,84PWC7MQ+
2808c1bb-0e5d-49f7-89c2-f788e1c0b41d,213867269,2024-05-05 15:21:19-07:00,2024-05-05,-121.70268,44.4509716667,975.0,,1.0,11.0,2.2,29.5,,1007.8,Clitocybe albirhiza,"Deschutes National Forest, Camp Sherman, OR, US",1,84PWF72W+
