uuid,inat_id,timestamp,date,lon,lat,elevation,tavg,tmin,tmax,precipitation,windspeed,winddirection,presure,species,location,num_identification_agreements,olc
ae6d096f-025d-452d-8a62-7690b345f0d0,315323481,2025-09-16 12:54:58-06:00,2025-09-16,-105.7046283333,35.7884,2609.0,,11.0,28.0,0.1,10.4,,1025.9,Clitocybe fragrans,"Holy Ghost Trail, Tererro, NM, US",1,
ac4da6cc-ca12-4043-95f9-4fbb3d0b2213,310329149,2025-08-30 10:56:35-06:00,2025-08-30,-104.9056792259,38.728135548,2711.0,,11.3,19.3,2.1,11.1,,1019.1,Clitocybe fragrans,"Rock Creek, Colorado Springs, CO, USA",1,
ebbb1124-794a-44e9-91ff-8ee2123a97c7,240471950,2024-09-07 10:52:39-06:00,2024-09-07,-105.1764317028,39.2727727565,2360.0,,1.8,16.3,1.4,8.9,,1022.6,Clitocybe fragrans,"Colorado, US",1,
dbf621bf-de66-4f83-bf79-6c555b4c5834,236400497,2024-08-17 12:50:54-06:00,2024-08-17,-107.8548583333,37.8838833333,3338.0,,12.0,23.0,4.9,9.4,,1034.5,Clitocybe fragrans,"Grand Mesa Uncompahgre and Gunnison National Forests, Ophir, CO, US",1,
26bb0af1-2834-433a-9e09-d189a516b5a4,64790996,2020-10-23 14:13:09-07:00,2020-10-23,-121.8510225061,45.3789510078,751.0,,5.6,14.4,,11.4,,1018.6,Clitocybe fragrans,"Oregon, US",2,
07b51e2a-e523-4537-91ce-31bb70be85b2,35221154,2019-11-02 12:49:23-07:00,2019-11-02,-122.2872978811,45.3265781754,228.0,,7.8,15.6,0.0,22.1,,1024.0,Clitocybe fragrans,"Eagle Fern Park, Eagle Creek, OR, US",1,
5b302b3a-fb11-4c56-838f-95f4cc8005a1,17021149,2018-09-27,2018-09-27,-121.9395,45.29935,484.0,,10.0,28.3,0.0,3.1,,1014.3,Clitocybe fragrans,"Salmon River Trail, Zigzag Ranger District, Mount Hood National Forest, Clackamas Co., Oregon, USA",1,
fea64eea-f642-48e1-a9c9-8fa2c8f9b1f7,335156090,2026-01-17 15:16:14-08:00,2026-01-17,-122.5617133333,45.7313383333,118.0,,-2.0,10.0,0.0,6.1,,1026.0,Clitocybe fragrans,"NE 149th St, Brush Prairie, WA, US",1,84QVPCJQ+
6aa2ddc6-97fc-404f-aae5-3d4ccf6827bd,252659332,2024-11-22 15:58:32-08:00,2024-11-22,-122.3700916667,45.6204611111,55.0,,7.8,15.0,,20.3,,1004.3,Clitocybe fragrans,"Washougal, WA 98671, USA",1,84QVJJCH+
6cdee63d-4d16-4ba7-895a-34620cfdff00,194748649,2023-12-23 15:07:04-08:00,2023-12-23,-122.6770449802,45.437722301,91.0,,0.0,5.0,0.0,6.1,,1025.8,Clitocybe fragrans,"Forest Highlands, Portland, OR, USA",1,84QVC8QF+
