uuid,inat_id,timestamp,date,lon,lat,elevation,tavg,tmin,tmax,precipitation,windspeed,winddirection,presure,species,location,num_identification_agreements
585a8066-18f4-43b5-9ea3-afdaf9332b4c,372700625,2026-06-06 10:58:41-06:00,2026-06-06,-107.9075616667,37.8297583333,3461.0,,10.0,22.0,0.0,6.0,,,Clitocybe glacialis,"Lizard Head Trail, Telluride, CO, US",1
3e4eca9e-ddbb-4485-8754-f0a74329ed59,370337973,2026-06-06 11:54:00-06:00,2026-06-06,-107.9069055556,37.8302333333,3461.0,,10.0,22.0,0.0,6.0,,,Clitocybe glacialis,"San Miguel County, CO, USA",2
ab3ec4bc-43b7-4bf8-ad39-2e6b5c7b5272,369159860,2026-06-06 14:54:01-06:00,2026-06-06,-106.3106583333,41.3359361111,3200.0,,9.0,31.0,0.1,10.4,,,Clitocybe glacialis,"Centennial, WY 82055, USA",1
2c3cb944-afb7-4fc0-b1ed-5e226db130e2,368743335,2026-06-04 12:47:54-06:00,2026-06-04,-105.5643680022,40.0381198038,3189.0,,12.0,32.0,0.8,4.2,,,Clitocybe glacialis,"Boulder County, US-CO, US",1
70eef124-81ef-47b4-8fb7-9820541ce045,367237447,2026-05-31 12:20:28-06:00,2026-05-31,-107.1123257762,38.8203217033,3580.0,,0.6,21.7,0.0,5.2,,,Clitocybe glacialis,"Gunnison County, US-CO, US",1
812b9acd-89c7-4919-ab94-edc14363990b,366900696,2026-05-30 14:25:03-06:00,2026-05-30,-105.5346908794,40.0798548271,3074.0,,12.0,24.0,2.6,5.3,,,Clitocybe glacialis,"Sourdough Trail, Ward, CO, US",1
bd3608ed-5eca-4646-98b6-8d94772f3bdb,364867092,2026-05-24 10:13:35-06:00,2026-05-24,-107.72642,37.7657033333,3514.0,,4.0,16.0,1.2,4.9,,,Clitocybe glacialis,"San Juan National Forest - Headquarters, Silverton, CO, US",1
c0233d9f-cc60-47cb-9025-b5fff49ab9e4,361526550,2026-05-11 11:15:26-06:00,2026-05-11,-107.7673866667,37.7572666667,3197.0,,3.0,20.0,0.0,5.8,,,Clitocybe glacialis,"San Juan National Forest - Headquarters, Silverton, CO, US",1
02887616-0097-4249-bad8-488b0804e2f5,356858557,2026-04-25 14:56:24-06:00,2026-04-25,-106.6138937,40.5784520997,2721.0,,0.6,13.2,1.8,4.4,,,Clitocybe glacialis,"Walden, CO 80430, USA",1
c823f8bf-15f7-4cfb-afe1-c80fb5c1691f,311838445,2025-09-05 18:07:15-06:00,2025-09-05,-104.9904132335,38.7791054581,3628.0,,7.0,17.0,1.6,14.9,,1023.0,Clitocybe glacialis,"Colorado, US",1
91f1c44e-5361-4b2a-9999-f0d82c6705b4,307670815,2025-06-07,2025-06-07,-106.9878231,38.8697146,2722.0,,2.8,22.2,0.0,10.3,,1020.6,Clitocybe glacialis,"Crested Butte, CO 81224, USA",1
e2096998-5c57-49b7-ab96-2e1f080929cb,307668463,2025-05-26,2025-05-26,-107.8111733,39.0647029,3194.0,,8.8,26.2,0.0,7.6,,1017.3,Clitocybe glacialis,"Grand Mesa National Forest, Colorado 81413, USA",1
e0fbbd13-ae21-4d97-bf1c-932cc0d2696e,296607375,2025-06-15 15:57:17-06:00,2025-06-15,-106.1090026037,39.5696117113,3168.0,,0.3,17.3,0.0,11.5,,1017.4,Clitocybe glacialis,"Mount Royal Trail, Silverthorne, CO, US",1
fd22b9e8-00ed-495d-82d3-ec315a0e2af9,291957708,2025-06-22 13:50:23-06:00,2025-06-22,-107.161339662,38.852832478,2795.0,,5.0,25.0,0.0,12.5,,1009.2,Clitocybe glacialis,"Gunnison County, US-CO, US",1
c34e5449-3bdf-4ac9-9bca-3c7be2bbcf70,290411682,2025-06-16 15:20:48-06:00,2025-06-16,-110.8263660315,40.6129506842,3212.0,,,,,,,,Clitocybe glacialis,"Utah, US",2
a73336d3-cc3e-41df-9690-3fe713a45ff7,289685170,2025-06-14 14:59:12-06:00,2025-06-14,-105.6927716667,39.8181283333,3366.0,,0.0,13.3,0.3,12.3,,1017.6,Clitocybe glacialis,"Idaho Springs, CO, US",1
754caeb0-e136-4309-9c5e-bed80d2af10c,288335442,2025-06-08 08:22:38-06:00,2025-06-08,-105.7499383333,35.833805,3565.0,,11.7,32.8,0.0,16.0,,1009.2,Clitocybe glacialis,"Sky Line Trail, Tererro, NM, US",1
8245b269-ec3c-4d9e-a777-d413f67961d1,288036267,2025-06-08 16:31:14-06:00,2025-06-08,-107.7113116667,37.727755,3275.0,,6.0,20.0,0.6,10.0,,1028.4,Clitocybe glacialis,"San Juan National Forest - Headquarters, Durango, CO, US",1
6c758690-7b54-4ff1-84ad-e644c26009da,287890411,2025-06-07 14:29:54-06:00,2025-06-07,-106.3959861111,38.8064083333,3425.0,,6.0,21.0,1.2,6.9,,1017.2,Clitocybe glacialis,"Buena Vista, CO 81211, USA",1
3a94af81-8f6f-4f4e-ae07-1f35ac3eecef,287500857,2025-06-06 19:53:41-06:00,2025-06-06,-106.3916305556,38.807325,3388.0,,5.0,15.0,3.5,6.2,,1016.9,Clitocybe glacialis,"Buena Vista, CO 81211, USA",1
94b4eea0-0063-4568-aef4-741b219b096a,287243027,2025-06-05 13:38:25-06:00,2025-06-05,-105.7733815031,39.9625085122,2625.0,,5.5,14.6,0.4,7.5,,1023.8,Clitocybe glacialis,"Colorado, US",1
1935f378-fb81-44d2-9c40-9f1178d9d34a,284467714,2025-05-26 18:06:42-06:00,2025-05-26,-105.639583142,39.9902822042,3256.0,,-6.2,3.5,1.9,8.1,,1017.6,Clitocybe glacialis,"Colorado, US",1
81f1d4cb-b659-4405-9889-28f6566617cf,284467652,2025-05-26 18:03:58-06:00,2025-05-26,-105.7559330394,39.8280126172,3105.0,,-6.2,3.5,1.9,8.1,,1017.6,Clitocybe glacialis,"Colorado, US",1
ddb17c5e-ecfb-424a-8409-7a6ac2f61cb2,225381633,2024-06-25 12:12:38-06:00,2024-06-25,-107.191727017,38.9568188368,2418.0,,8.3,28.9,0.0,9.0,,1014.5,Clitocybe glacialis,"Gunnison County, US-CO, US",1
31463fc8-af64-4d9d-a4bf-68efb7baf032,225209179,2024-06-25 10:34:57-06:00,2024-06-25,-107.3262849722,40.1264859722,3144.0,,11.7,28.3,,15.9,,1015.8,Clitocybe glacialis,"Meeker, CO 81641, USA",1
9f0437ce-e887-4990-aa49-50cada5603ec,225172614,2024-06-24 12:51:00-06:00,2024-06-24,-108.08858642,39.04420098,3010.0,,17.1,32.6,0.0,10.5,,1011.9,Clitocybe glacialis,"Mesa County, CO, USA",1
583fa84d-8b93-4a57-99ea-5738cc71f776,224800070,2024-06-15,2024-06-15,-107.53808029,39.811472365,2918.0,,10.0,32.8,0.0,11.4,,1010.4,Clitocybe glacialis,"Meeker, CO 81641, USA",2
b88392ab-5ab8-478b-a7aa-5ac658460970,224527975,2024-06-22 11:01:44-06:00,2024-06-22,-106.6168472222,39.4597638889,3540.0,,7.8,27.2,0.0,8.0,,1017.4,Clitocybe glacialis,"Eagle, CO 81631, USA",1
50a05a1d-08f1-4f50-9182-8effa7f48152,224315753,2024-06-21 10:17:54-06:00,2024-06-21,-107.0464498733,38.919924735,2976.0,,10.0,19.4,,10.7,,1016.2,Clitocybe glacialis,"Gunnison County, US-CO, US",1
7a47382e-35b6-4e37-9dd0-092d5267d075,223905826,2024-06-19 13:23:34-06:00,2024-06-19,-105.6015166667,40.0704972222,3242.0,,4.0,21.1,2.6,9.5,,1024.2,Clitocybe glacialis,"Ward, CO 80481, USA",1
1e34b02d-9d7e-4aec-8962-46d9ec3a4318,223863102,2024-06-19 13:07:40-06:00,2024-06-19,-105.55825,40.1569833333,3094.0,,10.0,23.0,11.2,7.0,,1022.5,Clitocybe glacialis,"Rock Creek Trail, Ward, CO, US",1
27e62394-4909-48c2-9a03-08566b7fb847,223266468,2024-06-16 10:46:52-06:00,2024-06-16,-106.6981716667,40.3839533333,2845.0,,5.7,27.2,0.0,4.5,,1013.0,Clitocybe glacialis,"US-40, Steamboat Springs, CO, US",1
94a63b51-d253-4210-aafe-4f2a4add9dc2,223155892,2024-06-15 15:48:04-06:00,2024-06-15,-105.6805583333,40.7889716667,3059.0,,12.3,24.9,0.2,22.6,,1008.9,Clitocybe glacialis,"Red Feather Lakes, CO, US",1
65bcdabd-2721-4648-8293-b0304291dad6,222993598,2024-06-15 18:24:13-06:00,2024-06-15,-107.9973216667,39.0066527833,2959.0,,13.1,32.8,0.0,12.1,,1008.2,Clitocybe glacialis,"Grand Mesa Uncompahgre and Gunnison National Forests, Cedaredge, CO, US",1
039df9ab-e6bc-4aee-be65-7381f8faedcd,222544184,2024-06-13 11:40:20-06:00,2024-06-13,-106.936255,41.1396721667,2698.0,,13.0,31.0,0.0,13.7,,1023.1,Clitocybe glacialis,"Green Mountain Falls Trail, Encampment, WY, US",1
49d49e23-6f92-4d63-9f19-b18b6200e416,222121968,2024-06-06 11:34:04-06:00,2024-06-06,-105.5664666667,40.0402555,3215.0,,13.0,31.0,0.0,5.2,,1019.8,Clitocybe glacialis,"Nederland, CO, US",2
582964d5-dbf5-42df-b2e9-cdbdd45ff362,221755541,2024-06-09 16:20:49-06:00,2024-06-09,-105.6571309359,39.9223070954,3270.0,,-2.3,10.2,2.3,8.8,,1017.9,Clitocybe glacialis,"Colorado, US",1
5eb37e25-54f5-4565-8160-4d07074f94c3,221754536,2024-06-07 19:12:31-06:00,2024-06-07,-105.6073023473,39.8782460905,3067.0,,-2.4,12.2,0.0,13.9,,1015.8,Clitocybe glacialis,"Colorado, US",1
b06a004e-cdda-4b0d-8e2f-f4be3316c53a,219780792,2024-05-30 16:25:55-06:00,2024-05-30,-107.063534,38.8583349722,2995.0,,0.0,22.8,0.0,9.5,,1015.9,Clitocybe glacialis,"Crested Butte, CO 81224, USA",1
8e0c5fe6-5ed5-4b0c-8436-cbdd0807b0da,218816420,2024-05-27 17:30:00-06:00,2024-05-27,-105.7306461616,39.9550294657,2945.0,,-5.2,4.9,0.0,12.0,,1021.7,Clitocybe glacialis,"Colorado, US",1
4e71de13-f7c2-4c59-a724-2f28d5f58e6d,218576208,2024-05-24 16:08:02-06:00,2024-05-24,-105.5295371889,39.9945954718,2641.0,,4.0,23.0,0.0,8.5,,1012.1,Clitocybe glacialis,"Colorado, US",1
4892bf5c-3c9d-4e07-80c4-0aabda670996,201008346,2023-07-07 13:34:00-06:00,2023-07-07,-105.7854233333,39.801825,3589.0,,2.0,13.0,2.9,12.3,,1017.3,Clitocybe glacialis,"Clear Creek County, CO, USA",1
d79739cb-54a8-4b95-9f73-a56d0453f54f,174701561,2023-07-16 13:45:36-06:00,2023-07-16,-107.221192047,39.9327404704,3333.0,,9.4,32.2,0.0,10.4,,1017.1,Clitocybe glacialis,"Garfield County, US-CO, US",1
