uuid,inat_id,timestamp,date,lon,lat,elevation,tavg,tmin,tmax,precipitation,windspeed,winddirection,presure,species,location,num_identification_agreements,olc
521f4b11-1ee2-4a23-b830-63fe5419ff3e,306011600,2025-08-12 16:22:00-06:00,2025-08-12,-107.98040833,37.76799444,2863.0,,10.0,24.0,0.0,6.7,,1031.4,Clitocybe nebularis,"Dolores, Colorado, United States",2,
4096d066-0df9-4743-bce9-337249415bff,234132350,2024-08-05 20:44:20-06:00,2024-08-05,-108.0028158151,39.0172025425,3037.0,,18.6,33.8,0.0,10.2,,1015.0,Clitocybe nebularis,"Grand Mesa Uncompahgre and Gunnison National Forests, Cedaredge, CO, US",2,
4bfadafd-e354-415b-8900-eef329678ca6,178119499,2023-08-12 12:04:04-06:00,2023-08-12,-105.5381,40.0309555,2936.0,,17.0,28.0,0.0,8.5,,1019.7,Clitocybe nebularis,"County Road 116, Ward, CO, US",4,
7b919275-16b2-4f70-944f-55d2b2a167ee,66163981,2020-12-05 13:15:30+00:00,2020-12-05,-122.0342591598,45.2791113806,980.0,,3.9,5.6,,48.4,,1021.3,Clitocybe nebularis,"Oregon, US",1,
2cca4654-9dd9-47b0-8982-764e1d45dc5a,192792758,2023-11-30 11:28:53-08:00,2023-11-30,-122.3059762,45.2110879,405.0,,1.1,3.3,,1.5,,1013.7,Clitocybe nebularis,"Estacada, OR 97023, USA",1,84QV6M6V+
1fc76897-b56e-4d6a-9842-f980c55bf763,66550703,2020-12-12 08:39:21-08:00,2020-12-12,-122.3576883333,45.2988133333,119.0,,1.1,7.8,,22.7,,1020.6,Clitocybe nebularis,"Milo McIver State Park, Estacada, OR, US",1,84QV7JXR+
91a6307d-3a98-473a-8591-21b40ddba2c2,66224877,2020-12-06 16:20:38+00:00,2020-12-06,-122.3037618997,45.2108787,423.0,,5.0,11.1,2.3,4.5,,1031.0,Clitocybe nebularis,"Estacada, OR 97023, USA",1,84QV6M6W+
cccba1d1-d590-488e-9e4e-a5663ebdf649,255229240,2024-12-15 13:02:14-08:00,2024-12-15,-122.56765,45.7321083333,97.0,,5.6,8.9,,6.0,,1021.9,Clitocybe nebularis,"Brush Prairie, WA, US",1,84QVPCJJ+
b23bda3a-8707-4079-8ec4-d790f165a769,254661327,2024-11-29 18:51:54-08:00,2024-11-29,-122.7152124792,45.5162613616,251.0,,4.4,6.1,0.0,5.4,,1025.9,Clitocybe nebularis,"4000 Block SW Fairview (Arboretum), Portland, OR 97205, USA",1,84QVG78M+
5e2ef91a-620d-4ce6-9d82-ea136d6a7dc3,254245505,2024-12-05 12:53:07-08:00,2024-12-05,-122.4412886784,45.6030223058,155.0,,3.9,6.1,0.0,30.3,,1028.2,Clitocybe nebularis,"NW 31st Ave, Camas, WA, US",1,84QVJH35+
35f844c0-621a-4397-bab9-e90c27411e49,253070731,2024-11-24 14:59:11-08:00,2024-11-24,-122.8107083333,45.6014633333,244.0,,6.7,8.3,,8.7,,1011.4,Clitocybe nebularis,"Forest Park Conservancy, Portland, OR, US",1,84QVJ52Q+
20836496-2544-4426-8e28-f7323afe6d8f,252120465,2024-11-17 11:04:18-08:00,2024-11-17,-122.77292,45.5757783333,269.0,,6.1,12.8,,10.2,,1007.8,Clitocybe nebularis,"Forest Park Conservancy, Portland, OR, US",1,84QVH6GG+
d206069f-c897-4f2f-9a86-d0ee38ae7dc5,250872950,2024-11-07 12:36:39-08:00,2024-11-07,-122.4319216667,45.8376216667,160.0,,1.7,16.1,0.0,1.8,,1024.0,Clitocybe nebularis,"Yacolt, WA, US",1,84QVRHQ9+
7c9b3026-12f8-435c-9ec2-3b67271aab88,246953456,2020-12-09 13:27:48-08:00,2020-12-09,-122.5678826842,45.3025558405,133.0,,2.2,11.7,1.3,3.3,,1027.3,Clitocybe nebularis,"Stone Creek Golf Club, Oregon City, OR, US",1,84QV8C3J+
25c1ecb6-579c-45db-a9be-432496484100,193635776,2023-12-10 12:49:13-08:00,2023-12-10,-122.4017716667,45.60048,90.0,,5.6,9.4,,7.5,,1021.6,Clitocybe nebularis,"JJ22+R6 Resting Rock, Camas, WA 98607, USA",2,84QVJH2X+
b15a2280-8b47-44bb-b63d-a29c65f40731,102583957,2021-12-05 14:32:00-08:00,2021-12-05,-122.6918523912,45.4832369962,202.0,,0.6,8.9,0.0,5.0,,1031.9,Clitocybe nebularis,"Oregon, US",1,84QVF8M5+
1f213702-6dfe-4ef0-a316-e1a09d120097,101562912,2021-11-20 12:29:13+00:00,2021-11-20,-122.6805583389,45.4485232663,97.0,,2.2,11.7,0.0,1.8,,1032.7,Clitocybe nebularis,"Tryon Creek State Natural Area, Portland, OR, US",1,84QVC8X9+
98ad3e50-06e4-47dd-8a8b-40cd5eeb3964,99405524,2021-10-25 13:15:12-07:00,2021-10-25,-122.7345111111,45.5406083333,275.0,,11.7,14.4,,15.3,,1000.0,Clitocybe nebularis,"Portland, OR 97210, USA",1,84QVG7R8+
3632b938-a67e-4d23-ab37-730cea0e0831,71987271,2020-12-06 13:26:09+00:00,2020-12-06,-122.7191783333,45.5278966667,242.0,,2.8,7.2,1.3,9.7,,1031.4,Clitocybe nebularis,"Macleay Park, Portland, OR, US",2,84QVG7HJ+
