uuid,inat_id,timestamp,date,lon,lat,elevation,tavg,tmin,tmax,precipitation,windspeed,winddirection,presure,species,location,num_identification_agreements,olc
dea23c3c-1549-4d50-9d7c-c65ca48e9a99,346741691,2025-10-11 11:20:11-06:00,2025-10-11,-104.9432670097,38.9255920485,2815.0,,10.0,22.0,0.8,9.4,,1013.6,Collybia nuda,"Colorado Springs, CO, US",1,
a66eec44-678a-48a7-9914-5db9ac95d8b9,327332156,2025-09-09 07:26:00-06:00,2025-09-09,-103.1161416667,44.0339888889,925.0,,15.0,31.1,0.0,14.4,,1016.0,Collybia nuda,"Green Valley, SD 57703, USA",1,
9cd4d522-3d29-415a-b3b8-f103bd191c10,312600573,2025-09-08 17:10:51-06:00,2025-09-08,-104.8243853111,38.7522813467,1885.0,,13.7,25.1,1.6,12.7,,1020.5,Collybia nuda,"Colorado, US",1,
96e4e7e8-2299-4d22-94ca-f7c166b08e1e,264039829,2024-08-21 09:19:37-06:00,2024-08-21,-104.8656111111,38.7890972222,1932.0,,15.5,29.0,2.2,14.0,,1023.4,Collybia nuda,"2130 S Cheyenne Canyon Rd, Colorado Springs, CO 80906, USA",1,
3be119ff-7004-4ef4-9ce3-fc73b9c8b1d1,242119757,2024-09-15 12:22:27-06:00,2024-09-15,-103.892045,44.398675,1390.0,,10.0,29.0,0.0,17.2,,1014.9,Collybia nuda,"Black Hills National Forest, Spearfish, SD, US",1,
7d61b0f1-757f-478a-ba16-1f71df23707e,237995822,2024-08-25 10:58:23-06:00,2024-08-25,-106.1770039648,38.8710535131,2543.0,,9.0,24.4,4.2,8.6,,1022.5,Collybia nuda,"Colorado, US",1,
b0e13bfa-df21-4dc0-b3aa-5ae8ffac6b3d,237155697,2024-08-21 11:02:55-06:00,2024-08-21,-104.8654633333,38.78972,1924.0,,15.5,29.0,2.2,14.0,,1023.4,Collybia nuda,"Strawberry Hill Trail, Colorado Springs, CO, US",3,
1a870aeb-532b-4cc3-b4bf-71cd4a973282,231325768,2024-07-23 12:53:48-06:00,2024-07-23,-106.6508635779,35.935837989,2554.0,,12.8,26.1,,10.1,,1029.6,Collybia nuda,"Sandoval County, US-NM, US",1,
8630e489-5919-422e-afcf-8a399744021a,189810605,2023-11-02 17:08:42-06:00,2023-11-02,-108.9663874358,42.0964279807,2173.0,,0.0,5.0,1.9,17.9,,1021.5,Collybia nuda,United States,1,
f0ab6312-4cbb-4b08-a09b-4bb435325660,177497386,2023-08-08 13:42:19-06:00,2023-08-08,-103.8445766364,44.0042125529,1863.0,,7.8,21.1,,6.0,,1014.8,Collybia nuda,"Black Hills National Forest, Hill City, SD, US",1,
adb93a6a-1bb9-4a72-99d8-675474a6fb5c,172020056,2023-07-08 09:57:44-06:00,2023-07-08,-105.3599718148,39.4004218933,2254.0,,4.6,19.0,0.7,14.9,,1015.7,Collybia nuda,"Colorado, US",2,
86fffa50-f596-456c-97c8-549850c1097d,145945049,2022-08-30 13:13:00-06:00,2022-08-30,-106.3556583333,39.263125,3024.0,,2.8,22.8,0.0,5.4,,1020.6,Collybia nuda,"Pike and San Isabel National Forests, Leadville, CO, US",1,
3ab67dc2-6153-435a-b6ed-1847a6d4a2db,134118370,2022-08-19 09:44:55-06:00,2022-08-19,-107.8781416667,37.9486638889,2635.0,,10.0,17.0,7.5,3.4,,1030.0,Collybia nuda,"Telluride Mountain School, Colorado 81435, USA",1,
8702d448-d537-4a34-b220-dadad17a86f4,129620359,2022-08-05 11:54:56-06:00,2022-08-05,-106.1410517246,36.5196343149,2489.0,,15.6,28.3,0.0,9.4,,1019.9,Collybia nuda,"Rio Arriba County, US-NM, US",1,
bbf2d77d-4211-4246-8385-e5637edfa155,125859163,2022-07-11 15:59:22-06:00,2022-07-11,-105.3634333333,39.57785,2425.0,,3.6,15.8,2.2,8.3,,1023.2,Collybia nuda,"Arapaho & Roosevelt National Forests Pawnee National Grassland, Evergreen, CO, US",3,
240575a6-2c19-48d0-96cb-4340ffabc161,69792068,2020-08-11 15:25:09-06:00,2020-08-11,-103.7653883333,44.2398133333,1889.0,,17.0,31.0,,16.2,,,Collybia nuda,"Black Hills National Forest, Lead, SD, US",2,
871b72cb-3d60-4a36-9302-d4865bb6bca7,32730881,2019-09-08 13:15:32-06:00,2019-09-08,-103.567415057,44.121114898,1615.0,,10.0,14.4,0.5,14.8,,1016.5,Collybia nuda,"Pennington County, US-SD, US",1,
2e19ff20-c674-4cd9-a203-4e6c9b73e609,30846948,2019-08-14 14:48:51-06:00,2019-08-14,-107.8985595703,37.9418334961,2457.0,,10.0,25.0,,8.5,,,Collybia nuda,"Telluride, CO 81435, USA",4,
085ab0a0-a69a-4140-bbe5-537f7b5ec8b6,3406453,2016-06-04 06:57:03-06:00,2016-06-04,-109.4538879395,40.9080543518,1894.0,,,,,,,,Collybia nuda,"Dutch John, UT 84023",1,
f58077fd-b76b-4ee2-a136-e0aad375c95e,268262195,2025-03-31 13:27:44-07:00,2025-03-31,-121.628355,45.5519116667,443.0,,1.8,10.8,4.4,8.6,,1006.2,Collybia nuda,"Berry Rd, Mount Hood Parkdale, OR, US",1,
2b79d2ed-eb98-482d-8952-8f65f8996451,253573871,2024-11-28 16:13:54-08:00,2024-11-28,-122.3004685366,45.4001688256,218.0,,1.1,6.7,0.0,3.2,,1025.0,Collybia nuda,"Oregon, US",1,
70039fa8-dd8e-4269-bae6-7e38192c1d1c,251707674,2024-11-14 12:55:45-08:00,2024-11-14,-121.9609135,45.3281745,407.0,,8.3,13.9,,10.0,,1014.5,Collybia nuda,"E Elk Park Rd, Welches, OR, US",1,
e8f93e39-c9ac-49c9-a541-b39b5cfb0036,193352506,2023-12-07 08:50:53-08:00,2023-12-07,-122.2732437775,45.4708836845,251.0,,7.8,10.6,,11.7,,1014.8,Collybia nuda,"Corbett, OR 97019, USA",2,
51c68d6d-4450-476b-a52e-2f4b7dfa2f45,191317687,2023-11-17 16:04:14-08:00,2023-11-17,-121.2556250766,45.6655168424,212.0,,5.0,7.2,0.0,9.2,,1022.0,Collybia nuda,"Rowena, OR 97058, USA",1,
279ae747-8fca-4a5d-a5b8-8fcb164d08d1,34754042,2019-10-22 14:06:17-07:00,2019-10-22,-122.19838667,45.56865,41.0,,7.8,17.8,,7.3,,1027.8,Collybia nuda,"Washougal, WA, US",2,
07855757-5180-4c8e-8aca-083d1952fdb8,252335353,2024-11-18 11:11:02-08:00,2024-11-18,-122.302874811,45.2110528043,423.0,,3.5,6.7,,16.0,,1015.8,Collybia nuda,"Estacada, OR 97023, USA",1,84QV6M6W+
65608d39-114d-42f4-85b1-60cb9a8c1a95,205800642,2024-04-06 10:44:51-07:00,2024-04-06,-121.189353038,44.6957388646,721.0,,-1.0,8.0,0.5,13.5,,1019.0,Collybia nuda,"Oregon, US",2,84PWMRW6+
d4d7ab70-d44e-4db9-89e9-2e8e8170298d,191323057,2023-11-17 15:53:02-08:00,2023-11-17,-122.305496,45.2109409722,405.0,,2.2,13.3,0.0,4.6,,1016.2,Collybia nuda,"Estacada, OR 97023, USA",1,84QV6M6V+
ee4fc005-87ad-4447-9e59-f653b17f72f3,66550660,2020-12-12 09:35:42-08:00,2020-12-12,-122.3572783333,45.2998116667,119.0,,1.1,7.8,,22.7,,1020.6,Collybia nuda,"Milo McIver State Park, Estacada, OR, US",1,84QV7JXV+
786c401c-7a66-4c5a-8fd8-a0acc0292e30,19059853,2018-12-16 15:24:25-08:00,2018-12-16,-122.5203383333,45.3647116667,163.0,,6.7,10.0,,30.1,,1008.3,Collybia nuda,"16665 S Bradley Rd, Oregon City, OR, US",1,84QV9F7H+
dd7cbfbd-d89c-4028-9774-0d81a1a03208,18044735,2018-11-02 17:45:59-07:00,2018-11-02,-122.38241003,45.42635263,148.0,,12.2,18.3,,11.7,,1023.3,Collybia nuda,"27210 SE Hwy 212, Boring, OR 97009, USA",1,84QVCJG9+
