uuid,inat_id,timestamp,date,lon,lat,olc,elevation,tavg,tmin,tmax,precipitation,windspeed,winddirection,presure,species,location,num_identification_agreements
e2946ea8-be50-4318-980c-7dc6dcac6ee3,136662422,2022-09-26 17:20:47-07:00,2022-09-26,-121.6234719187,45.3200847306,84QW89CG+,1337.0,,12.9,30.0,0.0,4.7,,1015.7,Collybia tuberosa,"Hood River County, US-OR, US",1
ab6f35a8-efb6-4c75-910e-1546879e7833,65239412,2014-10-17,2014-10-17,-121.747,45.148,84QW47X3+,997.0,,,,,,,,Collybia tuberosa,"Little Crater Lake, Zigzag Ranger District, Mount Hood National Forest, Clackamas Co., Oregon, USA",1
54d30393-7e2c-4e20-888d-5d0b74b73070,63495563,2020-10-24 14:32:00-07:00,2020-10-24,-121.9214970581,45.3532914668,84QW933H+,810.0,,6.7,14.4,,17.2,,1020.2,Collybia tuberosa,"Oregon, US",1
4f9fadf9-ad12-4591-96f2-5cb3d68a2156,63460679,2020-10-24 14:29:07-07:00,2020-10-24,-121.8870488053,45.3008273788,84QW8427+,717.0,,6.7,14.4,,17.2,,1020.2,Collybia tuberosa,"Oregon, US",1
b1fe5380-8f19-4f0f-b92d-fecd6f920eb6,63402056,2020-10-24 09:46:08-07:00,2020-10-24,-121.8940457771,45.2062078344,84QW6444+,1119.0,,,,,,,,Collybia tuberosa,"Oregon, US",4
e662a290-a264-406d-83a8-0fa81423b02a,35554952,2019-11-10 12:47:51+00:00,2019-11-10,-121.8751144409,45.2995681763,84QW74XF+,652.0,,10.6,13.9,1.1,3.3,,1024.6,Collybia tuberosa,"Zigzag, OR 97049, USA",1
04977c72-81fa-431a-9cad-7e79452a541a,313707010,2025-09-13 13:29:00-06:00,2025-09-13,-105.80173611,35.79775556,857PQ5XX+,3166.0,,9.0,19.0,9.1,9.6,,1021.8,Collybia tuberosa,"Santa Fe, New Mexico, United States",1
c5c094ae-1a1f-408d-8d24-07af17c020ac,310318018,2025-08-30 13:33:38-06:00,2025-08-30,-107.9879207,39.0420441997,85FJ22R6+,3135.0,,13.0,31.0,0.0,8.5,,1024.1,Collybia tuberosa,"Cedaredge, CO 81413, USA",1
4b11af93-0893-44fb-97d3-17b0236c0c17,309507695,2025-08-25 18:21:21-06:00,2025-08-25,-107.6162866667,39.1028555,85FJ493M+,2932.0,,8.0,16.0,9.5,7.9,,1020.3,Collybia tuberosa,"Paonia, CO, US",2
4b47f1e1-d0c7-492f-a095-0e53f91142e3,235618376,2024-08-13 15:59:12-06:00,2024-08-13,-105.2729806304,39.541968159,85FPGPRG+,2449.0,,16.7,28.3,,10.9,,1013.8,Collybia tuberosa,"S Turkey Creek Rd, Morrison, CO, US",2
90c97d2f-e891-4dd8-9746-bb9962e7b6b5,235426885,2024-08-12 12:05:02-06:00,2024-08-12,-106.72162608,37.47265345,859MF7FH+,3110.0,,5.0,13.0,4.0,11.7,,1039.4,Collybia tuberosa,"Mineral County, CO, USA",1
97decba5-9537-4645-969a-0279bd4a70c4,235268545,2024-08-11 20:31:41-06:00,2024-08-11,-108.0086223709,39.0154490126,85FH2X8R+,3097.0,,16.6,30.7,1.2,10.6,,1016.3,Collybia tuberosa,"Grand Mesa Uncompahgre and Gunnison National Forests, Cedaredge, CO, US",1
94f08038-1b4b-45e8-95ec-745228c8e7aa,131492593,2022-08-19 10:21:08-06:00,2022-08-19,-107.825692047,37.8547462046,859JV53F+,2981.0,,10.0,17.0,7.5,3.4,,1030.0,Collybia tuberosa,"San Miguel County, US-CO, US",1
caa6d061-0c94-464e-9a89-8de685d769b5,322704966,2025-10-22 11:42:37-07:00,2025-10-22,-121.7391144483,45.8589400139,84QWV756+,848.0,,2.0,17.0,0.0,1.5,,1017.7,Collybia tuberosa,"Washington, US",1
6bda5207-c885-44cd-a461-9c81dd45ba4d,185847794,2023-09-30 12:27:00-07:00,2023-09-30,-122.0899082846,44.4136304492,84PVCW76+,1349.0,,,,,,,,Collybia tuberosa,"Linn County, OR, USA",2
0471ce64-5c5e-4f56-bb34-c8c72588d762,58814724,2020-08-23 17:14:43-07:00,2020-08-23,-121.8307517096,46.0026544705,84RW2539+,1318.0,,,,,,,,Collybia tuberosa,"Skamania County, WA, USA",1
66203f25-1f3f-45a8-b947-5321957d6d69,37087824,2019-10-27 12:35:00-10:00,2019-10-27,-121.8932781072,45.8235930732,84QWR4F4+,438.0,,2.2,15.0,,5.8,,1029.3,Collybia tuberosa,"Skamania County, US-WA, US",1
