uuid,inat_id,timestamp,date,lon,lat,elevation,tavg,tmin,tmax,precipitation,windspeed,winddirection,presure,species,location,num_identification_agreements,olc
e6c32f31-7dee-4528-873c-6af662a8ffce,235021851,2024-08-10 18:00:36-06:00,2024-08-10,-106.5723716667,35.7743633333,2625.0,,15.5,22.0,,6.4,,1029.9,Coltricia perennis,"Santa Fe National Forest, Jemez Springs, NM, US",1,
13cdd223-5970-4e26-bdee-e358b3e8e5ea,55003999,2020-07-30 11:59:49-06:00,2020-07-30,-105.8078405634,39.4836822654,3036.0,,,,,,,,Coltricia perennis,"Montezuma, CO 80435, USA",1,
a6e471ce-390f-409b-a13a-8f290afaa503,300230160,2025-07-19 11:26:00-07:00,2025-07-19,-121.735744516,45.4069873212,1651.0,,15.0,27.0,0.0,6.3,,1016.0,Coltricia perennis,"Mt. Hood Park Division Recreation Area, Mount Hood Parkdale, OR, US",1,
ef709669-afed-4de0-a825-dbd183f0381c,295018866,2025-07-03 12:10:40-07:00,2025-07-03,-121.8139633333,45.482795,995.0,,14.0,26.0,0.0,5.8,,1013.6,Coltricia perennis,"Lost Lake Rd, Mount Hood Parkdale, OR, US",1,
3829de9b-b1e7-45e9-a3d4-35e38d134af9,250901558,2024-11-07 16:05:05-08:00,2024-11-07,-122.2836319,45.4927302997,105.0,,10.0,15.6,0.0,33.7,,1023.3,Coltricia perennis,"Gresham, OR 97080, USA",1,
b440c3b4-90a0-45a8-b845-6a888a585fd6,247410524,2024-09-28 18:53:00-07:00,2024-09-28,-122.053123241,45.7309303987,849.0,,11.7,23.9,0.0,5.1,,1012.4,Coltricia perennis,"Skamania County, WA, USA",1,
316005d6-7a22-4379-b398-84f32903ab99,185108717,2023-09-18 15:10:00-07:00,2023-09-18,-121.7649327364,45.3665433746,1364.0,,12.9,21.4,0.0,14.4,,1015.9,Coltricia perennis,"Clackamas County, OR, USA",1,
0a717ccb-f258-47bd-ac1e-9d7dd91972dc,184788537,2023-09-23 17:08:30-07:00,2023-09-23,-121.793125011,45.5782271829,1212.0,,10.9,19.3,0.4,9.2,,1014.9,Coltricia perennis,"Cascade Locks, OR 97014, USA",1,
f655a7ea-3fc3-4621-af26-3f7f6bc5c37e,139204871,2021-06-17 18:13:00-07:00,2021-06-17,-121.84924,45.3090323333,742.0,,,,,,,,Coltricia perennis,"Clackamas, Oregon, United States",1,
494506b4-36c8-4841-99e9-ceae24422a97,97868205,2021-10-06 15:51:00-07:00,2021-10-06,-121.5835516667,45.26781,1611.0,,,,,,,,Coltricia perennis,"Hood River, Oregon, United States",1,
9d7f4076-8731-44a7-9a60-fb35f80000b6,83892409,2021-06-19 15:00:39-07:00,2021-06-19,-121.8193664551,45.38879776,805.0,,12.8,27.8,0.0,5.1,,1017.6,Coltricia perennis,"Clackamas County, US-OR, US",1,
