uuid,inat_id,timestamp,date,lon,lat,elevation,tavg,tmin,tmax,precipitation,windspeed,winddirection,presure,species,location,num_identification_agreements,olc
ae9b408a-6b36-40b8-a3b0-5e9cfa493fc4,393083644,2026-08-20 18:59:00-06:00,2026-08-20,-106.7892386755,41.2039581002,2228.0,,,,,,,,Coprinellus micaceus,"Encampment, WY 82325, USA",1,
90eeb17f-c97d-4fc8-886e-483d414cbca3,392666801,2026-08-19 08:45:24-06:00,2026-08-19,-104.8007885184,41.1389589789,1851.0,,14.0,24.5,,14.4,,1013.7,Coprinellus micaceus,"Cheyenne, WY, US",1,
1e8d0a1e-ec9d-4763-a2aa-f5a0312732c5,392664378,2026-08-19 08:41:22-06:00,2026-08-19,-105.5852651997,41.3139655,2196.0,,10.9,26.3,0.0,14.5,,1016.9,Coprinellus micaceus,"Laramie, WY, USA",1,
38b8a3b9-d0d2-4130-a5fa-e8697a41b88a,380177801,2026-05-26 15:43:48-06:00,2026-05-26,-105.1788851548,40.0509270615,1565.0,,13.0,26.0,3.6,4.9,,,Coprinellus micaceus,"75th St, Boulder, CO, US",1,
92a3099a-d809-415e-aff2-21dda67afd57,375649165,2026-06-26 16:09:38-06:00,2026-06-26,-105.0838861667,40.5724333333,1534.0,,11.0,32.8,0.7,4.8,,,Coprinellus micaceus,"Center Ave, Fort Collins, CO, US",1,
8171fa2c-d9a9-4c10-9fa6-0fc550e52a3e,372491575,2026-06-16 19:36:13-06:00,2026-06-16,-104.9607783333,39.6704333333,1636.0,,10.0,32.2,0.0,5.4,,,Coprinellus micaceus,"S York St, Denver, CO, US",1,
b4b48a97-3ce9-420b-8f21-e6b4e622463c,371284417,2026-05-21 11:55:58-06:00,2026-05-21,-105.0781467744,39.7141016275,1678.0,,4.9,18.5,,11.2,,1012.1,Coprinellus micaceus,"S Upham Ct, Lakewood, CO, US",1,
bbce79db-fdf0-472d-aacb-bb2c8e8e065d,370311477,2026-06-10 06:10:03-06:00,2026-06-10,-104.7588694444,39.6611388889,1715.0,,11.1,30.8,0.0,8.2,,,Coprinellus micaceus,"Seven Hills, Aurora, CO 80013, USA",1,
9f9d5780-9323-4243-896d-116e91be89f4,370214537,2026-06-09 20:29:44-06:00,2026-06-09,-105.0124740601,39.6107177734,1646.0,,13.9,31.7,0.0,8.4,,,Coprinellus micaceus,Littleton,1,
89d999be-7aec-40ed-b32f-ee66f27ab269,368942337,2022-06-01 09:21:36-06:00,2022-06-01,-105.0730583333,39.6842466667,1678.0,,4.0,16.6,3.1,7.3,,1022.3,Coprinellus micaceus,"S Quay St, Lakewood, CO, US",1,
842eebfa-2ab6-44b0-b1ec-49fb2fca4d83,368440903,2026-06-03 15:11:47-06:00,2026-06-03,-104.7091323137,40.4232843459,1426.0,,12.9,29.5,0.5,10.9,,1014.4,Coprinellus micaceus,"10th St @ 18th Ave - Eastbound, Greeley, CO 80631, USA",2,
33bf76a3-7f06-434e-b846-a9b25b333a05,368228164,2026-06-03 13:17:59-06:00,2026-06-03,-105.1444759592,40.5868744724,1570.0,,11.7,28.0,0.0,7.2,,,Coprinellus micaceus,"Fort Collins, CO 80521, USA",2,
0417d156-71d0-42e9-87b2-9f86c2eb7fe9,368191955,2026-06-03 18:04:22-06:00,2026-06-03,-105.0553318207,39.6740641259,1687.0,,14.0,25.6,,11.5,,1014.9,Coprinellus micaceus,"W Iliff Dr, Lakewood, CO, US",1,
73de7b76-1f85-44db-8fbb-c1bd3a99145c,368188766,2026-06-03 17:51:21-06:00,2026-06-03,-105.2636642456,39.9960479736,1655.0,,13.0,26.0,1.5,4.3,,1015.4,Coprinellus micaceus,"Boulder County, US-CO, US",1,
1fe12264-c5e2-4e43-aba0-e7d1d380eeb3,368188730,2026-06-03 17:51:08-06:00,2026-06-03,-105.2636642456,39.9960327148,1655.0,,13.0,26.0,1.5,4.3,,1015.4,Coprinellus micaceus,"Boulder County, US-CO, US",1,
7919b6da-1e4d-4f9d-8692-7089c8798a8f,368188701,2026-06-03 17:50:55-06:00,2026-06-03,-105.2636489868,39.9960594177,1655.0,,13.0,26.0,1.5,4.3,,1015.4,Coprinellus micaceus,"Boulder County, US-CO, US",1,
0d67da21-4fb6-4f9d-b1a6-6a6525c374c9,368188621,2026-06-03 17:50:45-06:00,2026-06-03,-105.2636489868,39.9960403442,1655.0,,13.0,26.0,1.5,4.3,,1015.4,Coprinellus micaceus,Boulder,1,
8a5878fb-8a8a-4cb1-ada2-4ac6be68c500,367936608,2026-06-02 21:04:20-06:00,2026-06-02,-106.2980826572,42.8486802286,1576.0,,5.6,28.9,0.0,6.9,,,Coprinellus micaceus,"Casper, WY, USA",1,
61a377d4-2e4d-42a0-bef9-212b6f3a054c,367887699,2026-06-02 15:38:40-06:00,2026-06-02,-104.7475583333,39.5022466667,1856.0,,12.2,22.8,0.8,10.4,,1016.4,Coprinellus micaceus,"Pine Grove Ln, Parker, CO, US",1,
203e026e-8cf9-4bc0-a2a0-13398c5b8304,367881588,2026-06-02 16:12:28-06:00,2026-06-02,-104.8102805556,38.8440055556,1849.0,,11.7,21.7,,7.8,,1014.9,Coprinellus micaceus,"Middle Shooks Run, Colorado Springs, CO 80903, USA",1,
09c09c06-4f6d-40e7-8dd3-e19d056cfc41,367839704,2026-05-26 13:33:40-06:00,2026-05-26,-105.1295064249,40.5607561833,1565.0,,11.7,27.8,2.5,8.9,,,Coprinellus micaceus,"White Rock Ct, Fort Collins, CO, US",1,
d859dcb2-64bb-4179-893f-70d287120885,367755422,2026-05-31 18:55:07-06:00,2026-05-31,-105.1355716959,38.256899136,1931.0,,9.0,29.0,0.0,7.6,,,Coprinellus micaceus,"Wetmore, CO 81253, USA",2,
0f034b7a-dc1c-4c42-af97-848775acd466,367631487,2026-04-29 19:05:07-06:00,2026-04-29,-104.8254783333,38.8490616667,1851.0,,3.3,10.0,,6.5,,1017.1,Coprinellus micaceus,"Colorado College, Colorado Springs, CO, US",1,
2904e0e2-c8ff-4421-89c8-4922b228d9d8,367619331,2026-05-20 10:24:42-06:00,2026-05-20,-104.8903666667,39.6284916667,1709.0,,4.4,12.8,0.6,10.1,,,Coprinellus micaceus,"Goldsmith Gulch Trail, Denver, CO, US",1,
c2650350-bc93-4350-9afe-0b3146575ce0,367619223,2026-05-24 14:59:33-06:00,2026-05-24,-104.956245,39.5860666667,1693.0,,10.0,24.4,0.2,7.1,,,Coprinellus micaceus,"Cherry Knolls Park, Centennial, CO, US",1,
19ce2cf3-1181-49a2-b6cd-8f5e43a9fa6b,367593167,2026-06-01 19:07:33-06:00,2026-06-01,-105.0900497437,40.5352096558,1549.0,,12.8,26.7,0.9,8.1,,1015.3,Coprinellus micaceus,Fort Collins,1,
e46ca135-554c-4e2f-844f-81b9bacca1ba,367482629,2026-06-01 12:01:24-06:00,2026-06-01,-105.2850634,40.013582,1646.0,,13.0,26.0,1.6,3.5,,1015.1,Coprinellus micaceus,"9th Street and Arapahoe Road, Boulder, CO 80302, USA",2,
7a69360f-8576-4dae-8d2b-60839f898885,367121906,2026-05-31 11:15:50-06:00,2026-05-31,-105.0900869,40.5351793,1549.0,,9.4,26.7,0.0,5.6,,,Coprinellus micaceus,"Troutman Park, Fort Collins, CO 80526, USA",2,
e0e0d660-e15f-4007-bd63-ea56b770ed3e,366690533,2026-05-29 14:48:47-06:00,2026-05-29,-104.7114958429,38.7451923872,1768.0,,12.9,27.0,1.5,8.4,,1007.2,Coprinellus micaceus,"Fountain Valley School Rd, Widefield, CO, US",1,
9ef4cd1a-c5b9-4d33-a7bb-1278d118fc5d,366526251,2026-05-29 19:46:03-06:00,2026-05-29,-104.9838416667,39.71793,1613.0,,13.6,24.3,,12.4,,1007.2,Coprinellus micaceus,"N Grant St, Denver, CO, US",1,
22f906ab-1803-4e72-a852-c2cb5cdc3890,366503728,2026-05-29 17:17:52-06:00,2026-05-29,-105.1101165265,39.6624989828,1669.0,,14.9,26.1,2.2,10.7,,,Coprinellus micaceus,"S Kipling St & W Cornell Pl, Lakewood, CO 80227, USA",2,
959c07f5-6d2c-4fe5-b00c-c70723dee5dc,366448836,2026-05-29 14:45:01-06:00,2026-05-29,-103.6360456083,41.8798379151,1204.0,,12.8,30.0,9.1,21.2,,1008.1,Coprinellus micaceus,"21st Ave, Scottsbluff, NE, US",1,
c246ea07-b952-406d-8b14-792f35018ee3,366447496,2026-05-29 14:40:15-06:00,2026-05-29,-105.26881323,40.22361053,1636.0,,13.5,25.6,1.1,6.1,,,Coprinellus micaceus,"4th & Railroad, Lyons, CO 80540, USA",2,
ce9424fa-6fd8-4404-9efb-ef5dba79ede1,366385915,2026-05-29 10:06:08-06:00,2026-05-29,-105.234925,40.0173445,1599.0,,14.0,26.0,1.0,4.8,,,Coprinellus micaceus,"48th St, Boulder, CO, US",1,
8e47743e-624f-4140-b247-e919e9b9c2fc,366359478,2026-05-29 09:26:36-06:00,2026-05-29,-105.12434,39.77411,1652.0,,13.0,26.0,2.3,7.0,,,Coprinellus micaceus,"QVFF+W8, Wheat Ridge, CO 80033, USA",2,
9164ccc7-291d-4722-9027-a3f8b405f680,366193968,2026-05-27 12:18:44-06:00,2026-05-27,-105.0148303108,40.7063874611,1589.0,,11.7,21.7,2.1,5.6,,,Coprinellus micaceus,"Colorado, US",1,
3c3813a9-50bf-4e5f-978f-dd070ac5cfb0,366189402,2026-05-28 17:38:43-06:00,2026-05-28,-104.8852346583,39.6446863496,1713.0,,11.7,23.9,0.8,7.2,,,Coprinellus micaceus,"Colorado, US",1,
f0348210-669a-45d1-b12d-211138942fcb,366189056,2026-05-28 17:37:04-06:00,2026-05-28,-105.1077645351,40.5607180376,1549.0,,11.7,25.6,0.2,6.8,,,Coprinellus micaceus,"Glenwood Dr, Fort Collins, CO, US",1,
bf49940d-9bb2-4679-8f92-6496cfe8bfbb,366184599,2026-05-28 17:13:49-06:00,2026-05-28,-105.0299528333,39.6202083333,1629.0,,11.7,23.9,0.8,7.2,,,Coprinellus micaceus,"Terra Vista at the Park, Littleton, CO, US",1,
130b67e3-af61-415f-97cd-89c05f67885b,366096644,2026-05-25 16:14:41-06:00,2026-05-25,-105.1027138333,40.6068116667,1525.0,,10.0,29.4,0.0,6.3,,,Coprinellus micaceus,"N Shield Ponds Big Loop, Fort Collins, CO, US",1,
bf356321-5c94-4e8e-a7cd-fd59151b1fed,366079733,2026-05-28 10:36:14-06:00,2026-05-28,-104.929475,39.7562466667,1624.0,,11.3,21.7,,11.3,,1013.4,Coprinellus micaceus,"Elm St, Denver, CO, US",1,
1bf71af1-5bd9-4448-8e35-0aaf5fecc344,366047766,2026-05-28 08:38:21-06:00,2026-05-28,-105.1083374023,39.8924369812,1652.0,,12.0,24.0,0.7,4.8,,,Coprinellus micaceus,Westminster,1,
80ea9372-8017-4115-a252-c11d6829c11b,366047545,2026-05-27 19:06:00-06:00,2026-05-27,-105.0518888333,39.6511533333,1646.0,,12.2,18.3,2.0,9.1,,,Coprinellus micaceus,"W Kenyon Ave, Denver, CO, US",1,
62546721-7cca-4f0d-b0f8-3e4d228178f5,365918230,2026-05-27 19:05:01-06:00,2026-05-27,-104.8243333333,38.84968,1855.0,,10.6,13.9,,6.1,,,Coprinellus micaceus,"N Cascade Ave, Colorado Springs, CO, US",1,
cf411b45-a7e5-42cb-ad0a-337a58d5be52,365867884,2026-05-27 13:02:21-06:00,2026-05-27,-105.0845951127,39.5053616731,1669.0,,12.2,18.3,2.0,9.1,,,Coprinellus micaceus,"Colorado, US",1,
2fe21e30-dd5a-4a65-bad9-cc1718ab72e3,365766183,2026-05-27 10:16:04-06:00,2026-05-27,-104.8675472662,38.8449483949,1861.0,,9.0,14.0,0.5,7.3,,,Coprinellus micaceus,"26th/St Anthony, Colorado Springs, CO 80904, USA",1,
89095471-eb74-42a9-8f30-928799a5a1d0,365566371,2026-05-26 16:07:52-06:00,2026-05-26,-105.1029583333,39.85975,1692.0,,11.0,26.0,4.1,7.8,,,Coprinellus micaceus,"W 90th Dr, Westminster, CO, US",1,
9b3eb055-077d-4741-a85e-4626f2bc724b,365556240,2026-05-26 12:18:22-06:00,2026-05-26,-105.1889944444,39.827425,1746.0,,11.0,26.0,4.1,7.8,,,Coprinellus micaceus,"Quaker Acres, Arvada, CO 80007, USA",1,
7a98d17e-08d2-4903-a35b-0e264c857e6d,365537538,2026-05-26 10:30:20-06:00,2026-05-26,-105.2065797196,38.4208631191,1641.0,,11.0,22.0,4.2,6.8,,,Coprinellus micaceus,"Poplar Ave, Canon City, CO, US",1,
ceb04bc3-3a6d-49bb-aff5-717f9e83a6e0,365498718,2026-05-17 14:22:59-06:00,2026-05-17,-105.0713653564,39.7086486816,1670.0,,10.4,17.9,,15.1,,1000.4,Coprinellus micaceus,Lakewood,1,
539eda97-6e10-4700-a9b4-a556d9004a50,365280972,2026-05-25 19:48:27-06:00,2026-05-25,-104.8110562563,38.8441639605,1843.0,,11.7,26.7,,8.6,,1010.3,Coprinellus micaceus,"Cache La Poudre/El Paso, Colorado Springs, CO 80903, USA",1,
901541db-a7f4-4073-9b30-1de55640d618,364922555,2026-05-20 14:28:00-06:00,2026-05-20,-105.087647643,39.6870955186,1703.0,,5.3,12.7,,11.0,,1018.4,Coprinellus micaceus,"Colorado, US",1,
c3814109-0854-4faf-87cc-a424e17fe2cc,364878951,2026-05-24 15:35:47-06:00,2026-05-24,-104.8032226389,41.1403541389,1853.0,,8.3,25.6,0.0,16.2,,1011.5,Coprinellus micaceus,"19th St and Bradley - Bus Stop Sign, Cheyenne, WY 82001, USA",1,
98eadaf9-517b-4292-8f27-3ed8a707c108,364525097,2026-05-23 08:10:00-06:00,2026-05-23,-105.1693386957,39.702937314,2012.0,,6.0,24.0,0.0,4.4,,,Coprinellus micaceus,"Denver, CO 80228, USA",1,
c9d2ff16-ee4f-417e-aee3-4cc5bcb990fd,364359391,2026-05-22 10:29:13-06:00,2026-05-22,-105.1109471667,39.662405,1673.0,,4.4,16.1,6.2,6.8,,1014.7,Coprinellus micaceus,"Bear Creek Trail, Lakewood, CO, US",1,
