uuid,inat_id,timestamp,date,lon,lat,elevation,tavg,tmin,tmax,precipitation,windspeed,winddirection,presure,species,location,num_identification_agreements,olc
f8267899-2142-4edc-822a-cd94f04f1b7f,367619675,2026-05-21 15:30:20-06:00,2026-05-21,-104.8950416667,39.6286916667,1717.0,,4.4,20.0,1.3,6.5,,,Coprinopsis atramentaria,"E Union Ave, Denver, CO, US",1,
4007528f-a312-4b8e-a236-e0727f608a99,365296499,2026-05-19 12:54:04-06:00,2026-05-19,-110.1482199335,39.752948483,2096.0,,,,,,,,Coprinopsis atramentaria,"Utah, US",1,
68c86e06-e97f-40fb-9aba-5de8182c0ea3,364145509,2026-05-22 19:14:19-06:00,2026-05-22,-105.1073058721,40.546288054,1552.0,,3.3,20.6,0.2,5.8,,1013.8,Coprinopsis atramentaria,"Dunbar Ave, Fort Collins, CO, US",1,
c609cf44-c42b-45f6-a91c-03480a913d9a,363748113,2025-10-11 08:00:58-06:00,2025-10-11,-104.8253466667,38.8537366667,1856.0,,11.0,24.0,,14.2,,1014.0,Coprinopsis atramentaria,"Wood Ave, Colorado Springs, CO, US",1,
c54582f4-a765-4efd-97ae-02c436270d8f,360031567,2026-05-09 16:54:54-06:00,2026-05-09,-105.1054221667,40.1379805,1524.0,,6.6,24.1,3.0,6.2,,,Coprinopsis atramentaria,"Pike Rd, Longmont, CO, US",1,
ea00219f-ce5c-4654-8590-6672f8bf9182,358103542,2026-05-03 17:14:14-06:00,2026-05-03,-104.830785,41.1579666667,1872.0,,3.9,20.6,0.0,13.7,,1015.0,Coprinopsis atramentaria,"Cheyenne, WY, USA",1,
b92f5874-c899-401d-bd1f-c5cf81f82caf,358081300,2026-05-03 14:31:02-06:00,2026-05-03,-105.1367945,39.55022,1766.0,,4.5,21.1,0.0,10.1,,,Coprinopsis atramentaria,"W Deer Creek Canyon Rd, Littleton, CO, US",1,
a02d7314-fdd2-4574-9763-e36244a35d10,357715719,2026-05-02 13:17:07-06:00,2026-05-02,-105.0874843821,39.8027317912,1630.0,,2.2,21.0,0.0,6.1,,,Coprinopsis atramentaria,"W 58th Ave & Allison St, Arvada, CO 80004, USA",1,
ad4d6948-ae4a-4272-9cd0-03ac7e0537d9,356652052,2026-04-29 16:02:22-06:00,2026-04-29,-105.0561523438,40.5403022766,1520.0,,3.0,15.0,0.2,7.2,,,Coprinopsis atramentaria,Fort Collins,1,
254965de-2638-4805-ad97-b6655b328c92,327157856,2025-11-18 10:56:19-07:00,2025-11-18,-105.0770333333,40.565445,1526.0,,4.0,18.0,0.0,9.2,,1016.2,Coprinopsis atramentaria,"S College Ave, Fort Collins, CO, US",1,
