uuid,inat_id,timestamp,date,lon,lat,elevation,tavg,tmin,tmax,precipitation,windspeed,winddirection,presure,species,location,num_identification_agreements,olc
9bc5cd95-bbe4-42e7-ad8a-da4646ec9c52,392097638,2026-08-17 08:42:01-06:00,2026-08-17,-104.9311159249,39.6035620708,1686.0,,14.8,30.4,0.0,11.2,,1017.1,Coprinopsis lagopus,"Greenwood Village, CO 80121, USA",1,
f1199e37-1df0-4d2a-b65a-29f7c541a0f0,369536691,2026-06-04 07:35:02-06:00,2026-06-04,-104.8481616667,39.5488583333,1809.0,,11.1,30.0,0.0,7.0,,,Coprinopsis lagopus,"Belford Ave, Englewood, CO, US",1,
192dc880-994c-4aef-9101-1cf2b189181f,366636166,2026-05-27 06:46:13-06:00,2026-05-27,-105.1375111667,39.7656883333,1682.0,,13.0,21.0,1.8,5.1,,,Coprinopsis lagopus,"N Ward Rd, Wheat Ridge, CO, US",1,
6a915b8e-10bc-47e3-a617-aa61f2a7bcc3,308928857,2025-08-23 10:54:48-06:00,2025-08-23,-105.44387538,39.61066142,2485.0,,0.5,14.1,3.4,10.2,,1024.6,Coprinopsis lagopus,"Clear Creek County, US-CO, US",1,
4f429aa7-5041-477c-8395-8f3e6f509af6,308837843,2025-08-23 10:19:26-06:00,2025-08-23,-105.4438559,39.6107353,2485.0,,0.5,14.1,3.4,10.2,,1024.6,Coprinopsis lagopus,"Golden, CO 80439, USA",1,
d29f8809-1396-4651-a89f-d0f088459cdd,287105505,2025-06-04 15:03:35-06:00,2025-06-04,-105.0364472222,38.9362388889,2588.0,,7.4,13.3,1.1,13.5,,1016.0,Coprinopsis lagopus,"Green Mountain Falls, CO, USA",1,
c260e101-b320-4d92-9025-391cc602c3a6,257398767,2023-08-18 08:15:00-06:00,2023-08-18,-105.3502282266,35.9220677212,2242.0,,15.6,33.9,0.0,17.4,,1012.8,Coprinopsis lagopus,"Mora County, NM, USA",1,
9aa57975-7668-4643-b2c0-7d1a77115c74,244010611,2021-09-05 07:00:14-06:00,2021-09-05,-106.5726166667,36.0563055,3009.0,,13.5,26.9,0.0,9.1,,1027.2,Coprinopsis lagopus,"Santa Fe National Forest, Coyote, NM, US",1,
b4601cdf-f9ca-4aec-8ac0-490557204c24,234730524,2024-08-09 11:25:56-06:00,2024-08-09,-104.8417789489,38.9394972974,2002.0,,13.3,15.2,,12.1,,1020.4,Coprinopsis lagopus,"Briargate, Colorado Springs, CO, USA",1,
faab03de-9cf7-4040-9831-d5a25f0f2634,184188045,2023-09-14 08:57:26-06:00,2023-09-14,-105.9386270029,35.706581413,2198.0,,10.6,22.8,,15.5,,1014.3,Coprinopsis lagopus,"Calle Loma Norte, Santa Fe, NM, US",2,
218eb55c-5955-441d-9627-7f43c5f9f362,180280136,2023-08-26 09:19:10-06:00,2023-08-26,-105.2567129266,40.0302959771,1620.0,,15.0,24.0,0.0,2.8,,1027.2,Coprinopsis lagopus,"29th St, Boulder, CO, US",1,
fbbacc28-00c3-470b-a9e4-2a98dee5b924,167902509,2023-06-17 10:17:17-06:00,2023-06-17,-104.9081688211,39.7426073611,1635.0,,9.3,19.0,3.4,10.9,,1014.5,Coprinopsis lagopus,"Colorado, US",1,
8c185191-c239-4f40-bb0b-4531ba0cb425,58299165,2020-08-06 07:27:31-06:00,2020-08-06,-105.1249132678,40.5711325434,1555.0,,15.0,32.8,,9.7,,1009.9,Coprinopsis lagopus,2600 Flintridge Place,1,
74576385-18b4-4417-b273-fbbda1c1dc64,52635440,2020-07-10 19:43:50-06:00,2020-07-10,-108.7135473258,39.1560676745,1384.0,,15.6,36.7,0.0,15.8,,1012.8,Coprinopsis lagopus,"Ribbon Ct, Fruita, CO, US",2,
d3c4b033-e07a-4c6a-a62e-faa857794074,29033821,2019-07-17 14:42:50-06:00,2019-07-17,-105.603374429,36.6171479338,2545.0,,11.7,31.7,,12.6,,1016.7,Coprinopsis lagopus,"Taos County, US-NM, US",1,
ae32f13b-2e13-4014-a912-bd7dfaa57442,7347584,2017-08-04 10:06:51-06:00,2017-08-04,-105.9958633333,38.542195,2152.0,,9.7,27.5,,13.3,,,Coprinopsis lagopus,"904 W 1st St, Salida, CO, US",1,
ae22ca0f-9ea2-4cc2-9ca2-bed3ed854a47,328563043,2025-11-27 15:03:08-08:00,2025-11-27,-121.5134778654,45.5235024508,1097.0,,5.0,7.0,4.3,1.2,,1020.5,Coprinopsis lagopus,"Oregon, US",1,
9934ffc4-7b81-4a6a-87bf-728ae5ff7272,219795674,2024-05-30 09:54:24-07:00,2024-05-30,-121.9680361111,45.3388833333,416.0,,7.2,20.6,0.0,6.0,,1027.5,Coprinopsis lagopus,"Welches, Mt Hood Village, OR 97067, USA",1,
791e9b00-7dca-471e-a041-265e80b74d01,216452060,2024-05-08 07:09:32-07:00,2024-05-08,-121.96645,45.3382972222,420.0,,4.4,21.7,0.0,6.6,,1028.0,Coprinopsis lagopus,"Welches, Mt Hood Village, OR 97067, USA",1,
4a34bc43-3171-4d18-b91d-77c0be4b8cb6,191901665,2023-11-19 16:00:25-08:00,2023-11-19,-121.5190733,45.7473984,116.0,,3.4,8.2,3.8,15.9,,1025.6,Coprinopsis lagopus,"White Salmon, WA 98672, USA",1,
91df12e4-612c-4384-9c5c-ebe307533706,190874552,2023-11-09 15:45:21-08:00,2023-11-09,-122.3186635587,45.3349446677,142.0,,5.6,11.1,,16.9,,1021.2,Coprinopsis lagopus,"SE Eagle Fern Rd, Eagle Creek, OR, US",1,
f7716001-5088-4585-b81b-1a900a8aa339,136748488,2022-09-27 07:06:27-07:00,2022-09-27,-121.5137166667,45.7042783333,134.0,,14.5,29.9,0.0,6.4,,1012.0,Coprinopsis lagopus,"Columbia River Gorge National Scenic Area - Headquarters, Hood River, OR, US",1,
40ce9087-9880-45a8-abac-b10d69e0700f,130541475,2022-08-12 13:13:47-07:00,2022-08-12,-121.7647780575,45.7487213814,321.0,,15.9,28.6,0.0,13.9,,1015.2,Coprinopsis lagopus,"Oregon, US",1,
a85fba3f-9f76-455c-bce9-d60e1079f59b,104743519,2021-09-29 12:35:59-07:00,2021-09-29,-122.082575,45.373863,317.0,,8.9,20.0,0.0,7.3,,1020.6,Coprinopsis lagopus,"Sandy, OR 97055, USA",2,
7a91a318-9333-4067-8069-647ac858f1f2,99236603,2021-10-09 11:44:17-07:00,2021-10-09,-122.198775,45.5711833333,226.0,,5.6,17.8,,2.9,,1023.6,Coprinopsis lagopus,"Columbia River Gorge National Scenic Area, Washougal, WA, US",1,
980b3a15-87de-41c7-a5e2-7cc6e6df8bb6,98851600,2021-10-17 12:13:54-07:00,2021-10-17,-122.0240565017,45.6205553292,13.0,,7.8,17.2,0.0,4.6,,1007.1,Coprinopsis lagopus,"Stevenson, WA 98648, USA",1,
a403c952-95ed-4798-a6d0-43fe1410e4dc,98068229,2021-10-11 14:27:00-07:00,2021-10-11,-122.1643237752,45.5623306218,168.0,,6.1,15.0,0.0,2.5,,1024.4,Coprinopsis lagopus,"Multnomah County, OR, USA",1,
99c3e9b7-1695-44d0-ac9c-ff441c6f1695,18386053,2018-11-09 13:44:52-08:00,2018-11-09,-121.7398165261,45.7151637599,212.0,,-3.9,13.3,0.0,8.0,,1026.6,Coprinopsis lagopus,"Skamania County, US-WA, US",1,
856acaf8-97a3-420a-8c29-1cc0a88da0c0,17395978,2018-10-07 12:15:46-07:00,2018-10-07,-122.2200469971,45.5391921997,61.0,,6.7,13.3,,2.0,,,Coprinopsis lagopus,"42746 NE Latourell Rd, Corbett, OR 97019, USA",1,
417625fa-16b5-4fac-b7dd-13f1a1b8a093,318198397,2025-09-22 09:42:52-07:00,2025-09-22,-122.4647902012,45.4264968161,204.0,,8.0,26.0,0.0,2.2,,1019.6,Coprinopsis lagopus,"Oregon, US",1,84QVCGGP+
8a173715-6c8b-4cc6-82f2-1ee88c44a676,140617125,2022-10-30 08:40:04-07:00,2022-10-30,-122.3502883333,45.4971866667,123.0,,12.2,15.0,,4.6,,1022.7,Coprinopsis lagopus,"SE Division Dr, Troutdale, OR, US",1,84QVFJWX+
4caa6b91-15e7-4f61-8ce3-e33f1a0eed16,393479696,2026-08-22 07:15:16-07:00,2026-08-22,-122.6812356901,45.4741014043,138.0,,15.6,24.4,0.0,5.2,,1015.4,Coprinopsis lagopus,"SW Third Ave, Portland, OR, US",1,84QVF8F9+
b6dea658-649d-45a9-b0d6-51cd02a8eeab,352054567,2026-04-22 11:38:31-07:00,2026-04-22,-122.553746,45.564242,8.0,,10.0,12.8,0.4,7.6,,,Coprinopsis lagopus,"NE 105th & Simpson, Portland, OR 97220, USA",1,84QVHC7W+
945b9425-1e97-4e39-93b1-33bcf17aa039,352014858,2026-04-22 07:19:54-07:00,2026-04-22,-122.5185383333,45.4981783333,73.0,,10.0,12.2,2.4,6.9,,,Coprinopsis lagopus,"SE 141st Ave, Portland, OR, US",2,84QVFFXJ+
1cc9f8b5-3c90-4229-9317-57738448878d,349342456,2026-04-12 13:08:49-07:00,2026-04-12,-122.4962234497,45.4963493347,79.0,,7.8,11.7,0.5,2.6,,,Coprinopsis lagopus,Portland,1,84QVFGW3+
0a0512ee-7ceb-479f-95c6-4b96e16841d3,337393458,2025-12-19 10:45:05-08:00,2025-12-19,-122.7575197165,45.495253508,103.0,,4.0,9.0,1.5,9.8,,1011.3,Coprinopsis lagopus,"SW 78th Ave, Portland, OR, US",1,84QVF6WR+
e312ddb9-aa3a-49b9-aabe-30f6dfb34438,334770850,2026-01-14 13:14:22-08:00,2026-01-14,-122.5736888889,45.5287805556,76.0,,0.6,7.2,0.0,2.9,,1032.1,Coprinopsis lagopus,"NE Glisan & 86th, Portland, OR 97220, USA",1,84QVGCHG+
