uuid,inat_id,timestamp,date,lon,lat,elevation,tavg,tmin,tmax,precipitation,windspeed,winddirection,presure,species,location,num_identification_agreements,olc
0ee1f3f8-9f14-4d42-b3d1-ee1640e40587,391268296,2026-08-09 12:00:00-06:00,2026-08-09,-106.1374277778,39.9356361111,2527.0,,12.0,16.0,1.8,6.7,,,Coprinopsis nivea,"Grand County, CO, USA",1,
fc501dba-257d-4c89-9312-9df8ccfd872a,390143461,2026-08-10 09:08:52-06:00,2026-08-10,-105.5390986428,40.7929985038,2488.0,,16.4,26.4,0.9,15.6,,1014.8,Coprinopsis nivea,"RED FE LKS, CO 80545, USA",1,
7e8b7ab7-f311-483b-aacf-7fa2bf8d68b9,389751243,2026-07-31 09:02:00-06:00,2026-07-31,-105.385360123,37.8988637751,2629.0,,11.0,22.0,1.6,6.8,,,Coprinopsis nivea,"Colorado, US",1,
7365d5bc-21c4-4f8a-bc9b-37e9be979e90,388584973,2026-08-04 08:47:14-06:00,2026-08-04,-106.9837279322,38.9548268277,2935.0,,12.8,30.6,0.0,6.0,,,Coprinopsis nivea,"Grand Mesa Uncompahgre and Gunnison National Forests, Crested Butte, CO, US",1,
df3eed3c-12ed-4280-9988-668b29d64e85,386163038,2026-07-28 14:12:59-06:00,2026-07-28,-106.6324916667,35.8928966667,2553.0,,21.5,32.6,11.4,6.7,,,Coprinopsis nivea,"Forest Service Road 106, Jemez Springs, NM, US",1,
559109c0-86b9-4b9d-9901-c6115e1ae0ad,320764041,2025-09-20 10:31:25-06:00,2025-09-20,-105.6145783333,36.0556138333,2915.0,,9.2,23.1,0.0,9.1,,1017.1,Coprinopsis nivea,"Taos County, US-NM, US",1,
1355e4ab-febe-4029-8089-f7d2f6d935fe,319875751,2025-10-08 18:49:15-06:00,2025-10-08,-107.1063611667,37.370175,2511.0,,5.0,21.0,2.1,3.3,,1023.2,Coprinopsis nivea,"Perry Dr, Pagosa Springs, CO, US",1,
c3cbb313-3583-422d-918a-d97297803f22,318649129,2025-10-04 09:45:53-06:00,2025-10-04,-106.08062974,35.8010525,1974.0,,13.0,22.0,0.4,19.1,,1017.5,Coprinopsis nivea,"White Rock, NM 87547, USA",1,
24bf1c7f-2683-4514-8837-3282eae2082e,314950081,2025-09-18 09:59:38-06:00,2025-09-18,-105.392875,41.2939833333,2491.0,,2.4,14.4,0.0,14.3,,1020.2,Coprinopsis nivea,"Medicine Bow National Forest, Albany County, WY, US",1,
735bc0d0-b3de-4ba3-9ca8-e0a4b8407b13,298690952,2025-07-17 07:28:21-06:00,2025-07-17,-102.2029825997,43.8316583,798.0,,,,,,,,Coprinopsis nivea,"Conata Township, SD, USA",1,
3711b38c-fbbe-4ca7-89fc-f7ca872aba4f,296425319,2025-07-08 15:34:19-06:00,2025-07-08,-105.2959073727,36.8634014647,2796.0,,2.6,25.1,0.2,6.1,,1034.1,Coprinopsis nivea,"Amalia, NM, US",1,
37bb4c48-5c93-4828-9d66-db13ccf6fc39,287796865,2025-06-07 15:56:00-06:00,2025-06-07,-105.4672741603,35.5702310198,2678.0,,8.9,27.2,0.0,15.8,,1011.6,Coprinopsis nivea,"San Miguel County, NM, USA",1,
11db781c-85fd-4e83-86fe-c97375e90cdc,285062229,2025-05-28 11:48:46-06:00,2025-05-28,-102.2798396,43.2181789997,982.0,,7.8,17.2,4.1,11.5,,1019.0,Coprinopsis nivea,"Porcupine, SD 57772, USA",1,
e3185f4e-41db-47b2-aeb0-8c4dcccf498e,281357604,2025-05-14 11:58:22-06:00,2025-05-14,-104.9808583333,37.50463,2152.0,,0.0,8.0,0.0,32.1,,1016.2,Coprinopsis nivea,"La Veta, CO, US",1,
388bd8a4-7c09-46d6-99c3-583118d9d828,281085124,2025-05-11 12:08:49-06:00,2025-05-11,-105.2905583333,40.21177,1673.0,,6.9,30.1,0.0,5.0,,1018.8,Coprinopsis nivea,"Nighthawk Trail, Lyons, CO, US",2,
321f90e7-93e9-4487-8896-a6612440d60a,280760338,2025-05-12 11:05:00-06:00,2025-05-12,-105.1121123937,40.3584945294,1553.0,,11.7,30.0,0.0,10.2,,1003.7,Coprinopsis nivea,"Loveland, CO, US",1,
