uuid,inat_id,timestamp,date,lon,lat,elevation,tavg,tmin,tmax,precipitation,windspeed,winddirection,presure,species,location,num_identification_agreements,olc
ea921356-4815-4470-9e15-504351319a9f,385414868,2026-07-26 12:03:22-05:00,2026-07-26,-99.8362661549,39.8672482863,710.0,,24.0,43.0,0.0,8.1,,1008.2,Coprinopsis variegata,United States,1,
cd951398-d734-427f-a17c-6848b7045885,159705814,2023-05-04 12:43:04-06:00,2023-05-04,-105.1198873431,40.3580399172,1541.0,,9.4,22.2,0.0,15.0,,1006.0,Coprinopsis variegata,"Colorado, US",1,
faf0e38d-e7cb-4410-8844-8910d65e4a3d,81381252,2021-06-02 19:04:04-06:00,2021-06-02,-105.0686539722,39.7494969722,1642.0,,9.9,23.3,,8.4,,1015.3,Coprinopsis variegata,"Edgewater, CO 80214, USA",1,
acf625f4-4e17-41d7-bb49-d1f9969815db,46013010,2020-05-15 13:46:11-06:00,2020-05-15,-104.7202,40.40930833,1469.0,,10.0,20.0,,12.0,,1014.3,Coprinopsis variegata,"26th Ave, Greeley, CO, US",1,
c0677f84-2cac-42f5-b9aa-38deacfcd455,173229958,2023-05-19 10:51:08-07:00,2023-05-19,-122.3470373824,45.5161742024,24.0,,13.9,27.8,0.0,5.9,,1017.5,Coprinopsis variegata,"Multnomah County, US-OR, US",1,84QVGM83+
f2454a74-186d-4e9f-86ea-a36e0ea7e636,356640598,2026-04-29 14:21:54-07:00,2026-04-29,-122.6207823897,45.4813504483,76.0,,5.6,21.7,0.0,4.2,,1022.6,Coprinopsis variegata,"Oregon, US",1,84QVF9JH+
ba92836a-7704-4ee2-b466-e68e9e77fa4b,277493711,2025-05-01 11:18:28-07:00,2025-05-01,-122.7639916667,45.6485466667,14.0,,5.6,27.2,0.0,4.9,,1015.2,Coprinopsis variegata,"N Marine Dr, Portland, OR, US",1,84QVJ6XP+
a40f1030-dea1-482f-ba6d-acea91df9595,277459233,2025-05-01 11:32:56-07:00,2025-05-01,-122.732496851,45.6375292643,3.0,,5.6,27.2,0.0,4.9,,1015.2,Coprinopsis variegata,"Oregon, US",1,84QVJ7Q9+
f0cfc6a5-f0df-4a94-a32d-62dea86e3af0,196898566,2023-05-22 16:57:23-07:00,2023-05-22,-122.7089533333,45.4773466667,146.0,,11.1,18.9,0.0,11.9,,1023.9,Coprinopsis variegata,"SW Nebraska St, Portland, OR, US",1,84QVF7GR+
fb429859-4136-4b73-9c16-ec9e6234a684,168891832,2023-06-22 12:48:51-07:00,2023-06-22,-122.6813642754,45.4056806723,122.0,,13.9,30.0,0.0,13.3,,1013.0,Coprinopsis variegata,"Oregon, US",1,84QVC849+
87c73cf1-b94e-4457-afe2-e7d76567a164,163015114,2023-05-21 12:55:40-07:00,2023-05-21,-122.3738405296,45.5464118254,13.0,,13.3,18.3,,6.5,,1023.2,Coprinopsis variegata,"Sandy River Delta Recreation Area, Troutdale, OR, US",2,84QVGJWG+
5e12baeb-2c64-4afe-a47f-c6a21cd78c7a,162491229,2023-05-19 08:32:48-07:00,2023-05-19,-122.5222707075,45.4029621324,29.0,,13.9,27.8,0.0,5.9,,1017.5,Coprinopsis variegata,"SE 135th Ave, Clackamas, OR, US",1,84QVCF3H+
