uuid,inat_id,timestamp,date,lon,lat,olc,elevation,tavg,tmin,tmax,precipitation,windspeed,winddirection,presure,species,genus,location,num_identification_agreements,obscured,geoprivacy,taxon_geoprivacy,positional_accuracy,public_positional_accuracy,location_precision,kingdom,phylum,class,order,family,taxon_id,taxon_rank,taxon_name,common_name
d9479bc7-c19a-484b-b1c5-9ded3e1acd96,395548336,2024-10-09 09:56:05-07:00,2024-10-09,-121.66658,44.36633,84PW9800+,1046.0,,4.0,21.0,0.0,10.8,,1018.5,Coprinus comatus,Coprinus,"Red Clover, Sisters, OR, US",1,,,,,,,,,,,,,,,
d6b3ea28-fbde-480b-9c2c-34991f58b209,397479881,2026-09-03 09:40:31-06:00,2026-09-03,-105.7397768686,39.2401588796,85FP6700+,3002.0,,,,,,,,Coprinus comatus,Coprinus,"Bow String Rd, Jefferson, CO, US",1,False,,open,9.0,9.0,precise,Fungi,Basidiomycota,Agaricomycetes,Agaricales,Coprinaceae,47392.0,species,Coprinus comatus,Shaggy Mane
7617d193-1b6a-49fe-8d01-fab6c16125ed,397230443,2025-09-01 09:51:51-06:00,2025-09-01,-105.392375836,39.8766096143,85FPVJ00+,2732.0,,13.0,28.0,0.0,6.3,,1027.3,Coprinus comatus,Coprinus,"Jefferson County, US-CO, US",1,False,,open,4.0,4.0,precise,Fungi,Basidiomycota,Agaricomycetes,Agaricales,Coprinaceae,47392.0,species,Coprinus comatus,Shaggy Mane
8986a524-1ddb-4b03-b5a4-b74590f4756c,396821908,2026-09-02 19:49:38-06:00,2026-09-02,-107.8683591327,37.2774089285,859J7400+,2098.0,,8.9,27.8,0.0,5.5,,,Coprinus comatus,Coprinus,"Fort Lewis College, Durango, CO, US",1,False,,open,14.0,14.0,precise,Fungi,Basidiomycota,Agaricomycetes,Agaricales,Coprinaceae,47392.0,species,Coprinus comatus,Shaggy Mane
5ab9ee91-88e0-455b-ad94-09a900fd0986,396272956,2026-07-29 10:18:25-06:00,2026-07-29,-105.754145,39.4123533333,85FPC600+,3085.0,,6.0,13.0,7.7,8.7,,,Coprinus comatus,Coprinus,"Colorado Trail, Grant, CO, US",1,False,,open,10.0,10.0,precise,Fungi,Basidiomycota,Agaricomycetes,Agaricales,Coprinaceae,47392.0,species,Coprinus comatus,Shaggy Mane
63012539-b099-4c2c-ba5b-0eab138bff55,396264450,2026-08-31 09:24:45-05:00,2026-08-31,-100.7184,41.1004721667,85HX4700+,852.0,,14.4,33.3,0.0,3.6,,,Coprinus calyptratus,Coprinus,"North Platte, NE, US",1,False,,,5.0,5.0,precise,Fungi,Basidiomycota,Agaricomycetes,Agaricales,Coprinaceae,56313.0,species,Coprinus calyptratus,Star-capped Coprinus
f27e4413-7be7-4927-a73b-47e74019e91d,395960865,2026-08-30 16:00:47-06:00,2026-08-30,-103.7809394539,44.2813102074,85PR7600+,1782.0,,16.1,25.7,1.3,11.3,,1008.2,Coprinus comatus,Coprinus,"Brownsville Rd, Deadwood, SD, US",1,False,,open,8.0,8.0,precise,Fungi,Basidiomycota,Agaricomycetes,Agaricales,Coprinaceae,47392.0,species,Coprinus comatus,Shaggy Mane
025768fe-6d1d-4df3-a5d3-3bb5be546125,395548182,2026-08-29 08:04:50-06:00,2026-08-29,-103.6675716667,40.85123,85GRV800+,1415.0,,18.6,34.2,3.1,7.4,,,Coprinus calyptratus,Coprinus,"Stoneham, CO, US",1,False,,,7.0,7.0,precise,Fungi,Basidiomycota,Agaricomycetes,Agaricales,Coprinaceae,56313.0,species,Coprinus calyptratus,Star-capped Coprinus
f93b7898-612e-4f08-8e42-6d18e5f9d0ca,395490743,2026-08-29 07:33:03-06:00,2026-08-29,-105.9261466667,39.6039966667,85FPJ300+,2970.0,,3.5,15.0,10.9,15.1,,1020.6,Coprinus comatus,Coprinus,"Tip Top Trail, Keystone, CO, US",2,False,,open,10.0,10.0,precise,Fungi,Basidiomycota,Agaricomycetes,Agaricales,Coprinaceae,47392.0,species,Coprinus comatus,Shaggy Mane
77116946-1afa-44c8-9194-2bb517c67305,395341041,2026-08-24 10:06:00-06:00,2026-08-24,-104.8244083333,39.1132138889,85FQ4500+,2286.0,,12.5,30.8,1.5,6.3,,,Coprinus calyptratus,Coprinus,"Woodmoor, CO 80132, USA",1,False,,,,,unknown,Fungi,Basidiomycota,Agaricomycetes,Agaricales,Coprinaceae,56313.0,species,Coprinus calyptratus,Star-capped Coprinus
