uuid,inat_id,timestamp,date,lon,lat,olc,elevation,tavg,tmin,tmax,precipitation,windspeed,winddirection,presure,species,genus,location,num_identification_agreements,obscured,geoprivacy,taxon_geoprivacy,positional_accuracy,public_positional_accuracy,location_precision,kingdom,phylum,class,order,family,taxon_id,taxon_rank,taxon_name,common_name
9ef71b8e-cdd5-436f-83b7-aa2ffdbbf91c,322712709,2025-10-23 23:32:00-07:00,2025-10-23,-122.4484676375,44.6086338751,84PVJH00+,1069.0,,,,,,,,Cortinarius idahoensis,Cortinarius,"Linn County, OR, USA",2,,,,,,,,,,,,,,,
f55d1e0a-76cf-4820-bb11-62a169d0367c,213914625,2024-05-04 18:39:48-07:00,2024-05-04,-121.63942,44.4859116667,84PWF900+,898.0,,5.0,11.0,14.3,10.1,,1000.7,Cortinarius pacificovernus,Cortinarius,"Deschutes National Forest, Camp Sherman, OR, US",1,,,,,,,,,,,,,,,
1200798d-42d6-4ca1-8a0e-7ff482e17085,322712715,2025-10-23 23:32:00-07:00,2025-10-23,-122.4484676375,44.6086338751,84PVJH00+,1069.0,,,,,,,,Cortinarius pellstonianus,Cortinarius,"Linn County, OR, USA",1,False,,,31.0,31.0,precise,Fungi,Basidiomycota,Agaricomycetes,Agaricales,Cortinariaceae,1446757.0,species,Cortinarius pellstonianus,
b1c8d897-5c12-43d1-ae3c-eb4baf627c31,173555732,2023-07-15 14:29:54-07:00,2023-07-15,-121.7810934974,44.3753160517,84PW9600+,1545.0,,,,,,,,Cortinarius ahsii,Cortinarius,"Oregon, US",2,True,obscured,,4.0,27348.0,obscured,Fungi,Basidiomycota,Agaricomycetes,Agaricales,Cortinariaceae,626567.0,species,Cortinarius ahsii,
4218bd9a-d0a3-4b92-b3db-22aac435e951,144715958,2022-07-19 04:42:00-07:00,2022-07-19,-121.5310789551,45.3482641857,84QW8F00+,1844.0,,13.3,34.5,0.0,6.5,,1014.8,Cortinarius ahsii,Cortinarius,"Hood River County, OR, USA",2,False,,,8.0,8.0,precise,Fungi,Basidiomycota,Agaricomycetes,Agaricales,Cortinariaceae,626567.0,species,Cortinarius ahsii,
ebfb9abf-5074-45cd-9b0c-a49a50eb62f8,79173911,2021-05-16 16:32:42-07:00,2021-05-16,-121.4801379722,45.433351,84QWCG00+,1179.0,,12.8,32.2,0.0,17.5,,1010.4,Cortinarius ahsii,Cortinarius,"Dufur, OR 97021, USA",1,False,,,,,unknown,Fungi,Basidiomycota,Agaricomycetes,Agaricales,Cortinariaceae,626567.0,species,Cortinarius ahsii,
fdb05fd2-6dda-401d-b25c-7f7b2aa9916f,79171786,2021-05-16 15:26:43-07:00,2021-05-16,-121.47365,45.4264209722,84QWCG00+,1169.0,,12.8,32.2,0.0,17.5,,1010.4,Cortinarius ahsii,Cortinarius,"Dufur, OR 97021, USA",2,False,,,,,unknown,Fungi,Basidiomycota,Agaricomycetes,Agaricales,Cortinariaceae,626567.0,species,Cortinarius ahsii,
34e3b5e3-b592-40be-9eb1-789aaced8a27,79170229,2021-05-15 13:02:32-07:00,2021-05-15,-121.5634289722,45.3679279722,84QW9C00+,1029.0,,13.9,31.1,0.0,17.4,,1013.7,Cortinarius ahsii,Cortinarius,"MT HOOD PRKDL, OR 97041, USA",7,False,,,,,unknown,Fungi,Basidiomycota,Agaricomycetes,Agaricales,Cortinariaceae,626567.0,species,Cortinarius ahsii,
40c7b427-e986-40cd-9ccf-8792ffb11ca4,63350764,2020-10-23 13:43:44-07:00,2020-10-23,-121.9560188624,45.2993466976,84QW7200+,868.0,,5.6,14.4,,11.4,,1018.6,Cortinarius pellstonianus,Cortinarius,"Oregon, US",1,True,obscured,,4.0,27190.0,obscured,Fungi,Basidiomycota,Agaricomycetes,Agaricales,Cortinariaceae,1446757.0,species,Cortinarius pellstonianus,
89619de7-21be-43a8-a40b-bb9b85a8218f,300733107,2025-07-22 11:10:00-06:00,2025-07-22,-105.7996138889,35.8001972222,857PR600+,3269.0,,15.6,29.4,4.1,16.0,,1010.6,Cortinarius truckeensis,Cortinarius,"Santa Fe County, NM, USA",1,False,,,5.0,5.0,precise,Fungi,Basidiomycota,Agaricomycetes,Agaricales,Cortinariaceae,1106514.0,species,Cortinarius truckeensis,
