uuid,inat_id,timestamp,date,lon,lat,olc,elevation,tavg,tmin,tmax,precipitation,windspeed,winddirection,presure,species,location,num_identification_agreements
3371e723-8758-4912-bba0-38092eb4a3aa,351362642,2026-04-19 14:13:00-07:00,2026-04-19,-122.1161331126,45.2396052246,84QV6VQM+,1033.0,,14.4,23.3,0.0,12.0,,,Craterellus tubaeformis,"Clackamas County, OR, USA",1
5b10024a-948a-412e-91df-1636551bcbde,350833383,2025-12-24 14:11:20-08:00,2025-12-24,-122.0715333333,45.298255,84QV7WXH+,1014.0,,5.0,11.0,0.1,19.2,,998.8,Craterellus tubaeformis,"Clackamas County, US-OR, US",1
559fe5da-76ec-480f-9b27-fe77c28211ad,343439287,2025-12-12 10:40:00-08:00,2025-12-12,-122.2005051352,44.8992440194,84PVVQXX+,1059.0,,,,,,,,Craterellus tubaeformis,"Clackamas County, OR, USA",1
c549f278-d680-45c7-935f-68a384b9e3b1,335879361,2026-01-19 11:39:54-08:00,2026-01-19,-121.8177339302,45.3125658781,84QW857J+,880.0,,0.0,3.2,0.0,5.6,,1034.1,Craterellus tubaeformis,"Mt. Hood Park Division Recreation Area, Government Camp, OR, US",1
ba9df99d-7ecd-4bd9-8872-efeb9236cb12,334911644,2026-01-15 14:40:39-08:00,2026-01-15,-122.4742898644,44.8128479217,84PVRG7G+,574.0,,4.4,13.3,0.0,9.7,,1027.8,Craterellus tubaeformis,"Oregon, US",1
bf1d8fbe-fdeb-4481-b4a6-04402674fb56,334911492,2026-01-15 14:29:34-08:00,2026-01-15,-122.4069401269,44.8270198246,84PVRHGV+,539.0,,4.4,13.3,0.0,9.7,,1027.8,Craterellus tubaeformis,"Oregon, US",1
e528db35-a999-4f1e-ac13-88c342989afc,334545102,2026-01-12 12:32:43-08:00,2026-01-12,-121.879529,45.32002145,84QW84CC+,807.0,,0.0,11.0,0.0,0.7,,1029.7,Craterellus tubaeformis,"Mt. Hood Park Division Recreation Area, Rhododendron, OR, US",1
d7affcc2-ba86-44c9-a21c-2ee60898827e,334441392,2026-01-04 18:36:00-08:00,2026-01-04,-121.7847133103,45.3010086504,84QW8628+,1126.0,,2.0,10.0,4.2,1.8,,1002.4,Craterellus tubaeformis,"Clackamas County, OR, USA",1
3620f8b6-940d-4161-aa42-87ceeace8c8c,332786185,2025-12-30 13:58:03-08:00,2025-12-30,-122.0109289788,45.539292564,84QVGXQQ+,942.0,,3.0,7.0,0.0,37.9,,1024.8,Craterellus tubaeformis,"Oregon, US",1
128667d3-0125-4c75-98a9-787f13bcdc94,332553438,2025-12-28,2025-12-28,-121.87605,45.38306,84QW94MF+,613.0,,1.0,4.0,0.3,2.2,,1036.9,Craterellus tubaeformis,"Clackamas County, OR, USA",1
1555b06c-afc9-4ad7-8148-3e72bda1168f,332095788,2025-12-25 17:39:42-08:00,2025-12-25,-121.8507012164,45.3998681489,84QW94XX+,762.0,,2.0,5.0,0.9,0.6,,1004.6,Craterellus tubaeformis,"Zigzag Ranger Station, Rhododendron, OR, US",1
530c760e-27fc-451f-9f71-9de746f59a29,331999322,2025-12-24 15:02:16-08:00,2025-12-24,-122.066337134,45.3036859945,84QV8W3M+,1063.0,,5.0,11.0,0.1,19.2,,998.8,Craterellus tubaeformis,"Sandy, OR, US",2
d98e35c5-20e2-4d17-9086-fc8e09ace5c5,331265994,2025-12-16 14:33:43-08:00,2025-12-16,-122.276672,45.1823648,84QV5PJF+,544.0,,11.0,16.0,4.3,15.9,,1012.8,Craterellus tubaeformis,"Estacada, OR 97023, USA",1
536856c3-41f6-498d-a795-8389d01fddae,329521266,2025-11-30 12:00:10-08:00,2025-11-30,-121.9219138889,45.0856972222,84QW33PH+,732.0,,,,,,,,Craterellus tubaeformis,"Clackamas County, OR, USA",2
0a09ecd0-a647-4577-b42d-32b1ae75d6fc,328716920,2025-11-28 10:48:27-08:00,2025-11-28,-122.0836791729,45.5725765497,84QVHWF8+,556.0,,8.0,12.0,4.5,22.8,,1021.2,Craterellus tubaeformis,"Oregon, US",1
0efdc251-b45d-48fd-ad33-9567770ed7de,328165288,2025-11-24 13:13:15-08:00,2025-11-24,-121.8494162,44.65869158,84PWM552+,1304.0,,,,,,,,Craterellus tubaeformis,"Linn County, US-OR, US",2
19fb793e-df6f-4256-8fc6-d2b7745160ef,327965999,2025-11-23 13:39:13-08:00,2025-11-23,-121.7084191997,45.3303325997,84QW87JR+,1796.0,,4.0,12.0,1.8,3.7,,1019.2,Craterellus tubaeformis,"Timberline Lodge, Oregon 97041, USA",1
7a0aa3c5-e062-4a15-98da-b53617ca4e0e,327965770,2025-11-23 13:51:31-08:00,2025-11-23,-121.7084191997,45.3303325997,84QW87JR+,1796.0,,4.0,12.0,1.8,3.7,,1019.2,Craterellus tubaeformis,"Timberline Lodge, Oregon 97041, USA",1
