uuid,inat_id,timestamp,date,lon,lat,elevation,tavg,tmin,tmax,precipitation,windspeed,winddirection,presure,species,location,num_identification_agreements,olc
f40c7084-7687-46cb-b597-3e09a6052310,387754709,2026-08-02 12:17:46-06:00,2026-08-02,-105.3557082381,36.2045283348,2682.0,,6.5,28.7,0.7,4.4,,,Cystodermella cinnabarina,"Mora County, US-NM, US",1,
2e6b0b21-d8f4-44dc-a6bc-a96b93998e2b,310344281,2025-08-30 11:28:00-06:00,2025-08-30,-105.65508333,35.841675,2736.0,,12.0,28.0,0.0,11.0,,1023.8,Cystodermella cinnabarina,"San Miguel, New Mexico, United States",1,
c5e5d334-f7f6-4df3-aeb8-390ce787a6e8,240064823,2024-09-05 17:31:46-06:00,2024-09-05,-107.79235,38.1113916667,2637.0,,10.0,20.0,0.5,6.8,,1035.6,Cystodermella cinnabarina,"Highland Dr, Ridgway, CO, US",2,
9cebfb69-d862-4632-9896-3c574c3fc396,178281978,2023-08-13 12:00:46-06:00,2023-08-13,-105.4186688476,41.2529508384,2535.0,,8.3,18.5,1.9,17.7,,1021.6,Cystodermella cinnabarina,"Porcupine Hill Rd, Laramie, WY, US",1,
3f693841-7ba1-4869-9809-b451b7372f2c,177759102,2023-07-22 13:49:43-06:00,2023-07-22,-105.2823334185,39.7648358756,2154.0,,15.0,32.0,0.0,8.8,,1024.5,Cystodermella cinnabarina,"Colorado, US",1,
14583d71-58f2-4b27-80ca-c4bb4723e004,134064243,2022-08-23,2022-08-23,-105.2602742985,38.0933705031,3257.0,,14.2,27.7,0.6,6.7,,1015.3,Cystodermella cinnabarina,Wet Mountains,1,
d9dc2548-c08d-449e-b954-bc04cee790f7,124095003,2022-06-29 18:43:17-06:00,2022-06-29,-107.8122722222,37.4207111111,2022.0,,10.0,29.4,0.0,7.8,,1019.8,Cystodermella cinnabarina,"Durango, CO 81301, USA",1,
0aa365a7-b604-4c96-8320-621dc9c42c9a,88890538,2021-07-25 10:04:22-06:00,2021-07-25,-105.64916255,39.6958526996,3000.0,,7.9,27.2,0.5,7.8,,1029.8,Cystodermella cinnabarina,"Colorado, US",1,
5b7f5c02-d3e1-4055-846b-815fa2f9cbd3,60663689,2008-08-19,2008-08-19,-106.426,35.83395,2659.0,,12.0,24.0,,9.2,,,Cystodermella cinnabarina,"Jemez Mountains, Los Alamos, New Mexico, USA",2,
d7e2e574-92a0-4c40-868b-01e0cb2a6bd1,192255947,2023-11-26 14:01:48-08:00,2023-11-26,-122.16840954,44.71020245,536.0,,,,,,,,Cystodermella cinnabarina,"Detroit, OR 97342, USA",1,84PVPR6J+
89724c43-59bf-4763-aab8-8630f68de714,188213908,2023-10-19 14:06:50-07:00,2023-10-19,-122.373755,45.2450666667,359.0,,8.3,21.7,0.0,0.8,,1018.0,Cystodermella cinnabarina,"Beavercreek, OR, US",3,84QV6JWG+
5b9f5166-5c7d-4688-a072-e80da1d9fb2c,190466147,2023-11-08 14:10:52-08:00,2023-11-08,-122.67968,45.449725,97.0,,4.4,12.8,0.0,4.3,,1029.7,Cystodermella cinnabarina,"Tryon Creek State Natural Area, Portland, OR, US",1,84QVC8XC+
91eed4ee-11db-45d1-accf-b9b82c4361bf,190201416,2023-11-05 14:46:54-08:00,2023-11-05,-122.5089734048,45.4463934774,270.0,,8.3,16.1,,8.2,,1010.3,Cystodermella cinnabarina,"Rock Creek, Happy Valley, OR, USA",1,84QVCFWR+
43e7ae7f-1f5b-47a4-a84c-c2d78eb5cf93,188601229,2023-10-22 12:14:08-07:00,2023-10-22,-121.1923887302,45.7135526324,458.0,,11.7,20.0,,15.6,,1009.0,Cystodermella cinnabarina,"Centerville Hwy, Lyle, WA, US",1,84QWPR75+
