uuid,inat_id,timestamp,date,lon,lat,elevation,tavg,tmin,tmax,precipitation,windspeed,winddirection,presure,species,location,num_identification_agreements,olc
48971abb-fa58-4f7f-93bc-df71b17f57c5,349692214,2026-04-13 14:22:25-06:00,2026-04-13,-107.1295611667,37.3287283333,2412.0,,-2.0,12.0,4.1,5.8,,,Deconica coprophila,"Turkey Springs Rd, Pagosa Springs, CO, US",1,
34b60c1d-eaa4-4895-8b92-5bfe836dc481,319571273,2025-08-25 15:10:33-06:00,2025-08-25,-104.9324956379,39.4850566367,1933.0,,14.4,21.0,12.3,9.3,,1023.7,Deconica coprophila,"Sedalia, CO, US",1,
3e16f78c-4b5e-4c16-a52e-3e4cdb5b0824,309361345,2025-08-26 08:55:32-06:00,2025-08-26,-104.9726716667,39.4973616667,1810.0,,13.0,24.0,8.9,10.6,,1025.4,Deconica coprophila,"Sedalia, CO, US",1,
82a05df9-a4ed-49a8-b094-f247d12182ec,309125985,2025-08-25 15:24:33-06:00,2025-08-25,-104.9323361111,39.4828138889,1974.0,,14.4,21.0,12.3,9.3,,1023.7,Deconica coprophila,"Sedalia, CO 80135, USA",2,
1f649545-1d05-4641-aa52-66c392e1352a,305061328,2025-08-09 14:39:06-06:00,2025-08-09,-104.7880119722,39.026808,2133.0,,11.6,30.2,3.2,13.5,,1010.8,Deconica coprophila,"Northgate, Colorado Springs, CO, USA",1,
fe605606-14e9-44e5-a783-c09dd6ca7041,296789137,2025-07-10 10:02:09-06:00,2025-07-10,-104.82423747,38.9118298,1907.0,,15.3,30.4,1.6,17.7,,1009.5,Deconica coprophila,"Northeast Colorado Springs, Colorado Springs, CO, USA",2,
f2d75793-07ea-4607-a7be-2db28586d9bf,295290000,2025-07-04 16:10:34-06:00,2025-07-04,-106.664475,35.903075,2672.0,,15.7,27.1,0.0,12.4,,1024.5,Deconica coprophila,"Santa Fe National Forest, Jemez Springs, NM, US",1,
a86b710c-5d97-43a9-8a90-ce96d370af7d,249053019,2024-10-24 14:42:54-06:00,2024-10-24,-105.6097866667,36.2557216667,2499.0,,-1.1,21.1,0.0,13.7,,1020.3,Deconica coprophila,"Carson National Forest, Ranchos De Taos, NM, US",1,
08a7f1b7-e420-4492-842d-2553e99c21ed,238410357,2024-08-27 10:44:20-06:00,2024-08-27,-103.4554762021,36.8698402804,1648.0,,,,,,,,Deconica coprophila,"Des Moines, NM 88418, USA",1,
505eb846-1d1e-40ba-b62b-0908f914f22c,236657312,2024-08-18 09:52:02-06:00,2024-08-18,-105.4878036756,36.7160729362,2997.0,,12.2,31.7,0.0,12.2,,1020.5,Deconica coprophila,"Carson National Forest, Taos, NM, US",1,
