uuid,inat_id,timestamp,date,lon,lat,olc,elevation,tavg,tmin,tmax,precipitation,windspeed,winddirection,presure,species,location,num_identification_agreements
08fadaf4-9a9e-45b3-ac7d-4c3e0c43453f,349395081,2026-04-12 15:39:31-07:00,2026-04-12,-122.706753,45.520979,84QVG7CV+,155.0,,10.0,12.2,0.1,3.3,,1007.2,Exidia glandulosa,"Kingston & Tichner, Portland, OR 97205, USA",1
9c622287-068b-49ed-a06e-7a260e8daa1a,339843180,2026-02-21 15:49:09-08:00,2026-02-21,-122.730125,45.6171194444,84QVJ789+,4.0,,4.0,8.0,0.3,17.8,,1014.1,Exidia glandulosa,"St. Johns, Portland, OR, USA",1
7ded06ab-3176-4ea8-b5c0-ff9f1f1588d5,338610898,2026-02-14 12:15:18-08:00,2026-02-14,-122.71647,45.6155583333,84QVJ78M+,11.0,,1.1,8.9,2.0,2.2,,,Exidia glandulosa,"Marine Drive Trail, Portland, OR, US",1
e442dba1-e121-43ba-adcf-336500321264,258341486,2025-01-12 11:46:54-08:00,2025-01-12,-122.7019700525,45.4030631012,84QVC73X+,100.0,,2.2,7.2,0.0,4.1,,1032.8,Exidia glandulosa,"Oregon, US",1
47c674f9-2dbb-4150-8753-ee054a41a6a9,211010928,2024-04-28 11:36:37-07:00,2024-04-28,-122.7620403646,45.6487924919,84QVJ6XQ+,24.0,,10.0,13.9,,7.2,,1020.3,Exidia glandulosa,"Kelley Point Park, Portland, OR, US",1
920c2ce9-b58c-49e7-beea-fe0c79fd655d,152778754,2023-03-29 13:55:45-07:00,2023-03-29,-122.6527583333,45.4743694444,84QVF8FW+,7.0,,2.2,14.4,0.0,4.7,,1009.6,Exidia glandulosa,"Sellwood - Moreland, Portland, OR, USA",1
5e1b0f1a-b968-4c50-8894-f1d353e3aba9,146996130,2023-01-20 15:14:03-08:00,2023-01-20,-122.5525110239,45.4279031634,84QVCCHW+,204.0,,1.1,5.0,0.0,4.3,,1032.6,Exidia glandulosa,"Mount Talbert Nature Park, Happy Valley, OR, US",2
3c6b24a1-dbcb-4b3e-bf2f-f845afa7b928,146900065,2023-01-19 09:24:18-08:00,2023-01-19,-122.6483528995,45.4355519874,84QVC9P2+,9.0,,1.1,6.1,0.0,2.2,,1028.5,Exidia glandulosa,"Portland, OR, US",1
25b80b44-504c-40f6-992c-005b6f945694,146382104,2023-01-11 14:32:10-08:00,2023-01-11,-122.3753611111,45.5473583333,84QVGJWF+,17.0,,6.1,8.3,,37.1,,1011.1,Exidia glandulosa,"Troutdale, OR 97060, USA",1
98646d20-09d4-42da-82c5-512f7ef28895,145540244,2022-12-31 15:07:57-08:00,2022-12-31,-122.8470383333,45.50037,84QVG523+,72.0,,3.3,8.9,,4.9,,1012.1,Exidia glandulosa,"Tualatin Hills Nature Park, Beaverton, OR, US",1
dcfb6456-444e-46f7-84a2-346178f55e9a,105411620,2022-01-22 17:00:42+00:00,2022-01-22,-122.6625583333,45.5609166667,84QVH86P+,66.0,,1.7,9.4,0.0,5.8,,1032.1,Exidia glandulosa,"NE Garfield Ave, Portland, OR, US",1
2ac5de39-6381-4887-8a32-e7bea5f28b11,69321535,2021-02-09 13:00:12-08:00,2021-02-09,-122.6080633333,45.5191216667,84QVG99R+,69.0,,-0.5,8.3,0.0,5.8,,1020.6,Exidia glandulosa,"SE Stark St, Portland, OR, US",1
89643fe8-0477-4533-a87c-adc7de1456d3,36490112,2019-12-07 16:01:41+00:00,2019-12-07,-122.6889343262,45.5771903992,84QVH8G6+,41.0,,6.1,7.8,,2.1,,1008.1,Exidia glandulosa,"Kenton, Portland, OR, USA",1
6ac9cf78-74a6-4fdc-9543-a0192a50d59d,19790702,2019-01-21 11:17:27-08:00,2019-01-21,-122.7661132813,45.6477737427,84QVJ6XM+,17.0,,1.7,8.9,,3.3,,1026.0,Exidia glandulosa,"Unnamed Road, Portland, OR 97203, USA",1
ae953281-3951-4095-822b-cee89392fe4c,10445572,2018-03-26 12:31:00-07:00,2018-03-26,-122.7659205627,45.6477387249,84QVJ6XM+,17.0,,4.4,10.0,,7.9,,1027.4,Exidia glandulosa,"North Portland, Portland, OR, USA",2
f1d5a31a-055f-4807-8940-a05ceb2f4e6c,9686258,2018-01-31 09:19:00-08:00,2018-01-31,-122.76307,45.65071,84QVM62P+,3.0,,,,,1.7,,1024.7,Exidia glandulosa,"Multnomah, Oregon, Lewis and Clark National Historic Trail, United States",2
