uuid,inat_id,timestamp,date,lon,lat,olc,elevation,tavg,tmin,tmax,precipitation,windspeed,winddirection,presure,species,location,num_identification_agreements
82364a0e-ba7a-4907-bcc4-82ae94d67b55,390599239,2026-08-12 10:08:36-06:00,2026-08-12,-107.8069155331,37.9352145033,859JW5PV+,2676.0,,13.0,22.0,5.5,2.2,,,Flammulina populicola,"San Miguel County, US-CO, US",1
ee9a3194-853f-4404-9e79-98cd0af855e5,388920847,2026-07-29 11:50:12-06:00,2026-07-29,-105.1254527778,38.8634305556,85CPVV7F+,3134.0,,17.0,29.0,1.5,5.1,,,Flammulina populicola,"Divide, CO 80814, USA",1
cd3cb518-64e8-4c1c-ae52-c8306e7eff1d,387354790,2026-08-01 14:16:32-06:00,2026-08-01,-107.0595599114,38.538705073,85CJGWQR+,2558.0,,10.6,31.1,0.0,5.7,,,Flammulina populicola,"Gunnison County, US-CO, US",1
d4ffbd91-90b7-4f1a-b040-d49455303b7d,387348503,2026-08-01 09:43:48-06:00,2026-08-01,-105.477905,36.1326,858P4GMC+,2710.0,,8.7,24.1,2.7,3.2,,,Flammulina populicola,"Vadito, NM, US",2
c63748f4-3e0e-454d-a90e-7f1bc0a63cf0,387341149,2026-08-01 13:47:58-06:00,2026-08-01,-104.94296108,38.72953371,85CQP3H4+,2981.0,,17.4,29.6,0.0,5.3,,,Flammulina populicola,"Teller County, US-CO, US",1
86628358-d60b-49a1-8c75-dcf8e0883768,387025538,2026-07-31 13:51:51-06:00,2026-07-31,-105.49297,36.1856383333,858P5GP4+,3162.0,,6.7,27.5,5.7,3.9,,,Flammulina populicola,"Forest Service Road 442, Vadito, NM, US",1
4d8b89d0-1cc1-45eb-8ed9-3e5c45853d71,386985098,2026-07-31 09:54:05-06:00,2026-07-31,-105.6722466667,36.0437278333,858P28VH+,2776.0,,16.8,31.6,0.8,15.0,,1017.9,Flammulina populicola,"Trampas Trail, Cordova, NM, US",1
e13517fe-ffcc-4f6f-83d8-e2696007d7af,386164932,2026-07-28 11:21:49-06:00,2026-07-28,-106.664375,35.903145,857MW83P+,2672.0,,21.5,32.6,11.4,6.7,,,Flammulina populicola,"Forest Service Road 144B, Jemez Springs, NM, US",1
6c3a24eb-b43d-4dd2-8556-cc601c3adaef,385079883,2026-07-25 11:36:52-06:00,2026-07-25,-105.918034,35.739887,857PP3QJ+,2135.0,,18.3,31.7,8.8,7.2,,,Flammulina populicola,"Tesuque, NM, USA",1
54ec2bca-b1f5-4dab-8d3e-88ceccbcc2ae,384375295,2026-07-23 15:57:00-06:00,2026-07-23,-105.9486966072,35.7187402464,857PP392+,2215.0,,17.2,31.7,1.0,6.9,,,Flammulina populicola,"New Mexico, US",1
5f2e3532-a37f-45bf-903d-ddff9b4c3611,382787571,2026-07-18 16:13:50-06:00,2026-07-18,-108.1527416667,37.6058616667,859HJR4W+,2623.0,,8.2,23.0,1.8,4.9,,,Flammulina populicola,"Priest Gulch Trail, Dolores, CO, US",1
27c50c17-5b2b-4434-a5a0-086580528ed6,366230963,2026-05-28 10:57:02-06:00,2026-05-28,-107.296845,39.10897,85FJ4P53+,2878.0,,5.0,18.0,0.0,11.9,,,Flammulina populicola,"Gunnison County, US-CO, US",2
0bd32587-074e-4192-b476-816a9dc5d064,329299364,2025-09-01 14:48:43-06:00,2025-09-01,-105.5690121465,39.5108530485,85FPGC6J+,2858.0,,-2.2,10.0,0.0,11.4,,1027.5,Flammulina populicola,"Rosalle Trail, Bailey, CO, US",1
b145e91d-b539-4252-af9a-fba13635daf8,327781136,2025-11-22 14:41:46-07:00,2025-11-22,-107.122275,37.443455,859JCVVH+,2653.0,,-3.0,12.0,0.0,4.2,,1025.8,Flammulina populicola,"County Road 634, Creede, CO, US",1
58965c75-efb2-4382-abfa-0ed9aab06113,326692045,2025-09-28 10:50:28-06:00,2025-09-28,-108.0996127469,39.0529974439,85FH3W32+,2988.0,,13.0,27.0,0.6,6.6,,1022.2,Flammulina populicola,"Grand Mesa Uncompahgre and Gunnison National Forests, Mesa, CO, US",2
b1f83e1d-f823-4617-acab-241da07e57b9,324010158,2025-08-09,2025-08-09,-105.5119999498,39.8431200845,85FPRFVQ+,2776.0,,1.4,12.0,0.2,16.5,,1018.8,Flammulina populicola,"Black Hawk, CO 80422, USA",2
3e8c154f-5274-4e4d-8742-10a94c8fd692,322465078,2025-10-21 17:52:09-06:00,2025-10-21,-107.1220695,37.443155,859JCVVH+,2653.0,,-1.0,17.0,0.0,5.9,,1029.3,Flammulina populicola,"County Road 634, Creede, CO, US",1
4a8968b2-fae2-4395-8b12-78990912b4b8,318997630,2025-10-05 14:16:04-06:00,2025-10-05,-105.7999557857,35.7981136484,857PQ6X2+,3208.0,,6.0,22.0,0.0,8.8,,1016.5,Flammulina populicola,"Santa Fe County, US-NM, US",1
28687b78-52fb-43a9-8dac-49bec5c95ec1,315631278,2025-09-21 13:32:13-06:00,2025-09-21,-106.3849723,35.8912150997,857MVJR8+,2865.0,,13.0,26.0,0.0,8.9,,1022.8,Flammulina populicola,"Los Alamos County, NM, USA",1
9dc528b9-d937-4fe8-a08a-8f94b25682b3,315419485,2025-09-07 13:54:00-06:00,2025-09-07,-105.797227572,35.8081210907,857PR653+,3309.0,,11.0,26.0,0.0,10.6,,1026.6,Flammulina populicola,"Santa Fe County, NM, USA",1
