uuid,inat_id,timestamp,date,lon,lat,olc,elevation,tavg,tmin,tmax,precipitation,windspeed,winddirection,presure,species,location,num_identification_agreements
fb9bcc31-d166-4937-9d20-4a97fe222eb0,340704838,2026-02-28 17:05:45-08:00,2026-02-28,-121.6087808946,45.6885141429,84QWM9QR+,453.0,,-2.0,11.0,0.0,0.4,,,Fomitopsis cajanderi,"Hood River, OR, US",2
b45d9380-4358-419c-9dc2-83f2e54fddca,333177402,2026-01-02 10:14:04-08:00,2026-01-02,-122.3207066246,45.3346368277,84QV8MMH+,149.0,,4.0,7.0,0.1,31.0,,1008.6,Fomitopsis cajanderi,"SE Eagle Fern Rd, Eagle Creek, OR, US",1
a23315d9-f559-47ed-8c23-d3d3801785b5,331747699,2025-12-22 15:15:00-08:00,2025-12-22,-122.2288627881,45.3069906132,84QV8Q4C+,413.0,,6.0,12.0,2.5,8.8,,1011.4,Fomitopsis cajanderi,"Clackamas County, OR, USA",1
8db956e3-fb65-4afc-86f4-ca9aaf9b9395,328304282,2025-11-22 11:35:00-08:00,2025-11-22,-122.1071676639,45.5718223741,84QVHVCV+,398.0,,1.0,7.0,0.0,2.6,,1022.5,Fomitopsis cajanderi,"Multnomah County, OR, USA",1
17614bb3-4ca7-43f0-ab19-154b699332d4,327711155,2025-11-14 14:09:31-08:00,2025-11-14,-121.734825,45.2563366667,84QW7748+,1219.0,,9.0,14.0,0.2,2.2,,1012.1,Fomitopsis cajanderi,"Government Camp, OR, US",1
2a7fc712-3015-4043-9f9b-5ccd800955ae,327547706,2025-11-20 13:14:11-08:00,2025-11-20,-122.0724722222,45.585625,84QVHWPH+,165.0,,4.0,12.0,0.2,8.4,,1018.8,Fomitopsis cajanderi,"Cascade Locks, OR 97014, USA",1
3d613125-10fb-4195-a420-8a4c7aad10b0,325610339,2025-11-07 13:42:00-08:00,2025-11-07,-121.8855273864,45.6595912081,84QWM457+,238.0,,5.0,12.0,0.0,3.2,,1022.1,Fomitopsis cajanderi,"Hood River County, OR, USA",1
41fcf5bb-b22d-444d-ac27-45a6ee8cfacd,271872342,2025-04-20 14:39:38-07:00,2025-04-20,-122.3032,45.48877,84QVFMQW+,72.0,,8.3,14.4,3.2,3.6,,1024.8,Fomitopsis cajanderi,"Oxbow Regional Park, Gresham, OR, US",1
cbf19b96-efb7-400b-9a89-0d01878ad4e0,271752279,2025-04-13 12:45:31-07:00,2025-04-13,-122.0797805,45.5879833333,84QVHWQC+,6.0,,1.7,18.3,0.0,12.1,,1026.3,Fomitopsis cajanderi,"Columbia River Gorge National Scenic Area, Corbett, OR, US",1
1b1a60b6-e54b-47ab-8193-9b513e839e42,266505667,2025-03-19 11:22:03-07:00,2025-03-19,-122.2373472669,45.4414557472,84QVCQR7+,145.0,,6.1,10.6,,22.5,,1020.0,Fomitopsis cajanderi,"SE Camp Namanu Rd, Sandy, OR, US",1
8cf6cf5c-a34f-49cf-a853-76973bffeb3a,260326558,2025-02-01 15:37:00-08:00,2025-02-01,-122.2282373705,45.305411287,84QV8Q4C+,403.0,,2.8,7.8,7.6,4.5,,1015.6,Fomitopsis cajanderi,"Clackamas County, US-OR, US",1
62f138ef-255f-4851-b325-b095331e5216,258079449,2025-01-09 14:05:05-08:00,2025-01-09,-122.0855159722,45.639155,84QVJWQ7+,385.0,,5.6,7.8,0.0,37.5,,1030.0,Fomitopsis cajanderi,"Stevenson, WA 98648, USA",1
80a2f789-8c5e-4577-8c7c-9ac76f48b5f6,255626713,2024-12-19 14:27:28-08:00,2024-12-19,-122.50492266,45.01949331,84QV2F9W+,473.0,,6.1,10.6,,3.0,,1019.3,Fomitopsis cajanderi,"Molalla, OR 97038, USA",1
108b47dd-7c46-414f-a524-2e33f2060862,253077307,2024-11-24 14:42:22-08:00,2024-11-24,-121.8630777778,45.2917,84QW74RP+,740.0,,1.8,5.7,10.1,5.9,,1013.8,Fomitopsis cajanderi,"Rhododendron, OR 97049, USA",1
7fbd8ee4-32cd-4367-8d1f-73a1f0b22861,251255229,2024-11-10 13:27:53-08:00,2024-11-10,-122.0958721667,45.5680083333,84QVHW93+,502.0,,10.0,13.9,,19.2,,1012.3,Fomitopsis cajanderi,"Zigzag Ranger Station, Corbett, OR, US",1
c05e59b8-627e-4510-90e5-d6255f7684ac,249093370,2024-10-19 14:15:33-07:00,2024-10-19,-122.2901772997,45.4971086997,84QVFPW5+,60.0,,12.2,22.8,,5.8,,1023.4,Fomitopsis cajanderi,"FPW6+82V, Corbett, OR 97080, USA",1
38b6a804-f73a-45ea-abcf-e9ddfe2762fe,247146680,2024-10-12 14:42:48-07:00,2024-10-12,-122.3038047997,45.4885555997,84QVFMQW+,72.0,,8.9,24.4,0.0,4.0,,1017.8,Fomitopsis cajanderi,"Gresham, OR 97080, USA",1
6e6953e2-67e0-4fd5-b92c-098cbdd4c080,244591587,2024-09-28 14:30:59-07:00,2024-09-28,-122.5601277778,45.2395055556,84QV6CQQ+,135.0,,10.0,23.3,0.0,7.6,,1012.8,Fomitopsis cajanderi,"Mulino, OR, USA",1
93dec4ae-14f6-4ad3-8a07-f31c215ad56f,214540541,2024-05-08 17:06:43-07:00,2024-05-08,-122.1160805556,45.5495027778,84QVGVXM+,761.0,,4.4,21.7,0.0,6.6,,1028.0,Fomitopsis cajanderi,"Cascade Locks, OR 97014, USA",1
56a70fee-16d5-4661-a9ad-df54ef4cdf9e,208801010,2024-04-22 15:39:14-07:00,2024-04-22,-122.0194348721,45.370697944,84QV9XCJ+,367.0,,2.8,22.2,0.0,4.0,,1018.7,Fomitopsis cajanderi,"E Blue Jay Ln, Brightwood, OR, US",1
40861b62-1fd1-41b3-998f-7a2d22e38434,195433429,2023-12-31 15:13:17-08:00,2023-12-31,-121.8232265662,45.6745495587,84QWM5FG+,255.0,,1.3,6.7,0.0,4.0,,1023.1,Fomitopsis cajanderi,"Columbia River Gorge National Scenic Area, Cascade Locks, OR, US",1
46ead746-6e03-4ba4-8013-aae1dcf70e3e,193354607,2023-12-07 09:20:59-08:00,2023-12-07,-121.9390529548,45.2878448782,84QW73Q6+,534.0,,7.8,10.6,,11.7,,1014.8,Fomitopsis cajanderi,"Zigzag Ranger Station, Welches, OR, US",1
34ba2ece-1f94-4ef8-8949-9271e3479968,192252280,2023-11-26 13:31:43-08:00,2023-11-26,-122.4912668573,45.3436918038,84QV8GV5+,102.0,,6.7,11.1,0.0,38.4,,1023.9,Fomitopsis cajanderi,"Oregon City, OR 97045, USA",1
fca08917-f43b-428d-a3be-189dd0345790,191151183,2023-11-14 15:39:37-08:00,2023-11-14,-122.0327984557,45.3803491258,84QV9XJ8+,332.0,,5.0,14.4,,4.4,,1015.6,Fomitopsis cajanderi,"E Barlow Trail Rd, Brightwood, OR, US",1
401d7a66-a4f5-41f3-a587-25e6ddef9bf6,188603116,2023-10-21 10:36:31-07:00,2023-10-21,-121.8438633333,44.65433,84PWM534+,1236.0,,,,,,,,Fomitopsis cajanderi,"Bosque Nacional De Willamette, Idanha, OR, US",1
a46aa8d1-2482-47a0-8d71-e5252c5d3502,188576833,2023-10-21 14:45:57-07:00,2023-10-21,-122.2901083333,45.4955666667,84QVFPW5+,63.0,,12.8,16.7,0.3,2.0,,1011.7,Fomitopsis cajanderi,"Oxbow Regional Park, Corbett, OR, US",1
fff53de3-d4bc-407a-bfc2-488ca4d9e68c,187932293,2023-10-16 13:14:41-07:00,2023-10-16,-122.1257638333,45.5715716667,84QVHVCF+,270.0,,13.9,21.7,,11.9,,1015.1,Fomitopsis cajanderi,"Benson State Park, Corbett, OR, US",1
56373041-4920-4a8c-9413-3f4e24ee9b74,185969143,2023-10-02 15:42:55-07:00,2023-10-02,-122.2417526245,45.4472961426,84QVCQW5+,114.0,,10.6,16.1,,5.1,,1018.0,Fomitopsis cajanderi,"Clackamas County, US-OR, US",1
f8a2dd8e-990c-4fba-b2a6-7678859a0f36,172278491,2023-07-10 13:32:00-07:00,2023-07-10,-121.90534,44.61478,84PWJ37V+,995.0,,,,,,,,Fomitopsis cajanderi,"Linn County, OR, USA",1
dd4af708-2fae-42d7-8bca-0242faff4732,156855128,2023-04-24 14:44:26-07:00,2023-04-24,-121.8815616667,45.60737,84QWJ449+,242.0,,5.6,13.2,4.3,14.8,,1019.1,Fomitopsis cajanderi,"Columbia River Gorge National Scenic Area - Headquarters, Cascade Locks, OR, US",1
12eb8bae-2555-4de7-9844-ba21db9860be,150848673,2023-03-09 16:50:07-08:00,2023-03-09,-122.303305,45.4888116667,84QVFMQW+,72.0,,4.4,6.1,,29.7,,1007.2,Fomitopsis cajanderi,"Oxbow Regional Park, Gresham, OR, US",1
235a1339-5ae9-4c58-90b3-c475835b1b4b,132289527,2019-10-09 11:40:11-07:00,2019-10-09,-122.3061450943,45.5011467383,84QVGM2V+,48.0,,2.2,13.9,0.0,3.7,,1026.2,Fomitopsis cajanderi,Oxbow Regional Park,1
ceb4063e-bb54-45c9-9db3-3e5ca503e45d,92055363,2021-08-21 10:17:02-07:00,2021-08-21,-122.2838220786,45.1816705386,84QV5PJ8+,517.0,,15.0,22.8,,4.7,,1011.6,Fomitopsis cajanderi,"97023, Estacada, OR, US",1
1ef64e20-813e-44a3-a1b1-a4e1164e8814,83839828,2021-06-16 19:57:52-07:00,2021-06-16,-121.816575,45.495125,84QWF5WM+,1024.0,,12.2,27.2,0.0,5.4,,1024.3,Fomitopsis cajanderi,"Lost Lake Resort & Campground, Mount Hood Parkdale, OR, US",1
1ac02457-f872-45c4-b0c3-3e3055d374e3,78391692,2021-05-11 13:37:12-07:00,2021-05-11,-122.3032833333,45.48878,84QVFMQW+,72.0,,6.7,24.4,0.0,5.2,,1020.9,Fomitopsis cajanderi,"Oxbow Regional Park, Gresham, OR, US",1
6d3e0ea1-e511-4525-a8a7-7a73e6c3c5e8,70713767,2021-03-06 14:43:23-08:00,2021-03-06,-122.3054669907,45.489705569,84QVFMQV+,28.0,,5.0,12.2,,6.4,,1017.5,Fomitopsis cajanderi,"Oxbow Regional Park, Gresham, OR, US",1
