uuid,inat_id,timestamp,date,lon,lat,olc,elevation,tavg,tmin,tmax,precipitation,windspeed,winddirection,presure,species,location,num_identification_agreements
32c3c767-e5f5-4522-a34b-6e80ad2dce97,374122188,2026-06-21 13:40:14-07:00,2026-06-21,-121.7735616667,45.4034533333,84QWC63G+,1360.0,,11.0,28.0,0.0,4.1,,,Fomitopsis ochracea,"Timberline Trail, Mount Hood Parkdale, OR, US",1
7a40319a-6933-45c1-bded-122900d6ed24,315619158,2025-09-20 14:48:56-07:00,2025-09-20,-121.7800878833,45.3163146278,84QW8689+,1175.0,,11.0,27.0,0.0,5.3,,1012.9,Fomitopsis ochracea,"Mt Hood, OR 97041, USA",1
68f7c888-1cb7-4de0-b69c-bab1f9771a6f,297491038,2025-07-12 13:10:47-07:00,2025-07-12,-122.0748305556,45.5305305556,84QVGWJG+,1096.0,,16.1,32.2,0.0,4.5,,1017.9,Fomitopsis ochracea,"Cascade Locks, OR 97014, USA",1
e11af16d-b8f8-4421-b01c-e870e2a0fed4,282423799,2025-05-15 11:06:53-07:00,2025-05-15,-122.30550958,45.48984627,84QVFMQV+,28.0,,10.6,14.4,6.7,2.6,,1021.7,Fomitopsis ochracea,"Multnomah County, US-OR, US",2
b947709e-1af0-4405-959f-63a39339a3ed,277024638,2025-04-24 11:29:30-07:00,2025-04-24,-121.906350275,45.3226138361,84QW83FV+,543.0,,5.0,23.9,0.0,11.6,,1012.6,Fomitopsis ochracea,"Rhododendron, OR 97049, USA",1
13c7f96d-42cf-4d30-881b-722e811579ff,272780444,2025-04-24 11:26:10-07:00,2025-04-24,-121.90630354,45.32246532,84QW83CV+,543.0,,5.0,23.9,0.0,11.6,,1012.6,Fomitopsis ochracea,"Clackamas County, US-OR, US",1
c71436eb-0a3a-4eef-95be-fa29771f6980,258753567,2023-05-22 10:07:16-07:00,2023-05-22,-121.8366744671,45.6717331686,84QWM5C7+,414.0,,9.8,16.2,0.0,20.1,,1022.0,Fomitopsis ochracea,"Skamania County, US-WA, US",1
e1b00938-dd33-4667-a40f-38c489b878e9,250870145,2024-11-07 11:37:01-08:00,2024-11-07,-122.1071268619,45.3000971536,84QV8V2V+,576.0,,10.0,15.6,0.0,33.7,,1023.3,Fomitopsis ochracea,"Clackamas County, US-OR, US",1
9f152d43-fc9a-45a6-a27a-84ebc0c1f7fe,199834383,2024-02-19 10:23:51-08:00,2024-02-19,-122.1169277778,45.3954527778,84QV9VWM+,380.0,,6.7,10.6,,34.4,,1006.0,Fomitopsis ochracea,"Sandy, OR 97055, USA",1
f0e51f8e-c719-490e-8348-b358de05273e,186626490,2023-10-07 17:33:14-07:00,2023-10-07,-122.18279675,45.36783258,84QV9R98+,376.0,,18.3,28.3,0.0,25.4,,1012.4,Fomitopsis ochracea,"Sandy, OR 97055, USA",1
