uuid,inat_id,timestamp,date,lon,lat,olc,elevation,tavg,tmin,tmax,precipitation,windspeed,winddirection,presure,species,location,num_identification_agreements
89d84c76-dfc4-4c04-80b6-600db9ca1a39,390659459,2026-08-08 13:52:23-06:00,2026-08-08,-106.5347533333,35.8202466667,857MRFC8+,2583.0,,16.7,31.2,6.0,7.8,,,Fomitopsis schrenkii,"Jemez National Recreation Area, Jemez Springs, NM, US",1
4187c0b7-b5bb-4637-81cc-47a5f753bbeb,390657009,2026-08-08 13:31:02-06:00,2026-08-08,-106.5334083333,35.8187033333,857MRF98+,2620.0,,16.7,31.2,6.0,7.8,,,Fomitopsis schrenkii,"East Fork Jemez River, Jemez Springs, NM, US",1
19b41b79-84f0-4266-94c0-e5c3af7198a0,389873238,2026-08-09 15:41:03-06:00,2026-08-09,-107.9346366992,37.7849224234,859JQ3M8+,3182.0,,13.0,27.0,0.0,4.9,,,Fomitopsis schrenkii,"Dolores County, US-CO, US",1
320a3bf2-66a0-40f6-abe7-2eefaf684ee1,389713130,2026-08-09 11:00:02-06:00,2026-08-09,-106.3987309579,35.8968535066,857MVJW2+,2887.0,,20.2,32.3,8.8,8.3,,,Fomitopsis schrenkii,"Los Alamos County, NM, USA",2
47986e4d-f48a-4b98-8065-075561552718,387340979,2026-08-01 12:55:34-06:00,2026-08-01,-105.496190019,36.1143838625,858P4G73+,2657.0,,8.7,24.1,2.7,3.2,,,Fomitopsis schrenkii,"Agua Sarca Trail, Vadito, NM, US",1
b8a24e9b-f049-4fe2-9a35-91829680bdc8,387290836,2026-08-01 10:05:47-06:00,2026-08-01,-105.5282822996,36.1316026436,858P4FJC+,2596.0,,14.5,29.6,2.4,11.8,,1019.3,Fomitopsis schrenkii,"Vadito, NM 87579, USA",1
2eed5fc5-40c5-43f4-a00d-7e67a80683cf,387287439,2026-08-01 11:02:31-06:00,2026-08-01,-105.5293772997,36.1270434997,858P4FGC+,2653.0,,14.5,29.6,2.4,11.8,,1019.3,Fomitopsis schrenkii,"Vadito, NM 87579, USA",1
822bf430-ee6e-4adb-b821-e9b5da9347eb,387285778,2026-08-01 10:57:06-06:00,2026-08-01,-105.5310027778,36.1259388889,858P4FG9+,2653.0,,14.5,29.6,2.4,11.8,,1019.3,Fomitopsis schrenkii,"Vadito, NM 87579, USA",1
d1c2e743-fdd1-48b9-bef4-651b4159c3b8,387283918,2026-08-01 09:55:26-06:00,2026-08-01,-105.5281,36.132125,858P4FJC+,2596.0,,14.5,29.6,2.4,11.8,,1019.3,Fomitopsis schrenkii,"Vadito, NM 87579, USA",1
aabfd173-1cef-4811-b1e4-37e229109830,386411685,2026-07-29 16:21:20-06:00,2026-07-29,-107.8744386212,37.9121710243,859JW46G+,3027.0,,12.0,25.0,10.3,4.2,,,Fomitopsis schrenkii,"Grand Mesa Uncompahgre and Gunnison National Forests, Telluride, CO, US",1
b1033b2a-d8b9-403e-b68c-7e2a011adb08,385939827,2026-07-26 13:48:22-06:00,2026-07-26,-106.7656250934,36.114745966,858M467M+,2825.0,,,,,,,,Fomitopsis schrenkii,"Rio Arriba County, US-NM, US",1
53ae2427-cfb5-426f-8fb1-b8033676aeb2,383304828,2026-07-14 08:40:07-06:00,2026-07-14,-105.1052539576,36.4245065969,858PCVFV+,2865.0,,2.8,27.0,0.2,4.0,,,Fomitopsis schrenkii,"Colfax County, US-NM, US",1
918ed3e2-4746-4223-aac3-2f5ae240fa27,383304784,2026-07-14 08:39:45-06:00,2026-07-14,-105.1052539576,36.4245065969,858PCVFV+,2865.0,,2.8,27.0,0.2,4.0,,,Fomitopsis schrenkii,"Colfax County, US-NM, US",1
