uuid,inat_id,timestamp,date,lon,lat,elevation,tavg,tmin,tmax,precipitation,windspeed,winddirection,presure,species,location,num_identification_agreements
997b5a1e-f96d-47c1-b2a5-f73f37be1f55,387754852,2026-08-02 13:09:59-06:00,2026-08-02,-105.3572319839,36.2116197878,2681.0,,6.5,28.7,0.7,4.4,,,Ganoderma applanatum,"Mora County, US-NM, US",2
a7cba203-dbd9-4a2d-87d4-84c736dcd67c,348833364,2026-03-30 11:21:00-06:00,2026-03-30,-105.8085027778,35.7702638889,2958.0,,3.3,23.9,0.0,8.0,,,Ganoderma applanatum,"Santa Fe County, NM, USA",1
71dd1a11-431a-4a12-980d-7d2654a6502d,323932729,2025-10-20 19:58:13-06:00,2025-10-20,-105.0001972217,39.6080333333,1668.0,,4.0,17.0,0.0,23.8,,1017.5,Ganoderma applanatum,"Ketring Park, Littleton, CO, US",1
e01d60a9-5d2f-4032-afe8-82d443f34483,316846300,2025-09-26 11:58:00-06:00,2025-09-26,-105.83568611,35.71952778,2670.0,,9.0,26.0,0.0,9.4,,1021.0,Ganoderma applanatum,"Santa Fe, New Mexico, United States",2
dc6762d0-d8ab-489d-851c-82d235cafeac,310137121,2025-08-29 16:51:24-06:00,2025-08-29,-105.2390216667,39.4662633333,2225.0,,14.0,27.0,5.8,10.4,,1023.3,Ganoderma applanatum,"Elkhorn Trail, Conifer, CO, US",1
85043a59-0eba-48f8-b22f-e69a96a0fbbf,309557463,2025-08-27 09:09:22-06:00,2025-08-27,-103.61993782,43.80499056,1728.0,,11.0,23.0,0.0,9.9,,1022.9,Ganoderma applanatum,"Custer County, US-SD, US",1
c2066f57-0a54-4260-ba7c-0b866933721b,307199748,2025-08-17 16:43:51-06:00,2025-08-17,-107.9027116667,37.8200083333,3169.0,,8.0,23.0,0.1,9.2,,1031.8,Ganoderma applanatum,"Lizard Head Trail, Telluride, CO, US",1
311b3dc4-c816-4f8b-9941-3e86b735f292,306324268,2025-08-14 12:30:00-06:00,2025-08-14,-107.9016377633,37.8191012428,3123.0,,14.0,23.0,1.2,9.1,,1030.5,Ganoderma applanatum,"Telluride, CO, US",1
3f0c7a92-39fc-4b07-be13-c0764f6da820,305040459,2025-08-09 13:12:39-06:00,2025-08-09,-106.8235176802,39.5602633307,2718.0,,12.2,29.4,0.0,11.1,,1013.3,Ganoderma applanatum,"Gypsum, CO 81637, USA",1
7b6c4cb8-a13d-44b2-aafd-66a2397e10c7,304619757,2025-08-07 11:18:08-06:00,2025-08-07,-105.0286416667,39.1219,2813.0,,14.5,34.0,0.0,18.4,,1013.4,Ganoderma applanatum,"Pike and San Isabel National Forests, Woodland Park, CO, US",2
212c1b71-d657-41b3-b034-72b5b89719a9,301278091,2025-07-23 15:13:28-06:00,2025-07-23,-106.8109764225,39.0427216666,3078.0,,11.7,25.6,0.0,10.8,,1012.4,Ganoderma applanatum,"Pitkin County, US-CO, US",1
9ffd819d-ce9e-45a2-a022-c267902d0ccf,299068997,2025-07-18 10:01:35-06:00,2025-07-18,-106.3799666667,39.6353533333,2702.0,,1.9,15.5,1.1,9.2,,1019.4,Ganoderma applanatum,"Strawberry Lane Trail, Vail, CO, US",1
26b453ae-815b-4271-a24a-e662361168ef,293013893,2025-06-26 13:24:08-06:00,2025-06-26,-108.1665227247,39.1909379964,1656.0,,15.0,33.9,0.0,13.3,,1010.0,Ganoderma applanatum,"Mesa County, US-CO, US",1
92a00b16-1a89-478d-b78e-879030bc1c91,284132817,2025-05-24 14:44:22-06:00,2025-05-24,-105.8580361111,38.3797472222,2624.0,,4.9,25.4,0.0,16.2,,1019.0,Ganoderma applanatum,"Howard, CO, USA",1
b98bc797-7b51-4b57-9096-a65d578108e9,273454645,2024-09-28 12:08:00-06:00,2024-09-28,-105.1791005577,40.0512330126,1565.0,,13.0,32.0,0.0,3.3,,1023.8,Ganoderma applanatum,"Boulder County, CO, USA",1
d99abbb0-c9cb-428e-abcf-500049eea2c3,250195028,2024-10-30 10:05:44-06:00,2024-10-30,-108.0347213745,38.2870483398,2615.0,,-0.6,5.0,,7.7,,1016.3,Ganoderma applanatum,Montrose,2
c719047b-221a-4638-8e67-22b8f4a512fd,244430474,2024-09-15 12:35:55-06:00,2024-09-15,-107.2606739722,39.138271,2287.0,,6.5,15.8,0.4,11.0,,1014.0,Ganoderma applanatum,"Pitkin County, US-CO, US",1
ed656d43-a373-49b5-83fc-fa5680aca836,240859652,2024-09-08 15:06:00-06:00,2024-09-08,-108.0635638889,37.8832138889,2898.0,,10.0,20.0,0.3,8.9,,1032.5,Ganoderma applanatum,"San Miguel County, CO, USA",1
0fe710bd-b346-425c-988b-867b039a945d,237003675,2024-08-19 10:58:57-06:00,2024-08-19,-105.3749438144,39.5006465027,2570.0,,17.2,29.4,,12.0,,1017.6,Ganoderma applanatum,"Staunton State Park, Pine, CO, US",2
7aa06437-18e1-4eea-9cc1-e543cdb6dc13,236180945,2024-08-16 12:52:53-06:00,2024-08-16,-105.385708951,36.6765210859,2761.0,,5.1,26.6,0.0,8.0,,1031.2,Ganoderma applanatum,"Carson National Forest, Taos, NM, US",1
bf490975-c644-4194-a908-b71cd662f155,235003066,2024-08-10 16:07:57-06:00,2024-08-10,-107.8754192871,37.9150676826,2949.0,,11.0,21.0,15.5,5.6,,1034.2,Ganoderma applanatum,"Grand Mesa Uncompahgre and Gunnison National Forests, Telluride, CO, US",1
ee0730a8-03c1-4664-addb-0e33df1d65e1,229370126,2024-06-30 12:22:21-06:00,2024-06-30,-104.853477,38.822167,1858.0,,15.0,29.0,3.7,19.5,,1026.0,Ganoderma applanatum,bear creek colorado springs colorado,1
e25a5c64-93cd-4e0a-9056-4278fd6d8eba,222779982,2024-06-14 18:12:38-06:00,2024-06-14,-103.7754976004,44.3594347194,1681.0,,14.0,28.0,0.6,10.2,,1014.5,Ganoderma applanatum,"Deadwood, SD 57732, USA",1
4cefe005-b779-4106-8e42-c48ac39fc6e8,179076052,2023-08-18 19:05:32-06:00,2023-08-18,-107.8142083333,37.9381216667,2690.0,,11.0,22.0,3.3,5.9,,1032.5,Ganoderma applanatum,"Grand Mesa Uncompahgre and Gunnison National Forests, Telluride, CO, US",2
fe41cb1c-d57f-41db-a263-55b719e79077,174403751,2023-07-22 12:35:08-06:00,2023-07-22,-105.8037866667,35.7755966667,3084.0,,16.7,30.0,0.0,19.9,,1016.0,Ganoderma applanatum,"Santa Fe National Forest, Santa Fe, NM, US",1
b691d092-5180-4eb8-95d8-03d487f63396,137543979,2022-09-27 16:13:04-06:00,2022-09-27,-105.18325,36.62065,2842.0,,-2.9,20.0,0.2,5.9,,1034.0,Ganoderma applanatum,"Cimarron, NM, US",1
71cde48c-1efb-4732-a378-8c71bacfd264,133411997,2022-08-25 15:13:51-06:00,2022-08-25,-103.8371268847,43.9972318129,1871.0,,10.0,18.9,,12.7,,1020.5,Ganoderma applanatum,"Black Hills National Forest, Hill City, SD, US",1
96454701-fe14-49b4-9754-aba4d10ae704,132586893,2022-08-26 16:53:58-06:00,2022-08-26,-106.994295,38.87303,2743.0,,11.1,18.3,,6.3,,1020.7,Ganoderma applanatum,"Grand Mesa Uncompahgre and Gunnison National Forests, Crested Butte, CO, US",1
c6bd6da0-fe01-42e1-ba11-a58079692fc7,94178382,2021-09-08 15:28:05-06:00,2021-09-08,-107.66165,37.785555,3110.0,,11.0,26.0,0.0,9.6,,1034.2,Ganoderma applanatum,"County Road 33, CO, US",1
f2aece67-e4fc-44dd-a3e0-d66df90bf638,93106886,2021-08-30 10:01:58-06:00,2021-08-30,-105.501975,36.5921166667,2844.0,,8.9,29.4,0.0,9.8,,1016.5,Ganoderma applanatum,"Carson National Forest, Taos, NM, US",1
ea023630-57d4-4a4f-bdca-ead88c16d039,57792105,2020-08-20 13:01:24-04:00,2020-08-20,-105.26017833,40.01244722,1616.0,,,,,10.4,,,Ganoderma applanatum,"28th St, Boulder, CO, US",2
bf33e6f2-cae6-425c-a89a-387210d2398e,29508036,2019-07-24 17:21:45-06:00,2019-07-24,-105.1574555,37.4273383333,2964.0,,,,,,,,Ganoderma applanatum,"3313–3361 Forbes Park Rd, Fort Garland, CO, US",1
bab25c6c-8dfe-4c35-9d97-5fafd6ab2884,18983662,2018-07-24 14:53:56-06:00,2018-07-24,-105.5828783333,40.0791333333,3204.0,,16.0,30.0,,3.4,,,Ganoderma applanatum,"Long Lake Rd, Ward, CO, US",1
383aa6a9-547b-47a0-9b2d-d6166e1fa448,16214208,2018-08-25 15:05:52-06:00,2018-08-25,-106.3323052973,37.4729451972,2835.0,,9.4,24.4,2.5,8.6,,1016.1,Ganoderma applanatum,"Rio Grande County, CO, USA",1
f5376c07-a7c6-4817-9ca9-84115a116fe0,8266492,2017-09-02 13:01:33-06:00,2017-09-02,-106.2800911432,39.7904809612,2864.0,,9.0,23.0,,3.7,,,Ganoderma applanatum,"Colorado, US",1
1a3f6086-0c84-40a8-81fc-e125b2d02bee,6836496,2016-08-17 13:51:09-06:00,2016-08-17,-108.435355,37.76472,2488.0,,,,,,,,Ganoderma applanatum,"lone mesa state park, co",1
5612bcc5-b410-4c3b-9acb-1a7e15509456,4747239,2014-08-15,2014-08-15,-107.836,37.9421,2652.0,,,,,7.1,,,Ganoderma applanatum,"Telluride, Colorado, USA",2
