uuid,inat_id,timestamp,date,lon,lat,elevation,tavg,tmin,tmax,precipitation,windspeed,winddirection,presure,species,location,num_identification_agreements,olc
06076f31-2c32-47de-8814-887dd572dce5,392513163,2026-08-18 14:06:24-07:00,2026-08-18,-121.9429138141,45.3058974217,473.0,,14.4,26.8,0.0,8.6,,1019.7,Ganoderma oregonense,"Clackamas County, US-OR, US",1,
2951fc54-04c7-41a6-943c-67c3531a4cb3,391575696,2026-08-15 16:34:34-07:00,2026-08-15,-122.1829331943,45.3675313725,376.0,,16.7,22.2,0.0,1.7,,,Ganoderma oregonense,"SE Hwy 26, Sandy, OR, US",2,
549ea12c-5bd9-468c-865f-299609a47572,356288398,2026-04-28 11:34:00-07:00,2026-04-28,-122.1139316667,45.5415716667,854.0,,9.5,14.1,0.4,4.5,,1022.9,Ganoderma oregonense,"Multnomah County, OR, USA",1,
43de0ec3-2bd6-490e-bab5-b6a001f1a524,353977651,2026-04-25 15:53:29-07:00,2026-04-25,-122.0439528333,45.331805,1014.0,,3.9,20.6,0.0,3.5,,,Ganoderma oregonense,"Zigzag Ranger Station, Sandy, OR, US",1,
46aee75d-8d95-4102-94cd-5159545ca026,340907716,2026-03-01 16:38:00-08:00,2026-03-01,-122.2264967674,45.3063056372,370.0,,5.0,16.0,0.0,13.0,,1016.4,Ganoderma oregonense,"Clackamas County, OR, USA",2,
3b14078e-ae60-4544-a9c4-3b9d16d55be2,340681645,2026-02-25 10:38:00-08:00,2026-02-25,-122.1571416667,45.51927,600.0,,1.1,10.6,0.0,1.4,,,Ganoderma oregonense,"E Larch Mountain Rd, Corbett, OR, US",1,
3dd7b4f9-d79b-46f3-9b9e-1e19bec49afd,340531892,2026-02-27 14:01:28-08:00,2026-02-27,-121.966873374,45.2931985511,618.0,,-0.6,13.3,0.0,1.8,,,Ganoderma oregonense,"Clackamas County, US-OR, US",1,
1f1b0653-3938-46fc-8abd-eff41e6bbd6f,331960972,2025-12-24 13:22:20-08:00,2025-12-24,-122.29968403,45.48477641,241.0,,5.0,11.0,0.1,19.2,,998.8,Ganoderma oregonense,"Gresham, OR 97080, USA",2,
c8c917bd-5d30-4cc8-b007-5c2bd2f08d89,328851571,2025-11-28 12:15:15-08:00,2025-11-28,-122.2183616667,45.536255,163.0,,8.0,12.0,4.5,22.8,,1021.2,Ganoderma oregonense,"Columbia River Gorge, Corbett, OR, US",1,
d80303a4-d47d-499d-96f0-e7025776fff3,326415288,2025-11-13 14:07:53-08:00,2025-11-13,-121.5375906229,45.8044612707,259.0,,6.4,12.0,2.2,2.7,,1007.2,Ganoderma oregonense,"White Salmon, WA 98672, USA",1,
