uuid,inat_id,timestamp,date,lon,lat,elevation,tavg,tmin,tmax,precipitation,windspeed,winddirection,presure,species,location,num_identification_agreements,olc
d6505698-dbf3-49ca-8884-b0f0890a6718,178588909,2023-08-15 11:50:33-06:00,2023-08-15,-109.2728416667,38.492455,2865.0,,,,,,,,Ganoderma polychromum,"Manti-La Sal National Forest, Moab, UT, US",1,
2e9f73dd-7355-416f-be62-98dd4fd0bb44,244822316,2024-09-29 15:33:24-07:00,2024-09-29,-121.752823,45.3021255,1196.0,,10.0,18.8,0.0,16.0,,1022.3,Ganoderma polychromum,"Mt. Hood Park Division Recreation Area, Government Camp, OR, US",1,
f431a81b-4298-43dc-8c04-f7fdeb6917d4,90911836,2021-08-12 09:11:21-07:00,2021-08-12,-121.7340545654,45.3387336731,1747.0,,,,,,,,Ganoderma polychromum,"Clackamas County, US-OR, US",1,
30181da8-d412-4e50-a046-07a04867e0f9,56242081,2020-08-09 15:16:05-07:00,2020-08-09,-121.618095,45.34233667,1569.0,,16.1,31.1,0.0,14.6,,1019.6,Ganoderma polychromum,"Mt. Hood Park Division Recreation Area, Mount Hood Parkdale, OR, US",1,
d8dab27d-a25e-4ac6-96a7-3ca143a3f15a,190621147,2023-11-10 14:41:12-08:00,2023-11-10,-122.5638966667,45.167,98.0,,5.0,12.2,0.0,8.7,,1021.6,Ganoderma polychromum,"S McCown Rd, Molalla, OR, US",1,84QV5C8P+
6c41d74b-2ca6-4d5f-9d85-c691f017e79c,9467341,2018-01-13 15:15:19-08:00,2018-01-13,-122.352705,45.2922283333,147.0,,8.3,15.0,0.0,12.5,,1027.5,Ganoderma polychromum,"Milo McIver State Park, Estacada, OR, US",1,84QV7JRW+
1f694d39-e2cc-4154-a26d-379b49b4a1c3,389874661,2026-08-09 19:21:32-07:00,2026-08-09,-122.8079605103,45.4328155518,73.0,,12.8,29.4,0.0,5.3,,,Ganoderma polychromum,Tigard,1,84QVC5MR+
2b2359ed-b4a6-48a1-84b6-7e87283c62f1,244197350,2024-09-26 13:46:44-07:00,2024-09-26,-122.8081436157,45.4290733337,71.0,,8.3,20.0,0.0,5.3,,1016.4,Ganoderma polychromum,Tigard,1,84QVC5HR+
7bf26fb4-c8c5-4a8b-90b4-f73da1bfdc62,241701105,2024-09-14 11:45:52-07:00,2024-09-14,-122.8084411621,45.429107666,81.0,,12.8,21.7,,5.7,,1013.3,Ganoderma polychromum,Tigard,1,84QVC5HR+
6f9b1020-6bdf-491e-a53e-d5c7a421bdf7,229116433,2024-07-13 10:39:20-07:00,2024-07-13,-122.7485222222,45.5932055556,44.0,,15.0,32.8,0.0,9.6,,1015.1,Ganoderma polychromum,"St. Johns, Portland, OR, USA",1,84QVH7V2+
f8f6be9e-6f00-45cf-ad73-d7ca1bce060e,188635129,2023-10-21 15:29:59-07:00,2023-10-21,-122.7422953446,45.5665476677,8.0,,10.6,15.6,,1.4,,1012.3,Ganoderma polychromum,"Oregon, US",1,84QVH785+
914c193a-56cd-4d37-9df7-3ce61c815dc8,179460879,2023-07-28 14:17:00-07:00,2023-07-28,-122.6566222222,45.5737777778,38.0,,15.0,28.3,0.0,13.0,,1017.4,Ganoderma polychromum,"Northeast Portland, Portland, OR, USA",1,84QVH8FV+
