uuid,inat_id,obscured,geoprivacy,taxon_geoprivacy,positional_accuracy,public_positional_accuracy,location_precision,timestamp,date,lon,lat,olc,elevation,tavg,tmin,tmax,precipitation,windspeed,winddirection,presure,species,location,num_identification_agreements,kingdom,phylum,class,order,family,genus,taxon_id,taxon_rank,taxon_name,common_name
d51ef692-a1c9-4c28-ac71-2e0c12b956c6,333514124,False,,,,,unknown,2026-01-04 14:11:25-08:00,2026-01-04,-122.6132278333,45.5744781389,84QVH900+,7.0,,5.6,11.7,7.6,16.2,,1001.8,Gloeoporus dichrous,"Whitaker Ponds, Portland, OR 97218, USA",2,Fungi,Basidiomycota,Agaricomycetes,Polyporales,Irpicaceae,Gloeoporus,202418,species,Gloeoporus dichrous,bicoloured bracket
0cfb5bd9-9697-49e9-bae6-f4bc24226b46,326521969,False,,,3.0,3.0,precise,2025-11-14 13:19:03-08:00,2025-11-14,-122.7476511151,45.5856322208,84QVH700+,48.0,,11.0,15.0,0.2,7.9,,1013.0,Gloeoporus dichrous,"SE Powell & 145th, Portland, OR 97236, USA",1,Fungi,Basidiomycota,Agaricomycetes,Polyporales,Irpicaceae,Gloeoporus,202418,species,Gloeoporus dichrous,bicoloured bracket
da3b23f6-f640-4d17-8c79-b5e42d55e036,193620455,False,,,4.0,4.0,precise,2023-12-10 10:13:59-08:00,2023-12-10,-121.5198366667,45.7095216667,84QWPF00+,69.0,,1.7,7.8,29.7,4.9,,1022.2,Gloeoporus dichrous,"Columbia River Gorge National Scenic Area, Hood River, OR, US",1,Fungi,Basidiomycota,Agaricomycetes,Polyporales,Irpicaceae,Gloeoporus,202418,species,Gloeoporus dichrous,bicoloured bracket
9c1c0fa7-19a4-4ae2-9670-440320ce5b5b,189765547,False,,,4.0,4.0,precise,2023-11-02 08:51:46-07:00,2023-11-02,-122.5864047557,45.5636967953,84QVHC00+,30.0,,10.0,20.0,1.5,17.6,,1015.2,Gloeoporus dichrous,"Cully, Portland, OR, USA",1,Fungi,Basidiomycota,Agaricomycetes,Polyporales,Irpicaceae,Gloeoporus,202418,species,Gloeoporus dichrous,bicoloured bracket
dc37e446-7cbc-44c2-83c1-265f8a177c63,189437562,False,,,,,unknown,2023-10-29 17:12:32-07:00,2023-10-29,-122.6529694444,45.4798555556,84QVF800+,18.0,,1.1,15.0,0.0,12.2,,1029.9,Gloeoporus dichrous,"Sellwood - Moreland, Portland, OR, USA",1,Fungi,Basidiomycota,Agaricomycetes,Polyporales,Irpicaceae,Gloeoporus,202418,species,Gloeoporus dichrous,bicoloured bracket
3492877b-0a37-48aa-9441-3b27c33a4670,155097113,False,,,82.0,82.0,precise,2023-04-13 17:03:17-07:00,2023-04-13,-122.7270336449,45.6168098586,84QVJ700+,12.0,,2.8,12.8,0.0,4.1,,1018.3,Gloeoporus dichrous,"St. Johns, Portland, OR, USA",1,Fungi,Basidiomycota,Agaricomycetes,Polyporales,Irpicaceae,Gloeoporus,202418,species,Gloeoporus dichrous,bicoloured bracket
897b1941-9d31-4738-bb89-9c315a17b5da,122868267,False,,,16.0,16.0,precise,2022-06-21 14:43:31-07:00,2022-06-21,-122.5766977982,45.5075005758,84QVGC00+,85.0,,13.3,28.3,0.0,10.8,,1024.6,Gloeoporus dichrous,"SE 84th Ave, Portland, OR, US",2,Fungi,Basidiomycota,Agaricomycetes,Polyporales,Irpicaceae,Gloeoporus,202418,species,Gloeoporus dichrous,bicoloured bracket
1e01a00d-068d-48ac-a102-34c70dee515b,104785711,False,,,8.0,8.0,precise,2022-01-11 13:58:18-08:00,2022-01-11,-122.9220883333,45.3831466667,84QV9300+,64.0,,5.0,9.4,,1.0,,1025.3,Gloeoporus dichrous,"SW Mountain Creek Rd, Sherwood, OR, US",1,Fungi,Basidiomycota,Agaricomycetes,Polyporales,Irpicaceae,Gloeoporus,202418,species,Gloeoporus dichrous,bicoloured bracket
bd1e37f0-7f0d-49f0-ae2b-1a6d97959608,67831143,False,,,110.0,110.0,precise,2021-01-09 15:59:50-10:00,2021-01-09,-122.598220557,45.5139108352,84QVGC00+,124.0,,1.7,8.9,0.0,13.7,,1025.7,Gloeoporus dichrous,"Mt. Tabor, Portland, OR, USA",1,Fungi,Basidiomycota,Agaricomycetes,Polyporales,Irpicaceae,Gloeoporus,202418,species,Gloeoporus dichrous,bicoloured bracket
284015d7-6e60-4ade-bdb5-c7abbd7cef6a,43835039,False,,,50.0,50.0,precise,2020-04-26 16:56:50-07:00,2020-04-26,-122.592475,45.51026667,84QVGC00+,152.0,,6.1,20.0,0.8,7.9,,1018.8,Gloeoporus dichrous,"Mt. Tabor Park, Portland, OR, US",1,Fungi,Basidiomycota,Agaricomycetes,Polyporales,Irpicaceae,Gloeoporus,202418,species,Gloeoporus dichrous,bicoloured bracket
