uuid,inat_id,timestamp,date,lon,lat,olc,elevation,tavg,tmin,tmax,precipitation,windspeed,winddirection,presure,species,location,num_identification_agreements
2b25f2fa-f924-4863-a228-212c5952a8e5,17478064,2018-10-13 15:05:31-07:00,2018-10-13,-122.56395474,45.23804661,84QV6CQP+,174.0,,7.2,21.7,0.0,14.4,,1020.8,Gymnopus erythropus,"14761 S Buckner Creek Rd, Mulino, OR 97042, USA",2
7ab11a6d-6b48-4ea8-8c40-0901f4063847,17475152,2018-10-13 13:28:54-07:00,2018-10-13,-122.56390271,45.23802402,84QV6CQP+,174.0,,7.2,21.7,0.0,14.4,,1020.8,Gymnopus erythropus,"14761 S Buckner Creek Rd, Mulino, OR 97042, USA",2
88a8c122-11ea-4ecd-bbb6-00a96a34db5a,325604149,2025-10-29 11:16:28-07:00,2025-10-29,-122.7165060585,45.5162839964,84QVG78M+,251.0,,8.0,16.0,0.2,4.9,,1029.1,Gymnopus erythropus,"SW Fischer Ln, Portland, OR, US",1
6ff778a7-fc13-46d8-b74b-56cf0639460e,324950679,2025-11-04 15:46:51-08:00,2025-11-04,-122.7481361111,45.5898611111,84QVH7Q2+,44.0,,8.0,13.0,0.3,9.7,,1011.6,Gymnopus erythropus,"N Lombard & Oswego, Portland, OR 97203, USA",1
e375b8ef-bf30-4bb9-9940-26fcbd25bce1,324112845,2025-10-30 21:45:22-07:00,2025-10-30,-122.7228471834,45.3189164285,84QV879G+,69.0,,3.0,14.0,0.0,5.5,,1020.7,Gymnopus erythropus,"Oregon, US",1
7a6cff75-2000-4f90-a396-db082a2046f9,251123112,2024-10-16 14:04:45-07:00,2024-10-16,-122.7810138889,45.5838138889,84QVH6M9+,194.0,,11.7,17.8,,5.5,,1016.8,Gymnopus erythropus,"Linnton, Portland, OR, USA",1
50fe22d6-12ab-4d7b-b6bc-1ddca66a361a,250653449,2024-11-05 15:48:27-08:00,2024-11-05,-122.3971745997,45.5172833,84QVGJ83+,99.0,,5.6,11.7,,4.9,,1027.6,Gymnopus erythropus,"Northeast, Gresham, OR, USA",1
53785703-5e8d-414a-99b6-901d6fc5c63b,249185470,2024-10-18 15:00:19-07:00,2024-10-18,-122.5356261805,45.4751730439,84QVFFG7+,85.0,,7.8,13.9,0.3,10.1,,1025.4,Gymnopus erythropus,"Pleasant Valley, Portland, OR, USA",1
447c7567-c022-478e-b6ab-04158805cee1,248325248,2024-10-20 12:17:11-07:00,2024-10-20,-122.8531416667,45.4244383333,84QVC4FW+,91.0,,8.3,18.3,,4.7,,1015.3,Gymnopus erythropus,"SW 169th Ave, Tigard, OR, US",1
d4dcf906-a8e6-4b34-8660-4fee1eb9d2da,246621328,2024-10-09 17:28:22-07:00,2024-10-09,-122.3981739,45.5119259,84QVGJ62+,105.0,,11.1,20.0,,4.6,,1018.8,Gymnopus erythropus,"Northeast, Gresham, OR, USA",1
b52c7eaa-6e2e-4c53-8165-e60c09179043,191343428,2023-11-17 23:21:53-08:00,2023-11-17,-122.3678666667,45.6252833333,84QVJJGJ+,96.0,,5.2,13.9,0.0,30.0,,1016.3,Gymnopus erythropus,"Washougal, WA 98671, USA",1
b3bf5902-a790-47ac-acac-bcb58d0c11a3,188717325,2023-10-23 13:16:31-07:00,2023-10-23,-122.2812763441,45.6006085263,84QVJP29+,247.0,,10.0,15.6,0.0,3.0,,1017.7,Gymnopus erythropus,United States,1
50e72881-2a3f-40f0-af07-e9ab92980e84,187820295,2023-10-16 13:19:43-07:00,2023-10-16,-122.71324435,45.53430648,84QVG7MP+,57.0,,11.7,20.0,20.1,9.7,,1015.1,Gymnopus erythropus,"Portland, OR 97210, USA",1
0e22f855-bc36-46c0-b440-ca5b06f06da9,140988755,2022-11-02 17:47:01-07:00,2022-11-02,-122.650901,45.720122,84QVP8CX+,56.0,,5.0,8.9,,8.6,,1015.5,Gymnopus erythropus,"Mt Vista, WA, USA",1
d6aa0553-7d64-4db6-b16c-12d2a6ded3a3,35073992,2019-10-28 15:56:10-07:00,2019-10-28,-122.1838170196,44.2604305341,84PV7R68+,899.0,,,,,,,,Gymnopus erythropus,"Willamette National Forest, Foster, OR, US",3
b6918b83-bc3b-4886-b7ac-3f4c05a49419,17320986,2018-10-08 08:36:00-07:00,2018-10-08,-122.5746478792,45.6634796038,84QVMC7G+,92.0,,11.1,15.6,,2.7,,1016.0,Gymnopus erythropus,"Five Corners, WA, USA",1
54b7e24b-dbc1-41f5-aa41-cdf1e2dcec83,8772099,2017-11-11 13:10:00-08:00,2017-11-11,-122.6449988689,45.650769705,84QVM924+,31.0,,4.4,10.6,,12.3,,1016.2,Gymnopus erythropus,"West Minnehaha, Vancouver, WA, USA",1
d54e869a-b4f8-419f-9909-677a03bd5107,3548937,2013-10-23,2013-10-23,-122.6625,45.5024,84QVG82Q+,3.0,,6.1,21.1,0.0,6.8,,1015.4,Gymnopus erythropus,"Portland, Oregon, USA",1
